,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,3.0,3.0,1.0,0.0,self,3.5660128593444824,-1.0,0.0,1.0,Lalo,20230403
1,1R,Low,3.0,3.0,0.0,0.0,self,0.9830489158630371,1.0,5.0,6.0,Lalo,20230403
2,1R,Low,5.0,5.0,0.0,0.0,self,1.0667228698730469,1.0,6.0,7.0,Lalo,20230403
3,1R,Low,8.0,8.0,0.0,0.0,self,1.0168838500976562,1.0,7.0,8.0,Lalo,20230403
4,1R,Low,2.0,2.0,0.0,0.0,self,0.9996821880340576,1.0,8.0,9.0,Lalo,20230403
5,1R,Low,5.0,5.0,0.0,1.0,self,0.9833669662475586,-1.0,9.0,10.0,Lalo,20230403
6,1R,Low,5.0,5.0,0.0,0.0,self,0.9831831455230713,1.0,0.0,12.0,Lalo,20230403
7,1R,Low,4.0,4.0,0.0,0.0,self,0.9996490478515625,1.0,1.0,13.0,Lalo,20230403
8,1R,Med,9.0,9.0,0.0,0.0,self,1.0165612697601318,1.0,2.0,14.0,Lalo,20230403
9,1R,Low,7.0,7.0,0.0,0.0,self,0.9827167987823486,1.0,3.0,15.0,Lalo,20230403
10,1R,Low,3.0,3.0,0.0,0.0,self,0.9831640720367432,1.0,4.0,16.0,Lalo,20230403
11,1R,Low,5.0,5.0,0.0,0.0,self,1.0324287414550781,1.0,5.0,17.0,Lalo,20230403
12,1R,Low,5.0,5.0,0.0,0.0,self,1.0166001319885254,1.0,6.0,18.0,Lalo,20230403
13,1R,Med,10.0,10.0,0.0,0.0,self,0.9832229614257812,1.0,9.0,21.0,Lalo,20230403
14,1R,Low,6.0,6.0,0.0,0.0,self,0.9998407363891602,1.0,12.0,24.0,Lalo,20230403
15,1R,Low,3.0,3.0,0.0,0.0,self,0.9831171035766602,1.0,13.0,25.0,Lalo,20230403
16,1R,Low,1.0,1.0,0.0,0.0,self,1.0164690017700195,1.0,0.0,28.0,Lalo,20230403
17,1R,Low,4.0,4.0,0.0,0.0,self,0.9998197555541992,1.0,2.0,30.0,Lalo,20230403
18,1R,Low,3.0,3.0,0.0,0.0,self,0.9832220077514648,1.0,3.0,31.0,Lalo,20230403
19,1R,Low,4.0,4.0,0.0,0.0,self,1.0164380073547363,1.0,4.0,32.0,Lalo,20230403
20,1R,Low,5.0,5.0,0.0,0.0,self,0.9830648899078369,1.0,5.0,33.0,Lalo,20230403
21,1R,Low,4.0,4.0,0.0,0.0,self,0.9836928844451904,1.0,6.0,34.0,Lalo,20230403
22,1R,Low,4.0,4.0,0.0,0.0,self,1.0162019729614258,1.0,7.0,35.0,Lalo,20230403
23,1R,Low,2.0,2.0,0.0,0.0,self,0.9999430179595947,1.0,8.0,36.0,Lalo,20230403
24,1R,Low,1.0,1.0,0.0,1.0,self,0.9825921058654785,-1.0,9.0,37.0,Lalo,20230403
25,1R,Med,9.0,9.0,0.0,0.0,self,0.9830930233001709,1.0,0.0,39.0,Lalo,20230403
26,1R,Low,7.0,7.0,0.0,0.0,self,0.9997909069061279,1.0,1.0,40.0,Lalo,20230403
27,1R,Low,1.0,1.0,0.0,0.0,self,0.9835200309753418,1.0,4.0,43.0,Lalo,20230403
