,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration
0,0,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1682009408.203635,188,8.432443141937256,1,0,1,0,0.0,0.13333333333333333,[2.3335821628570557],0.0,8.432443141937256,15,2,0,9.432474136352539
1,1,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682009419.103555,110,5.9830238819122314,1,0,-1,0,0.15,0.25,[1.0328550338745117],1.0,5.9830238819122314,12,3,0,6.982218027114868
2,2,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1682009484.5984871,712,16.965500831604004,1,0,1,0,0.0,0.6666666666666666,[11.065550088882446],0.0,16.965500831604004,15,10,0,17.965187072753906
3,3,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682009495.830931,118,7.099625110626221,1,0,-1,0,0.15,0.8,[1.1829850673675537],0.0,7.099625110626221,15,12,0,8.099362134933472
4,4,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1682009506.547316,113,6.9821507930755615,1,0,1,0,0.0,0.6,[1.0828437805175781],0.0,6.9821507930755615,15,9,0,7.982216835021973
5,5,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682009517.196324,110,5.6670989990234375,1,0,-1,0,0.15,0.8181818181818182,[1.0325541496276855],1.0,5.6670989990234375,11,9,0,6.6659369468688965
6,6,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682009526.479039,107,2.915888786315918,1,0,-1,0,0.15,0.3333333333333333,[0.9824986457824707],1.0,2.915888786315918,3,1,0,3.915574550628662
7,7,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682009532.97853,109,6.266235113143921,1,0,-1,0,0.15,0.8461538461538461,[1.0164520740509033],1.0,6.266235113143921,13,11,0,7.265933036804199
8,8,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682009542.878303,107,3.549757957458496,1,0,-1,0,0.15,0.8,[0.9832718372344971],1.0,3.549757957458496,5,4,0,4.549532890319824
9,9,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682009550.027593,108,3.632880210876465,1,0,-1,0,0.15,0.8,[0.9999711513519287],1.0,3.632880210876465,5,4,0,4.6327691078186035
10,10,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682009558.161116,163,5.482857942581177,1,0,-1,0,0.15,0.875,[1.9163672924041748],1.0,5.482857942581177,8,7,0,6.482732057571411
11,11,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682009566.443136,111,6.966024875640869,1,0,-1,0,0.0,0.6666666666666666,[1.049783706665039],0.0,6.966024875640869,15,10,0,7.965860843658447
12,12,[1.0],1.0,0,1.0,1.0,0,[1.0],1682009578.6422799,202,5.500153064727783,1,0,1,0,0.15,0.8333333333333334,[2.566890001296997],1.0,5.500153064727783,6,5,0,6.499760866165161
13,13,[1.0],1.0,0,1.0,1.0,0,[1.0],1682009586.224763,107,6.299644231796265,1,0,1,0,0.15,0.5384615384615384,[0.9826481342315674],1.0,6.299644231796265,13,7,0,7.29957914352417
14,14,[1.0],1.0,0,1.0,1.0,0,[1.0],1682009596.1909661,107,6.666033029556274,1,0,1,0,0.15,0.6428571428571429,[0.9825289249420166],1.0,6.666033029556274,14,9,0,7.665353298187256
