,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration,date_time
0,0,[1.0],1.0,0,1.0,1.0,0,[1.0],1683050991.476116,124,7.366235017776489,1,0,1,0,0.15,0.6,[1.2667150497436523],0.0,7.366235017776489,15,9,0,8.366114854812622,2023_05_02_14_09_48
1,1,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051002.308094,108,2.899611234664917,1,0,1,0,0.15,0.6666666666666666,[0.9996480941772461],1.0,2.899611234664917,3,2,0,3.899468183517456,2023_05_02_14_09_59
2,2,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1683051008.75871,108,6.899585008621216,1,0,-1,0,0.0,0.6666666666666666,[1.0007312297821045],0.0,6.899585008621216,15,10,0,7.900074005126953,2023_05_02_14_10_05
3,3,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051020.540551,179,4.115777969360352,1,0,1,0,0.15,1.0,[2.1828150749206543],1.0,4.115777969360352,3,3,0,5.115585088729858,2023_05_02_14_10_16
4,4,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051027.0569332,107,6.965579986572266,1,0,1,0,0.15,0.7333333333333333,[0.9829227924346924],1.0,6.965579986572266,15,11,0,7.965383768081665,2023_05_02_14_10_24
5,5,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051037.772253,109,3.2493669986724854,1,0,1,0,0.15,0.5,[1.0154879093170166],1.0,3.2493669986724854,4,2,0,4.249168157577515,2023_05_02_14_10_34
6,6,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051044.5556412,107,4.233707904815674,1,0,1,0,0.15,0.8571428571428571,[0.9835200309753418],1.0,4.233707904815674,7,6,0,5.232818126678467,2023_05_02_14_10_41
7,7,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051052.388646,108,2.6828579902648926,1,0,1,0,0.15,1.0,[0.9994709491729736],1.0,2.6828579902648926,2,2,0,3.6827781200408936,2023_05_02_14_10_49
8,8,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051058.637994,109,2.2500669956207275,1,0,1,0,0.15,1.0,[1.016530990600586],1.0,2.2500669956207275,1,1,0,3.249774932861328,2023_05_02_14_10_55
9,9,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051064.38702,107,6.899362087249756,1,0,1,0,0.15,0.4666666666666667,[0.98313307762146],0.0,6.899362087249756,15,7,0,7.89900016784668,2023_05_02_14_11_01
10,10,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1683051074.986412,107,7.099573850631714,1,0,-1,0,0.0,0.5333333333333333,[0.983522891998291],0.0,7.099573850631714,15,8,0,8.099225044250488,2023_05_02_14_11_12
11,11,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051085.8372428,109,4.949512958526611,1,0,1,0,0.15,0.5555555555555556,[1.0160069465637207],1.0,4.949512958526611,9,5,0,5.949047088623047,2023_05_02_14_11_22
12,12,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051094.468319,112,7.165676116943359,1,0,1,0,0.15,0.6,[1.0659332275390625],0.0,7.165676116943359,15,9,0,8.165887355804443,2023_05_02_14_11_31
13,13,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1683051105.284519,109,7.016334056854248,1,0,-1,0,0.0,0.8,[1.0166130065917969],0.0,7.016334056854248,15,12,0,8.016331911087036,2023_05_02_14_11_42
14,14,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051116.0181901,109,2.6489808559417725,1,0,1,0,0.15,0.5,[1.015923023223877],1.0,2.6489808559417725,2,1,0,3.650028944015503,2023_05_02_14_11_53
15,15,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1683051122.182972,107,6.882656097412109,1,0,1,0,0.0,0.7333333333333333,[0.9829649925231934],0.0,6.882656097412109,15,11,0,7.882411003112793,2023_05_02_14_11_59
16,16,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051132.782398,108,2.8997161388397217,1,0,-1,0,0.15,0.3333333333333333,[0.9996819496154785],1.0,2.8997161388397217,3,1,0,3.8996660709381104,2023_05_02_14_12_09
17,17,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051139.1986969,107,2.5497958660125732,1,0,-1,0,0.15,0.5,[0.9828829765319824],1.0,2.5497958660125732,2,1,0,3.5496110916137695,2023_05_02_14_12_16
18,18,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051145.2981918,108,3.233872175216675,1,0,-1,0,0.15,0.25,[0.9998903274536133],1.0,3.233872175216675,4,1,0,4.232814073562622,2023_05_02_14_12_22
19,19,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051152.0816572,107,2.549746036529541,1,0,-1,0,0.15,0.5,[0.9833378791809082],1.0,2.549746036529541,2,1,0,3.549276828765869,2023_05_02_14_12_29
20,20,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051158.164368,107,3.217057704925537,1,0,-1,0,0.15,0.5,[0.983590841293335],1.0,3.217057704925537,4,2,0,4.2169029712677,2023_05_02_14_12_35
21,21,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051164.94686,107,4.566346168518066,1,0,-1,0,0.15,0.75,[0.9831039905548096],1.0,4.566346168518066,8,6,0,5.566594839096069,2023_05_02_14_12_42
22,22,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051173.130212,107,6.21648907661438,1,0,-1,0,0.15,0.3076923076923077,[0.9834330081939697],1.0,6.21648907661438,13,4,0,7.215784311294556,2023_05_02_14_12_50
23,23,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051183.079365,110,3.282869815826416,1,0,-1,0,0.15,0.25,[1.0328209400177002],1.0,3.282869815826416,4,1,0,4.282624006271362,2023_05_02_14_13_00
24,24,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051189.8951192,108,6.899674892425537,1,0,-1,0,0.15,0.6666666666666666,[0.9993319511413574],0.0,6.899674892425537,15,10,0,7.899677991867065,2023_05_02_14_13_07
25,25,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1683051200.5110872,108,6.898612976074219,1,0,1,0,0.0,0.6666666666666666,[0.9990270137786865],0.0,6.898612976074219,15,10,0,7.898437976837158,2023_05_02_14_13_17
26,26,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051211.1436942,110,2.266359806060791,1,0,1,0,0.15,1.0,[1.0331850051879883],1.0,2.266359806060791,1,1,0,3.266213893890381,2023_05_02_14_13_28
27,27,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051216.9099479,108,4.233031988143921,1,0,1,0,0.15,0.7142857142857143,[0.9997200965881348],1.0,4.233031988143921,7,5,0,5.232536792755127,2023_05_02_14_13_34
28,28,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051224.7260108,107,5.549898862838745,1,0,1,0,0.15,0.7272727272727273,[0.9830319881439209],1.0,5.549898862838745,11,8,0,6.56608510017395,2023_05_02_14_13_41
29,29,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051233.942625,107,6.883644104003906,1,0,1,0,0.15,0.6,[0.9832780361175537],1.0,6.883644104003906,15,9,0,7.8834919929504395,2023_05_02_14_13_51
30,30,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051244.5247622,107,2.8835339546203613,1,0,1,0,0.15,0.6666666666666666,[0.9835171699523926],1.0,2.8835339546203613,3,2,0,3.8826370239257812,2023_05_02_14_14_01
31,31,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051251.024523,111,7.016549110412598,1,0,1,0,0.15,0.6666666666666666,[1.0501062870025635],0.0,7.016549110412598,15,10,0,8.01653003692627,2023_05_02_14_14_08
32,32,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1683051261.690662,108,7.099520921707153,1,0,-1,0,0.0,0.5333333333333333,[0.9997591972351074],0.0,7.099520921707153,15,8,0,8.099058866500854,2023_05_02_14_14_18
33,33,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051272.822767,127,2.9499080181121826,1,0,1,0,0.15,1.0,[1.3165278434753418],1.0,2.9499080181121826,2,2,0,3.9496641159057617,2023_05_02_14_14_29
34,34,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051279.089569,113,5.983781099319458,1,0,1,0,0.15,0.75,[1.0853271484375],1.0,5.983781099319458,12,9,0,6.983479022979736,2023_05_02_14_14_36
35,35,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051288.655,107,5.583552122116089,1,0,1,0,0.15,0.5454545454545454,[0.9830000400543213],1.0,5.583552122116089,11,6,0,6.5827929973602295,2023_05_02_14_14_45
36,36,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051297.8543758,107,6.582540035247803,1,0,1,0,0.15,0.8571428571428571,[0.9830410480499268],1.0,6.582540035247803,14,12,0,7.582320928573608,2023_05_02_14_14_55
37,37,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051308.1713269,109,4.9163291454315186,1,0,1,0,0.15,0.5555555555555556,[1.0171902179718018],1.0,4.9163291454315186,9,5,0,5.915462255477905,2023_05_02_14_15_05
38,38,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051316.703648,108,5.250074148178101,1,0,1,0,0.15,0.8,[1.0002648830413818],1.0,5.250074148178101,10,8,0,6.249825954437256,2023_05_02_14_15_13
39,39,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051325.586,107,3.9658291339874268,1,0,1,0,0.15,0.3333333333333333,[0.9829308986663818],1.0,3.9658291339874268,6,2,0,4.9654860496521,2023_05_02_14_15_22
40,40,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051333.318926,117,7.24906325340271,1,0,1,0,0.15,0.7333333333333333,[1.1496531963348389],0.0,7.24906325340271,15,11,0,8.249391317367554,2023_05_02_14_15_30
41,41,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1683051344.501099,130,7.299420118331909,1,0,-1,0,0.0,0.7333333333333333,[1.3666019439697266],0.0,7.299420118331909,15,11,0,8.299246072769165,2023_05_02_14_15_41
42,42,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051355.800411,147,7.565515041351318,1,0,1,0,0.15,0.8666666666666667,[1.6496660709381104],0.0,7.565515041351318,15,13,0,8.565134048461914,2023_05_02_14_15_52
43,43,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1683051366.450497,108,6.965601205825806,1,0,-1,0,0.0,0.6,[0.9998941421508789],0.0,6.965601205825806,15,9,0,7.982464790344238,2023_05_02_14_16_03
44,44,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051377.115963,107,7.082428932189941,1,0,1,0,0.15,0.5333333333333333,[0.9827792644500732],0.0,7.082428932189941,15,8,0,8.081769943237305,2023_05_02_14_16_14
45,45,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051387.914903,107,3.2331230640411377,1,0,1,0,0.15,0.75,[0.9836359024047852],1.0,3.2331230640411377,4,3,0,4.23268985748291,2023_05_02_14_16_25
46,46,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1683051394.8143911,114,7.199548244476318,1,0,1,0,0.0,0.4,[1.0998032093048096],0.0,7.199548244476318,15,6,0,8.199282169342041,2023_05_02_14_16_31
47,47,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1683051405.665227,109,6.965847015380859,1,0,1,0,0.0,0.9333333333333333,[1.0168120861053467],0.0,6.965847015380859,15,14,0,7.965718984603882,2023_05_02_14_16_42
48,48,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051416.2970922,107,4.216908931732178,1,0,-1,0,0.15,0.5714285714285714,[0.983867883682251],1.0,4.216908931732178,7,4,0,5.216261148452759,2023_05_02_14_16_53
49,49,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051424.378836,124,2.866441011428833,1,0,-1,0,0.15,0.5,[1.2667620182037354],1.0,2.866441011428833,2,1,0,3.865849018096924,2023_05_02_14_17_01
50,50,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051430.8785741,129,7.298625946044922,1,0,-1,0,0.15,0.6,[1.3495268821716309],0.0,7.298625946044922,15,9,0,8.29838490486145,2023_05_02_14_17_07
51,51,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051441.5449421,108,3.916252851486206,1,0,-1,0,0.15,0.8333333333333334,[0.9994091987609863],1.0,3.916252851486206,6,5,0,4.916008949279785,2023_05_02_14_17_18
52,52,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051449.060703,108,6.9166131019592285,1,0,-1,0,0.15,0.6666666666666666,[0.9998393058776855],0.0,6.9166131019592285,15,10,0,7.916075944900513,2023_05_02_14_17_26
53,53,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051459.676803,108,2.9159579277038574,1,0,-1,0,0.15,0.6666666666666666,[0.9997351169586182],1.0,2.9159579277038574,3,2,0,3.9329679012298584,2023_05_02_14_17_36
54,54,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051467.80949,207,6.232942819595337,1,0,-1,0,0.15,0.5,[2.6497457027435303],1.0,6.232942819595337,8,4,0,7.233550786972046,2023_05_02_14_17_43
55,55,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051476.058891,107,6.882410049438477,1,0,-1,0,0.15,0.6666666666666666,[0.9826128482818604],0.0,6.882410049438477,15,10,0,7.882030963897705,2023_05_02_14_17_53
56,56,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1683051486.625552,107,6.9326701164245605,1,0,1,0,0.0,0.6,[0.9829928874969482],0.0,6.9326701164245605,15,9,0,7.932463884353638,2023_05_02_14_18_03
57,57,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1683051497.292217,109,7.115599155426025,1,0,1,0,0.0,0.6666666666666666,[1.01627516746521],0.0,7.115599155426025,15,10,0,8.115694046020508,2023_05_02_14_18_14
58,58,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051510.3564858,243,6.849360942840576,1,0,-1,0,0.15,0.625,[3.2499279975891113],1.0,6.849360942840576,8,5,0,7.84950590133667,2023_05_02_14_18_25
59,59,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051518.689132,109,7.116091251373291,1,0,-1,0,0.15,0.7333333333333333,[1.0162920951843262],0.0,7.116091251373291,15,11,0,8.115803956985474,2023_05_02_14_18_35
60,60,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1683051529.521816,109,6.916761875152588,1,0,-1,0,0.0,0.6,[1.0165069103240967],0.0,6.916761875152588,15,9,0,7.91594386100769,2023_05_02_14_18_46
61,61,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051540.205088,113,5.033025026321411,1,0,1,0,0.15,0.5555555555555556,[1.084867238998413],1.0,5.033025026321411,9,5,0,6.032891035079956,2023_05_02_14_18_57
62,62,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051548.7703109,107,5.916321039199829,1,0,1,0,0.15,0.8333333333333334,[0.9833061695098877],1.0,5.916321039199829,12,10,0,6.915908098220825,2023_05_02_14_19_05
63,63,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051558.369691,108,3.232743740081787,1,0,1,0,0.15,0.5,[0.9989869594573975],1.0,3.232743740081787,4,2,0,4.232388019561768,2023_05_02_14_19_15
64,64,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051565.152808,108,6.917073011398315,1,0,1,0,0.15,0.4,[1.0002191066741943],0.0,6.917073011398315,15,6,0,7.916703939437866,2023_05_02_14_19_22
65,65,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051575.7860548,108,3.2496392726898193,1,0,1,0,0.15,1.0,[0.9993891716003418],1.0,3.2496392726898193,4,4,0,4.248922109603882,2023_05_02_14_19_32
66,66,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051582.585116,107,2.2330760955810547,1,0,1,0,0.15,1.0,[0.9835569858551025],1.0,2.2330760955810547,1,1,0,3.2327780723571777,2023_05_02_14_19_39
67,67,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051588.334524,107,2.582775831222534,1,0,1,0,0.15,0.5,[0.9827537536621094],1.0,2.582775831222534,2,1,0,3.5826759338378906,2023_05_02_14_19_45
68,68,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051594.467387,109,3.266279935836792,1,0,1,0,0.15,0.75,[1.0162298679351807],1.0,3.266279935836792,4,3,0,4.266110897064209,2023_05_02_14_19_51
69,69,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051601.283741,108,7.1160688400268555,1,0,1,0,0.15,0.6,[0.9995977878570557],0.0,7.1160688400268555,15,9,0,8.116032838821411,2023_05_02_14_19_58
70,70,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051612.099694,107,6.882990121841431,1,0,1,0,0.15,0.6666666666666666,[0.9830739498138428],1.0,6.882990121841431,15,10,0,7.882918119430542,2023_05_02_14_20_09
71,71,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051622.832018,116,7.032657146453857,1,0,1,0,0.15,0.8,[1.1331541538238525],0.0,7.032657146453857,15,12,0,8.032660007476807,2023_05_02_14_20_19
72,72,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1683051633.431471,107,7.099278211593628,1,0,-1,0,0.0,0.6,[0.983140230178833],0.0,7.099278211593628,15,9,0,8.099081993103027,2023_05_02_14_20_30
73,73,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1683051644.2471921,107,7.082918882369995,1,0,-1,0,0.0,0.6666666666666666,[0.9831459522247314],0.0,7.082918882369995,15,10,0,8.082496881484985,2023_05_02_14_20_41
74,74,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051655.063023,108,3.6498398780822754,1,0,1,0,0.15,0.6,[0.9997141361236572],1.0,3.6498398780822754,5,3,0,4.64940071105957,2023_05_02_14_20_52
75,75,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051662.2793012,107,3.9159092903137207,1,0,1,0,0.15,0.8333333333333334,[0.9825019836425781],1.0,3.9159092903137207,6,5,0,4.915369987487793,2023_05_02_14_20_59
