,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,other,player,player_choice,poll_probs,prop_touched_polls,reaction_time,reward,total_polls,touched_polls,trial_aborted,trial_duration
0,0,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651864723.4101398,597,1,0,1,0.15,0.75,0.7308468818664551,1.0,4,3,0,11.429735898971558
1,1,[-1.0],-1.0,0.0,1.0,-1.0,0.0,[-1.0],1651864727.759886,108,1,0,-1,0.0,0.8,0.7337300777435303,0.0,15,12,0,7.083354234695435
2,2,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651864735.859384,111,1,0,1,0.15,1.0,0.7327990531921387,1.0,1,1,0,2.2828049659729004
3,3,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651864739.125702,128,1,0,1,0.15,0.7,0.7341470718383789,1.0,10,7,0,5.599377155303955
4,4,[-1.0],-1.0,0.0,1.0,-1.0,0.0,[-1.0],1651864745.741976,140,1,0,-1,0.0,0.4,0.7334780693054199,0.0,15,6,0,7.6169140338897705
5,5,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651864796.0050502,2636,1,0,1,0.15,1.0,0.7338221073150635,1.0,3,3,0,45.09693622589111
6,6,[-1.0],-1.0,0.0,1.0,-1.0,0.0,[-1.0],1651864850.1681228,3023,1,0,-1,0.0,0.4,0.7332789897918701,0.0,15,6,0,55.7302029132843
7,7,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651864860.8172748,133,1,0,1,0.15,0.6,0.7342121601104736,0.0,15,9,0,7.499261140823364
8,8,[-1.0],-1.0,0.0,1.0,-1.0,0.0,[-1.0],1651864883.449434,981,1,0,-1,0.0,0.8,0.7333848476409912,0.0,15,12,0,21.631539821624756
9,9,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651864896.715042,380,1,0,1,0.15,0.3333333333333333,0.7339301109313965,0.0,15,5,0,11.632548809051514
10,10,[-1.0],-1.0,0.0,1.0,-1.0,0.0,[-1.0],1651864906.2981,187,1,0,-1,0.0,0.6666666666666666,0.7336528301239014,0.0,15,10,0,8.3993558883667
11,11,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651864914.4138381,108,1,0,-1,0.15,0.5333333333333333,0.7333569526672363,0.0,15,8,0,7.099271059036255
12,12,[1.0],1.0,0.0,-1.0,-1.0,0.0,[-1.0],1651864922.4801762,107,1,0,1,0.0,0.8666666666666667,0.7324368953704834,0.0,15,13,0,7.066033840179443
13,13,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651864936.4126878,461,1,0,-1,0.15,0.3333333333333333,0.7332990169525146,0.0,15,5,0,12.983043909072876
14,14,[1.0],1.0,0.0,-1.0,-1.0,0.0,[-1.0],1651864946.244669,198,1,0,1,0.0,0.8,0.732825756072998,0.0,15,12,0,8.581607818603516
15,15,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651864956.477259,235,1,0,-1,0.15,0.6,0.7332861423492432,0.0,15,9,0,9.215567111968994
16,16,[1.0],1.0,0.0,-1.0,-1.0,0.0,[-1.0],1651864968.693284,351,1,0,1,0.0,0.5333333333333333,0.7331080436706543,0.0,15,8,0,11.13258695602417
17,17,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651864977.509335,143,1,0,-1,0.15,0.4666666666666667,0.7332029342651367,1.0,15,7,0,7.498981952667236
18,18,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651864985.459081,115,1,0,-1,0.15,0.75,0.733759880065918,1.0,4,3,0,3.3830788135528564
19,19,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651864989.575158,107,1,0,-1,0.15,0.6666666666666666,0.883662223815918,0.0,15,10,0,7.215942144393921
