,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.6274509803921569,O,0.6274509803921569,,20220929
1,-10,0.8627450980392157,O,0.8627450980392157,,20220929
2,-9,0.8627450980392157,O,0.8627450980392157,,20220929
3,-8,0.8235294117647058,O,0.8235294117647058,,20220929
4,-7,0.8431372549019608,O,0.8431372549019608,,20220929
5,-6,0.8823529411764706,O,0.8823529411764706,,20220929
6,-5,0.8823529411764706,O,0.8823529411764706,,20220929
7,-4,0.7450980392156863,O,0.7450980392156863,,20220929
8,-3,0.7450980392156863,O,0.7450980392156863,,20220929
9,-2,0.6078431372549019,O,0.6078431372549019,,20220929
10,-1,0.6078431372549019,O,0.6078431372549019,,20220929
11,0,0.2549019607843137,O,0.2549019607843137,,20220929
12,1,0.7647058823529411,O,0.7647058823529411,,20220929
13,2,0.8627450980392157,O,0.8627450980392157,,20220929
14,3,0.8627450980392157,O,0.8627450980392157,,20220929
15,4,0.9019607843137255,O,0.9019607843137255,,20220929
16,5,0.88,O,0.88,,20220929
17,6,0.86,O,0.86,,20220929
18,7,0.86,O,0.86,,20220929
19,8,0.78,O,0.78,,20220929
20,9,0.72,O,0.72,,20220929
21,10,0.64,O,0.64,,20220929
