,Unnamed: 0,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration,history,pos_in_block,switched
0,0,0,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1664471098.406118,127,7.430974245071411,1,0,1,0,0.0,0.3333333333333333,[1.31508207321167],0.0,7.430974245071411,15,5,0,7.630921125411987,,,
1,1,1,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471108.605112,214,8.865637302398682,1,0,-1,0,0.15,0.4666666666666667,[2.766972303390503],0.0,8.865637302398682,15,7,0,9.06560206413269,,,
2,2,2,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1664471136.270237,1258,26.28197693824768,1,0,1,0,0.0,0.2666666666666666,[20.1820809841156],0.0,26.28197693824768,15,4,0,26.48154902458191,,,
3,3,3,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471145.91941,133,2.7002298831939697,1,0,-1,0,0.15,1.0,[1.4164166450500488],1.0,2.7002298831939697,1,1,0,2.9001238346099854,1R,0.0,1.0
4,4,4,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471150.118907,158,7.933274984359741,1,0,-1,0,0.15,0.5333333333333333,[1.833055019378662],0.0,7.933274984359741,15,8,0,8.13260793685913,1NR,1.0,1.0
5,5,5,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471160.9517922,252,5.332695960998535,1,0,-1,0,0.15,0.6666666666666666,[3.3986868858337402],1.0,5.332695960998535,3,2,0,5.53289008140564,1R,2.0,1.0
6,6,6,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471165.385501,126,2.8662667274475098,1,0,-1,0,0.15,0.5,[1.2994370460510254],1.0,2.8662667274475098,2,1,0,3.066431999206543,1R,3.0,1.0
7,7,7,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471169.33535,125,4.899413108825684,1,0,-1,0,0.15,0.875,[1.2824468612670898],1.0,4.899413108825684,8,7,0,5.099171161651611,1R,4.0,1.0
8,8,8,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1664471175.217401,114,7.198772192001343,1,0,1,0,0.0,0.8666666666666667,[1.0988671779632568],0.0,7.198772192001343,15,13,0,7.398694038391113,,,
9,9,9,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1664471183.7500238,116,7.232152223587036,1,0,1,0,0.0,0.6,[1.1328442096710205],0.0,7.232152223587036,15,9,0,7.432046175003052,,,
10,10,10,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471192.550175,132,4.415939092636108,1,0,-1,0,0.15,0.6666666666666666,[1.3996002674102783],1.0,4.415939092636108,6,4,0,4.615942001342773,1R,7.0,1.0
11,11,11,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471198.599016,161,3.449147224426269,1,0,-1,0,0.15,1.0,[1.8830451965332031],1.0,3.449147224426269,2,2,0,3.648965120315552,1R,8.0,1.0
12,12,12,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471202.865837,143,6.532723903656006,1,0,-1,0,0.15,0.6666666666666666,[1.5828211307525635],1.0,6.532723903656006,12,8,0,6.732363939285278,1R,9.0,1.0
