,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,6.0,6.0,0.0,0.0,self,1.2445690631866455,1.0,0.0,2.0,Offenbach,20230314
1,1R,Low,2.0,2.0,0.0,0.0,self,1.3000781536102295,1.0,1.0,3.0,Offenbach,20230314
2,1R,Low,4.0,4.0,0.0,0.0,self,1.1152307987213135,1.0,4.0,6.0,Offenbach,20230314
3,1R,Low,6.0,6.0,0.0,0.0,self,1.332829236984253,1.0,5.0,7.0,Offenbach,20230314
4,1R,Low,2.0,2.0,0.0,0.0,self,1.6339647769927979,1.0,6.0,8.0,Offenbach,20230314
5,1R,Low,3.0,3.0,0.0,0.0,self,1.149735927581787,1.0,7.0,9.0,Offenbach,20230314
6,1R,Med,10.0,10.0,0.0,0.0,self,1.1656200885772705,1.0,8.0,10.0,Offenbach,20230314
7,1R,Low,2.0,2.0,0.0,0.0,self,1.2001662254333496,1.0,9.0,11.0,Offenbach,20230314
8,1R,Low,8.0,8.0,1.0,0.0,self,1.332766056060791,-1.0,10.0,12.0,Offenbach,20230314
9,1R,Low,1.0,1.0,0.0,0.0,self,1.06666898727417,1.0,14.0,16.0,Offenbach,20230314
10,1R,Low,2.0,2.0,0.0,1.0,self,1.2822680473327637,-1.0,18.0,20.0,Offenbach,20230314
11,1R,Low,4.0,4.0,0.0,0.0,self,1.2497620582580566,1.0,0.0,22.0,Offenbach,20230314
12,1R,Low,2.0,2.0,0.0,0.0,self,1.0323662757873535,1.0,2.0,24.0,Offenbach,20230314
13,1R,Low,2.0,2.0,0.0,0.0,self,0.9830160140991211,1.0,3.0,25.0,Offenbach,20230314
14,1R,Low,1.0,1.0,0.0,0.0,self,2.2498109340667725,1.0,4.0,26.0,Offenbach,20230314
15,1R,Low,1.0,1.0,0.0,0.0,self,0.9834239482879639,1.0,7.0,29.0,Offenbach,20230314
16,1R,Low,2.0,2.0,0.0,0.0,self,1.0168209075927734,1.0,8.0,30.0,Offenbach,20230314
17,1R,Low,2.0,2.0,0.0,0.0,self,0.9823181629180908,1.0,9.0,31.0,Offenbach,20230314
18,1R,Low,4.0,4.0,0.0,0.0,self,1.0993220806121826,1.0,10.0,32.0,Offenbach,20230314
19,1R,Low,3.0,3.0,0.0,0.0,self,0.9995162487030029,1.0,11.0,33.0,Offenbach,20230314
20,1R,Low,3.0,3.0,0.0,0.0,self,1.0158360004425049,1.0,12.0,34.0,Offenbach,20230314
21,1R,Low,2.0,2.0,0.0,0.0,self,1.1829237937927246,1.0,13.0,35.0,Offenbach,20230314
22,1R,Low,4.0,4.0,0.0,0.0,self,1.5498168468475342,1.0,14.0,36.0,Offenbach,20230314
23,1R,Low,5.0,5.0,0.0,1.0,self,1.3329219818115234,-1.0,15.0,37.0,Offenbach,20230314
24,1R,Low,6.0,6.0,0.0,0.0,self,2.8662350177764893,1.0,0.0,39.0,Offenbach,20230314
25,1R,Low,2.0,2.0,0.0,0.0,self,6.94930624961853,1.0,1.0,40.0,Offenbach,20230314
26,1R,Low,1.0,1.0,0.0,0.0,self,1.3162050247192383,1.0,2.0,41.0,Offenbach,20230314
27,1R,Low,1.0,1.0,0.0,0.0,self,1.3327653408050537,1.0,3.0,42.0,Offenbach,20230314
28,1R,Low,2.0,2.0,0.0,0.0,self,1.0498340129852295,1.0,4.0,43.0,Offenbach,20230314
29,1R,Low,5.0,5.0,0.0,0.0,self,1.3668522834777832,1.0,5.0,44.0,Offenbach,20230314
30,1R,Low,2.0,2.0,0.0,0.0,self,1.1822807788848877,1.0,6.0,45.0,Offenbach,20230314
31,1R,Low,7.0,7.0,0.0,0.0,self,1.2162470817565918,1.0,9.0,48.0,Offenbach,20230314
32,1R,Low,1.0,1.0,0.0,0.0,self,1.999924898147583,1.0,10.0,49.0,Offenbach,20230314
33,1R,Low,5.0,5.0,1.0,0.0,self,1.449152946472168,-1.0,11.0,50.0,Offenbach,20230314
34,1R,Low,5.0,5.0,0.0,0.0,self,1.082712173461914,1.0,0.0,53.0,Offenbach,20230314
35,1R,Low,3.0,3.0,0.0,0.0,self,0.9998259544372559,1.0,2.0,55.0,Offenbach,20230314
36,1R,Med,10.0,10.0,0.0,0.0,self,1.0824227333068848,1.0,3.0,56.0,Offenbach,20230314
37,1R,Low,4.0,4.0,0.0,0.0,self,0.9833910465240479,1.0,7.0,60.0,Offenbach,20230314
38,1R,Low,1.0,1.0,0.0,0.0,self,1.333362102508545,1.0,8.0,61.0,Offenbach,20230314
39,1R,Low,1.0,1.0,0.0,0.0,self,1.7825160026550293,1.0,9.0,62.0,Offenbach,20230314
40,1R,High,12.0,12.0,0.0,0.0,self,1.0992672443389893,1.0,11.0,64.0,Offenbach,20230314
41,1R,Low,3.0,3.0,0.0,0.0,self,1.1159050464630127,1.0,12.0,65.0,Offenbach,20230314
42,1R,Low,1.0,1.0,0.0,0.0,self,1.1491293907165527,1.0,13.0,66.0,Offenbach,20230314
43,1R,Low,6.0,6.0,0.0,0.0,self,1.000601053237915,1.0,14.0,67.0,Offenbach,20230314
44,1R,Med,10.0,10.0,0.0,0.0,self,3.1847586631774902,1.0,15.0,68.0,Offenbach,20230314
45,1R,Med,10.0,10.0,0.0,0.0,self,1.033869981765747,1.0,16.0,69.0,Offenbach,20230314
46,1R,Low,7.0,7.0,0.0,0.0,self,1.1505019664764404,1.0,17.0,70.0,Offenbach,20230314
47,1R,Low,6.0,6.0,1.0,0.0,self,0.9994008541107178,-1.0,18.0,71.0,Offenbach,20230314
48,1R,Low,6.0,6.0,0.0,0.0,self,1.1499977111816406,1.0,23.0,76.0,Offenbach,20230314
49,1R,Med,9.0,9.0,0.0,1.0,self,1.3330721855163574,-1.0,24.0,77.0,Offenbach,20230314
50,1R,Low,4.0,4.0,0.0,0.0,self,0.9825429916381836,1.0,0.0,81.0,Offenbach,20230314
51,1R,Low,1.0,1.0,0.0,0.0,self,1.1668672561645508,1.0,1.0,82.0,Offenbach,20230314
52,1R,Low,1.0,1.0,0.0,0.0,self,1.2339329719543457,1.0,3.0,84.0,Offenbach,20230314
53,1R,Low,3.0,3.0,0.0,0.0,self,1.1161928176879883,1.0,4.0,85.0,Offenbach,20230314
54,1R,Low,6.0,6.0,0.0,0.0,self,1.4330151081085205,1.0,6.0,87.0,Offenbach,20230314
55,1R,Low,8.0,8.0,0.0,1.0,self,1.1828248500823975,-1.0,7.0,88.0,Offenbach,20230314
56,1R,Low,2.0,2.0,0.0,0.0,self,1.099344253540039,1.0,0.0,90.0,Offenbach,20230314
57,1R,Low,6.0,6.0,0.0,0.0,self,1.1332318782806396,1.0,1.0,91.0,Offenbach,20230314
58,1R,Low,1.0,1.0,0.0,0.0,self,0.9996750354766846,1.0,2.0,92.0,Offenbach,20230314
59,1R,Low,6.0,6.0,0.0,0.0,self,1.0505471229553223,1.0,3.0,93.0,Offenbach,20230314
60,1R,High,13.0,13.0,0.0,0.0,self,1.282508134841919,1.0,4.0,94.0,Offenbach,20230314
61,1R,Low,3.0,3.0,0.0,0.0,self,0.9831438064575195,1.0,5.0,95.0,Offenbach,20230314
