,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.3695652173913043,A,0.3695652173913043,,2021_05_05
1,-10,0.5,A,0.5,,2021_05_05
2,-9,0.5652173913043478,A,0.5652173913043478,,2021_05_05
3,-8,0.6304347826086957,A,0.6304347826086957,,2021_05_05
4,-7,0.7391304347826086,A,0.7391304347826086,,2021_05_05
5,-6,0.6956521739130435,A,0.6956521739130435,,2021_05_05
6,-5,0.8043478260869565,A,0.8043478260869565,,2021_05_05
7,-4,0.8478260869565217,A,0.8478260869565217,,2021_05_05
8,-3,0.8043478260869565,A,0.8043478260869565,,2021_05_05
9,-2,0.9130434782608695,A,0.9130434782608695,,2021_05_05
10,-1,0.8478260869565217,A,0.8478260869565217,,2021_05_05
11,0,0.08695652173913043,A,0.08695652173913043,,2021_05_05
12,1,0.15217391304347827,A,0.15217391304347827,,2021_05_05
13,2,0.3695652173913043,A,0.3695652173913043,,2021_05_05
14,3,0.6086956521739131,A,0.6086956521739131,,2021_05_05
15,4,0.6086956521739131,A,0.6086956521739131,,2021_05_05
16,5,0.6739130434782609,A,0.6739130434782609,,2021_05_05
17,6,0.6888888888888889,A,0.6888888888888889,,2021_05_05
18,7,0.8222222222222222,A,0.8222222222222222,,2021_05_05
19,8,0.8222222222222222,A,0.8222222222222222,,2021_05_05
20,9,0.8888888888888888,A,0.8888888888888888,,2021_05_05
21,10,0.8888888888888888,A,0.8888888888888888,,2021_05_05
