,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,confidence
0,"[1.0, 1.0]",1.0,1.0,-1.0,"[-1620482873.8255877, 0.0]","[0.0, 0.0]",0.0,0.0,3.8666741847991943,1620482884.009544,1,1,0,1,0.6,0.0,15,9,0,"[0, 0]"
1,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620482887.810142, 0.0]","[1.0, 1.0]",1.0,1.0,0.9499959945678711,1620482889.542777,1,-1,0,-1,1.0,1.0,1,1,0,"[0, 0]"
2,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620482887.477427, 0.0]","[1.0, 1.0]",1.0,1.0,3.866792917251587,1620482892.0427341,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
3,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620482895.326925, 0.0]","[1.0, 1.0]",1.0,1.0,1.5998101234436035,1620482897.475998,1,-1,0,-1,0.5,1.0,4,2,0,"[0, 0]"
4,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620482896.143602, 0.0]","[1.0, 1.0]",1.0,1.0,3.866487979888916,1620482901.092642,1,-1,0,-1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
5,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620482902.676503, 0.0]","[1.0, 1.0]",1.0,1.0,3.4166290760040283,1620482907.025781,1,-1,0,-1,0.6923076923076923,1.0,13,9,0,"[0, 0]"
6,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620482907.310147, 0.0]","[1.0, 1.0]",1.0,1.0,3.8666250705718994,1620482911.8423538,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
7,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620482912.8772948, 0.0]","[1.0, 1.0]",1.0,1.0,3.8666391372680664,1620482917.3756359,1,-1,0,-1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
8,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620482920.109647, 0.0]","[1.0, 1.0]",1.0,1.0,2.216629981994629,1620482923.158875,1,-1,0,-1,0.5714285714285714,1.0,7,4,0,"[0, 0]"
9,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620482923.2255974, 0.0]","[1.0, 1.0]",1.0,1.0,3.1841437816619873,1620482928.0913012,1,-1,0,-1,0.5,1.0,12,6,0,"[0, 0]"
10,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620482928.1257038, 0.0]","[1.0, 1.0]",1.0,1.0,3.8667032718658447,1620482932.6253629,1,-1,0,-1,0.3333333333333333,0.0,15,5,0,"[0, 0]"
11,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620482935.360252, 0.0]","[1.0, 1.0]",1.0,1.0,2.199998140335083,1620482938.275409,1,1,0,1,0.7142857142857143,1.0,7,5,0,"[0, 0]"
12,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620482939.042506, 0.0]","[1.0, 1.0]",1.0,1.0,2.600058078765869,1620482942.2585359,1,1,0,1,0.6666666666666666,1.0,9,6,0,"[0, 0]"
13,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620482944.3266423, 0.0]","[1.0, 1.0]",1.0,1.0,1.4000787734985352,1620482946.441785,1,1,0,1,0.6666666666666666,1.0,3,2,0,"[0, 0]"
14,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620482946.9761138, 0.0]","[1.0, 1.0]",1.0,1.0,1.816676139831543,1620482949.441819,1,1,0,1,0.8,1.0,5,4,0,"[0, 0]"
15,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620482948.4757211, 0.0]","[1.0, 1.0]",1.0,1.0,3.8833489418029785,1620482952.8917289,1,1,0,1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
16,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620482954.0758088, 0.0]","[1.0, 1.0]",1.0,1.0,3.866525173187256,1620482958.8083389,1,1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
17,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620482959.65906, 0.0]","[1.0, 1.0]",1.0,1.0,3.8662500381469727,1620482964.5581849,1,1,0,1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
18,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1620482965.7256541, 0.0]","[0.0, 0.0]",0.0,0.0,3.8666129112243652,1620482970.541454,1,-1,0,-1,0.8,0.0,15,12,0,"[0, 0]"
19,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1620482971.308252, 0.0]","[0.0, 0.0]",0.0,0.0,3.866689920425415,1620482975.841411,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
20,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620482976.8764281, 0.0]","[1.0, 1.0]",1.0,1.0,3.8664698600769043,1620482981.1747441,1,1,0,1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
21,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1620482981.958127, 0.0]","[0.0, 0.0]",0.0,0.0,3.8666560649871826,1620482986.5077949,1,-1,0,-1,0.8666666666666667,0.0,15,13,0,"[0, 0]"
22,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620482987.525623, 0.0]","[1.0, 1.0]",1.0,1.0,3.8663649559020996,1620482991.857764,1,1,0,1,0.6,0.0,15,9,0,"[0, 0]"
23,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620482992.608637, 0.0]","[1.0, 1.0]",1.0,1.0,3.866811990737915,1620482997.140955,1,1,0,1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
24,"[1.0, 1.0]",1.0,1.0,-1.0,"[-1620482998.175855, 0.0]","[0.0, 0.0]",0.0,0.0,3.8667421340942383,1620483002.740896,1,1,0,1,0.3333333333333333,0.0,15,5,0,"[0, 0]"
25,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620483006.6751575, 0.0]","[1.0, 1.0]",1.0,1.0,0.9497966766357422,1620483008.4077451,1,-1,0,-1,1.0,1.0,1,1,0,"[0, 0]"
26,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620483007.9923408, 0.0]","[1.0, 1.0]",1.0,1.0,2.2000222206115723,1620483010.8574898,1,-1,0,-1,0.5714285714285714,1.0,7,4,0,"[0, 0]"
27,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620483010.591773, 0.0]","[1.0, 1.0]",1.0,1.0,3.166738986968994,1620483014.457335,1,-1,0,-1,0.6666666666666666,1.0,12,8,0,"[0, 0]"
28,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620483017.357955, 0.0]","[1.0, 1.0]",1.0,1.0,0.9670579433441162,1620483018.92368,1,-1,0,-1,1.0,1.0,1,1,0,"[0, 0]"
29,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620483017.125539, 0.0]","[1.0, 1.0]",1.0,1.0,3.766667127609253,1620483021.3239198,1,-1,0,-1,0.6666666666666666,1.0,15,10,0,"[0, 0]"
30,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620483023.7916071, 0.0]","[1.0, 1.0]",1.0,1.0,2.18346905708313,1620483026.5738251,1,-1,0,-1,0.8571428571428571,1.0,7,6,0,"[0, 0]"
31,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620483028.575159, 0.0]","[1.0, 1.0]",1.0,1.0,0.9666428565979004,1620483029.957161,1,-1,0,-1,1.0,1.0,1,1,0,"[0, 0]"
32,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620483027.7415054, 0.0]","[1.0, 1.0]",1.0,1.0,3.866710662841797,1620483032.3070772,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
33,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620483035.2244658, 0.0]","[1.0, 1.0]",1.0,1.0,1.949984073638916,1620483037.823616,1,-1,0,-1,0.5,1.0,6,3,0,"[0, 0]"
34,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620483036.991137, 0.0]","[1.0, 1.0]",1.0,1.0,3.76668381690979,1620483041.356933,1,-1,0,-1,0.4,1.0,15,6,0,"[0, 0]"
35,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1620483041.9572089, 0.0]","[0.0, 0.0]",0.0,0.0,3.88338303565979,1620483046.740173,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
36,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620483048.4081688, 0.0]","[1.0, 1.0]",1.0,1.0,2.998929262161255,1620483051.8403158,1,1,0,1,0.5454545454545454,1.0,11,6,0,"[0, 0]"
37,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620483052.1083639, 0.0]","[1.0, 1.0]",1.0,1.0,3.8667941093444824,1620483056.4066648,1,1,0,1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
38,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620483059.8910012, 0.0]","[1.0, 1.0]",1.0,1.0,1.1666569709777832,1620483061.823284,1,1,0,1,0.5,1.0,2,1,0,"[0, 0]"
