,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Corrects,Pos_in_block,trial_idx,date,subject
0,1R,Low,3.0,3.0,0.0,0.0,self,1.0,0.0,3.0,2021_05_10,AP
1,1R,Low,6.0,6.0,0.0,0.0,self,1.0,2.0,5.0,2021_05_10,AP
2,1R,Low,6.0,6.0,0.0,0.0,self,1.0,4.0,7.0,2021_05_10,AP
3,1R,Low,1.0,1.0,0.0,0.0,self,1.0,5.0,8.0,2021_05_10,AP
4,1R,Low,6.0,6.0,0.0,0.0,self,1.0,6.0,9.0,2021_05_10,AP
5,1R,Low,6.0,6.0,1.0,0.0,self,0.0,7.0,10.0,2021_05_10,AP
6,1R,Low,7.0,7.0,0.0,0.0,self,1.0,0.0,16.0,2021_05_10,AP
7,1R,Low,1.0,1.0,0.0,0.0,self,1.0,1.0,17.0,2021_05_10,AP
8,1R,Low,4.0,4.0,0.0,0.0,self,1.0,2.0,18.0,2021_05_10,AP
9,1R,Low,1.0,1.0,0.0,0.0,self,1.0,5.0,21.0,2021_05_10,AP
10,1R,Low,3.0,3.0,0.0,0.0,self,1.0,6.0,22.0,2021_05_10,AP
11,1R,Low,8.0,8.0,0.0,0.0,self,1.0,8.0,24.0,2021_05_10,AP
12,1R,High,13.0,13.0,0.0,0.0,self,1.0,9.0,25.0,2021_05_10,AP
13,1R,Med,11.0,11.0,0.0,0.0,self,1.0,10.0,26.0,2021_05_10,AP
14,1R,Low,1.0,1.0,0.0,1.0,self,0.0,11.0,27.0,2021_05_10,AP
15,1R,Low,7.0,7.0,0.0,0.0,self,1.0,0.0,33.0,2021_05_10,AP
16,1R,Low,2.0,2.0,0.0,0.0,self,1.0,1.0,34.0,2021_05_10,AP
17,1R,Med,9.0,9.0,0.0,0.0,self,1.0,4.0,37.0,2021_05_10,AP
18,1R,Low,6.0,6.0,0.0,0.0,self,1.0,6.0,39.0,2021_05_10,AP
19,1R,Low,3.0,3.0,0.0,0.0,self,1.0,7.0,40.0,2021_05_10,AP
20,1R,Low,5.0,5.0,0.0,1.0,self,0.0,8.0,41.0,2021_05_10,AP
21,1R,Low,3.0,3.0,0.0,0.0,self,1.0,0.0,44.0,2021_05_10,AP
22,1R,Low,3.0,3.0,0.0,0.0,self,1.0,3.0,47.0,2021_05_10,AP
23,1R,Low,3.0,3.0,0.0,0.0,self,1.0,4.0,48.0,2021_05_10,AP
24,1R,Low,3.0,3.0,0.0,0.0,self,1.0,6.0,50.0,2021_05_10,AP
25,1R,Low,4.0,4.0,0.0,0.0,self,1.0,7.0,51.0,2021_05_10,AP
26,1R,Med,11.0,11.0,0.0,0.0,self,1.0,8.0,52.0,2021_05_10,AP
27,1R,Med,9.0,9.0,0.0,0.0,self,1.0,9.0,53.0,2021_05_10,AP
28,1R,Low,5.0,5.0,0.0,0.0,self,1.0,10.0,54.0,2021_05_10,AP
29,1R,Low,3.0,3.0,0.0,0.0,self,1.0,11.0,55.0,2021_05_10,AP
30,1R,Low,6.0,6.0,0.0,0.0,self,1.0,12.0,56.0,2021_05_10,AP
31,1R,Med,10.0,10.0,0.0,1.0,self,0.0,13.0,57.0,2021_05_10,AP
32,1R,Low,4.0,4.0,0.0,0.0,self,1.0,0.0,63.0,2021_05_10,AP
33,1R,Low,3.0,3.0,0.0,0.0,self,1.0,1.0,64.0,2021_05_10,AP
34,1R,Low,7.0,7.0,0.0,0.0,self,1.0,2.0,65.0,2021_05_10,AP
35,1R,Low,1.0,1.0,0.0,0.0,self,1.0,4.0,67.0,2021_05_10,AP
36,1R,Low,3.0,3.0,0.0,0.0,self,1.0,5.0,68.0,2021_05_10,AP
37,1R,Low,2.0,2.0,0.0,1.0,self,0.0,6.0,69.0,2021_05_10,AP
38,1R,Low,4.0,4.0,0.0,0.0,self,1.0,0.0,75.0,2021_05_10,AP
39,1R,Low,3.0,3.0,0.0,0.0,self,1.0,1.0,76.0,2021_05_10,AP
40,1R,Low,3.0,3.0,0.0,0.0,self,1.0,2.0,77.0,2021_05_10,AP
41,1R,Low,2.0,2.0,0.0,0.0,self,1.0,3.0,78.0,2021_05_10,AP
42,1R,Low,7.0,7.0,0.0,1.0,self,0.0,5.0,80.0,2021_05_10,AP
43,1R,Low,8.0,8.0,0.0,0.0,self,1.0,0.0,86.0,2021_05_10,AP
44,1R,Low,1.0,1.0,0.0,0.0,self,1.0,2.0,88.0,2021_05_10,AP
45,1R,Med,10.0,10.0,0.0,0.0,self,1.0,3.0,89.0,2021_05_10,AP
46,1R,Low,1.0,1.0,0.0,0.0,self,1.0,5.0,91.0,2021_05_10,AP
47,1R,Low,1.0,1.0,0.0,1.0,self,0.0,6.0,92.0,2021_05_10,AP
48,1R,Med,9.0,9.0,0.0,0.0,self,1.0,0.0,96.0,2021_05_10,AP
49,1R,Med,9.0,9.0,0.0,0.0,self,1.0,1.0,97.0,2021_05_10,AP
50,1R,Low,8.0,8.0,0.0,0.0,self,1.0,5.0,101.0,2021_05_10,AP
51,1R,Low,1.0,1.0,0.0,1.0,self,0.0,7.0,103.0,2021_05_10,AP
52,1R,Low,7.0,7.0,0.0,0.0,self,1.0,0.0,109.0,2021_05_10,AP
53,1R,Low,2.0,2.0,0.0,0.0,self,1.0,2.0,111.0,2021_05_10,AP
54,1R,Low,1.0,1.0,0.0,0.0,self,1.0,3.0,112.0,2021_05_10,AP
55,1R,Med,9.0,9.0,0.0,0.0,self,1.0,4.0,113.0,2021_05_10,AP
56,1R,Low,8.0,8.0,0.0,0.0,self,1.0,5.0,114.0,2021_05_10,AP
57,1R,Low,2.0,2.0,0.0,0.0,self,1.0,6.0,115.0,2021_05_10,AP
58,1R,Low,6.0,6.0,0.0,1.0,self,0.0,7.0,116.0,2021_05_10,AP
59,1R,Med,9.0,9.0,0.0,0.0,self,1.0,0.0,120.0,2021_05_10,AP
60,1R,Low,3.0,3.0,0.0,0.0,self,1.0,1.0,121.0,2021_05_10,AP
61,1R,Low,7.0,7.0,0.0,0.0,self,1.0,2.0,122.0,2021_05_10,AP
62,1R,Low,4.0,4.0,0.0,0.0,self,1.0,3.0,123.0,2021_05_10,AP
63,1R,High,14.0,14.0,0.0,0.0,self,1.0,5.0,125.0,2021_05_10,AP
64,1R,Low,4.0,4.0,0.0,0.0,self,1.0,0.0,130.0,2021_05_10,AP
65,1R,Low,6.0,6.0,0.0,0.0,self,1.0,1.0,131.0,2021_05_10,AP
66,1R,Med,11.0,11.0,0.0,0.0,self,1.0,2.0,132.0,2021_05_10,AP
67,1R,Low,3.0,3.0,0.0,0.0,self,1.0,3.0,133.0,2021_05_10,AP
68,1R,Low,1.0,1.0,0.0,0.0,self,1.0,4.0,134.0,2021_05_10,AP
69,1R,Low,1.0,1.0,0.0,0.0,self,1.0,5.0,135.0,2021_05_10,AP
70,1R,Low,4.0,4.0,0.0,0.0,self,1.0,6.0,136.0,2021_05_10,AP
71,1R,Low,2.0,2.0,0.0,1.0,self,0.0,8.0,138.0,2021_05_10,AP
72,1R,Low,7.0,7.0,0.0,0.0,self,1.0,0.0,144.0,2021_05_10,AP
73,1R,Low,1.0,1.0,0.0,0.0,self,1.0,2.0,146.0,2021_05_10,AP
74,1R,Low,2.0,2.0,0.0,0.0,self,1.0,3.0,147.0,2021_05_10,AP
75,1R,Low,8.0,8.0,0.0,1.0,self,0.0,5.0,149.0,2021_05_10,AP
