,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,confidence
0,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625171853.408278, 0.0]","[1.0, 1.0]",1.0,1.0,3.566586971282959,1625171859.440655,1,-1,0,-1,0.7142857142857143,1.0,14,10,0,"[0, 0]"
1,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625171861.292201, 0.0]","[1.0, 1.0]",1.0,1.0,2.766753911972046,1625171864.857017,1,-1,0,-1,0.6,1.0,10,6,0,"[0, 0]"
2,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625171864.792035, 0.0]","[1.0, 1.0]",1.0,1.0,3.8666999340057373,1625171869.123779,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
3,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625171871.191426, 0.0]","[1.0, 1.0]",1.0,1.0,2.566633939743042,1625171874.640384,1,-1,0,-1,0.3333333333333333,1.0,9,3,0,"[0, 0]"
4,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625171874.458541, 0.0]","[1.0, 1.0]",1.0,1.0,3.8834240436553955,1625171879.140279,1,-1,0,-1,0.3333333333333333,0.0,15,5,0,"[0, 0]"
5,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625171880.0742676, 0.0]","[1.0, 1.0]",1.0,1.0,3.8665852546691895,1625171884.8568408,1,-1,0,-1,0.2,0.0,15,3,0,"[0, 0]"
6,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625171886.7571073, 0.0]","[1.0, 1.0]",1.0,1.0,2.7666828632354736,1625171890.390062,1,-1,0,-1,0.6,1.0,10,6,0,"[0, 0]"
7,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625171889.722847, 0.0]","[1.0, 1.0]",1.0,1.0,3.866750955581665,1625171894.740057,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
8,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625171895.8248181, 0.0]","[1.0, 1.0]",1.0,1.0,3.866770029067993,1625171900.506645,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
9,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1625171901.4245708, 0.0]","[0.0, 1.0]",0.0,1.0,3.866744041442871,1625171906.0565388,1,-1,0,1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
10,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1625171907.008013, 0.0]","[0.0, 1.0]",0.0,1.0,3.8666980266571045,1625171911.573131,1,-1,0,1,0.4,0.0,15,6,0,"[0, 0]"
11,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1625171912.591427, 0.0]","[0.0, 1.0]",0.0,1.0,3.8665738105773926,1625171917.2230332,1,-1,0,1,0.3333333333333333,0.0,15,5,0,"[0, 0]"
12,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625171920.62429, 0.0]","[1.0, 1.0]",1.0,1.0,1.4334311485290527,1625171922.922945,1,-1,0,-1,1.0,1.0,3,3,0,"[0, 0]"
13,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625171921.7563972, 0.0]","[1.0, 1.0]",1.0,1.0,3.383321762084961,1625171925.872878,1,-1,0,-1,0.46153846153846156,1.0,13,6,0,"[0, 0]"
14,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625171926.357074, 0.0]","[1.0, 1.0]",1.0,1.0,3.8665919303894043,1625171931.006289,1,-1,0,-1,0.4,0.0,15,6,0,"[0, 0]"
15,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1625171931.9571452, 0.0]","[0.0, 0.0]",0.0,0.0,3.8664209842681885,1625171936.606272,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
16,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1625171937.5407114, 0.0]","[0.0, 0.0]",0.0,0.0,3.8665757179260254,1625171942.122667,1,-1,0,-1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
17,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1625171943.1245043, 0.0]","[0.0, 0.0]",0.0,0.0,3.8662807941436768,1625171948.156223,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
18,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625171949.223265, 0.0]","[1.0, 0.0]",1.0,0.0,3.8667259216308594,1625171953.539147,1,-1,0,1,0.6,0.0,15,9,0,"[0, 0]"
19,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625171954.323288, 0.0]","[1.0, 0.0]",1.0,0.0,3.866892099380493,1625171958.839083,1,-1,0,1,0.3333333333333333,0.0,15,5,0,"[0, 0]"
20,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625171959.905917, 0.0]","[1.0, 0.0]",1.0,0.0,3.867410898208618,1625171964.221492,1,-1,0,1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
21,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1625171964.9892108, 0.0]","[0.0, 0.0]",0.0,0.0,3.8835251331329346,1625171969.305461,1,-1,0,-1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
22,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1625171970.072462, 0.0]","[0.0, 0.0]",0.0,0.0,3.883342742919922,1625171974.5389252,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
23,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1625171975.67356, 0.0]","[0.0, 0.0]",0.0,0.0,3.8658270835876465,1625171979.972256,1,-1,0,-1,0.8,0.0,15,12,0,"[0, 0]"
24,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625171980.7730508, 0.0]","[1.0, 0.0]",1.0,0.0,3.8666911125183105,1625171985.072033,1,-1,0,1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
25,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625171985.855671, 0.0]","[1.0, 0.0]",1.0,0.0,3.8666629791259766,1625171990.155252,1,-1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
26,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625171990.938602, 0.0]","[1.0, 0.0]",1.0,0.0,3.8668370246887207,1625171995.355115,1,-1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
27,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1625171996.5067623, 0.0]","[0.0, 0.0]",0.0,0.0,3.8833959102630615,1625172000.888397,1,-1,0,-1,0.3333333333333333,0.0,15,5,0,"[0, 0]"
28,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1625172001.6217601, 0.0]","[0.0, 0.0]",0.0,0.0,3.8667869567871094,1625172005.971684,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
29,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1625172006.6893218, 0.0]","[0.0, 0.0]",0.0,0.0,3.8666861057281494,1625172011.0549529,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
30,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1625172011.789239, 0.0]","[0.0, 0.0]",0.0,0.0,3.866528034210205,1625172016.088407,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
31,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625172016.8724012, 0.0]","[1.0, 0.0]",1.0,0.0,3.866802930831909,1625172021.204801,1,-1,0,1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
32,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1625172021.9558282, 0.0]","[0.0, 1.0]",0.0,1.0,3.8665738105773926,1625172026.504792,1,-1,0,1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
33,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1625172027.5222597, 0.0]","[0.0, 1.0]",0.0,1.0,3.8832712173461914,1625172031.904796,1,-1,0,1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
34,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625172033.1203988, 0.0]","[1.0, 1.0]",1.0,1.0,3.8682072162628174,1625172037.403723,1,-1,0,-1,0.4,0.0,15,6,0,"[0, 0]"
35,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625172040.7223008, 0.0]","[1.0, 1.0]",1.0,1.0,1.3666551113128662,1625172042.6045718,1,-1,0,-1,0.6666666666666666,1.0,3,2,0,"[0, 0]"
36,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625172040.8039093, 0.0]","[1.0, 1.0]",1.0,1.0,3.867473840713501,1625172045.320346,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
37,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625172048.088665, 0.0]","[1.0, 1.0]",1.0,1.0,2.167433977127075,1625172050.72029,1,-1,0,-1,0.5714285714285714,1.0,7,4,0,"[0, 0]"
38,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625172049.972656, 0.0]","[1.0, 1.0]",1.0,1.0,3.8665969371795654,1625172054.271034,1,-1,0,-1,0.8,0.0,15,12,0,"[0, 0]"
39,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625172056.5054898, 0.0]","[1.0, 1.0]",1.0,1.0,2.433195114135742,1625172059.437068,1,-1,0,-1,0.625,1.0,8,5,0,"[0, 0]"
40,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625172061.2391741, 0.0]","[1.0, 1.0]",1.0,1.0,1.7832579612731934,1625172063.570928,1,-1,0,-1,0.8,1.0,5,4,0,"[0, 0]"
41,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625172063.2720158, 0.0]","[1.0, 1.0]",1.0,1.0,2.84991717338562,1625172067.0042748,1,-1,0,-1,0.4,1.0,10,4,0,"[0, 0]"
42,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625172066.8386, 0.0]","[1.0, 1.0]",1.0,1.0,3.866617202758789,1625172071.220778,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
43,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1625172072.4213972, 0.0]","[0.0, 0.0]",0.0,0.0,3.8666398525238037,1625172076.737349,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
44,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625172079.1549942, 0.0]","[1.0, 0.0]",1.0,0.0,2.233339786529541,1625172081.9705951,1,-1,0,1,0.2857142857142857,1.0,7,2,0,"[0, 0]"
45,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625172081.10497, 0.0]","[1.0, 0.0]",1.0,0.0,3.86663818359375,1625172085.454026,1,-1,0,1,0.4,0.0,15,6,0,"[0, 0]"
46,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625172086.1880617, 0.0]","[1.0, 0.0]",1.0,0.0,3.866532325744629,1625172090.7039738,1,-1,0,1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
47,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625172092.755287, 0.0]","[1.0, 0.0]",1.0,0.0,2.883347988128662,1625172096.203839,1,-1,0,1,0.5,1.0,10,5,0,"[0, 0]"
48,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625172098.8554542, 0.0]","[1.0, 0.0]",1.0,0.0,1.3833818435668945,1625172101.036971,1,-1,0,1,1.0,1.0,3,3,0,"[0, 0]"
49,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625172099.4708102, 0.0]","[1.0, 0.0]",1.0,0.0,3.8667049407958984,1625172103.786935,1,-1,0,1,0.3333333333333333,0.0,15,5,0,"[0, 0]"
50,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625172105.487157, 0.0]","[1.0, 0.0]",1.0,0.0,2.9500389099121094,1625172109.053489,1,-1,0,1,0.5454545454545454,1.0,11,6,0,"[0, 0]"
51,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625172111.205015, 0.0]","[1.0, 0.0]",1.0,0.0,1.816643238067627,1625172113.4702709,1,-1,0,1,0.8,1.0,5,4,0,"[0, 0]"
52,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625172112.2371397, 0.0]","[1.0, 0.0]",1.0,0.0,3.866685152053833,1625172116.7367098,1,-1,0,1,0.6,0.0,15,9,0,"[0, 0]"
53,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1625172117.8209069, 0.0]","[1.0, 0.0]",1.0,0.0,3.8666062355041504,1625172122.386633,1,-1,0,1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
