,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Corrects,Pos_in_block,trial_idx,date,subject
0,1R,Low,3.0,3.0,0.0,0.0,self,1.0,0.0,1.0,2021_07_07,CK
1,1R,Low,4.0,4.0,0.0,0.0,self,1.0,2.0,3.0,2021_07_07,CK
2,1R,Low,8.0,8.0,0.0,0.0,self,1.0,3.0,4.0,2021_07_07,CK
3,1R,Low,7.0,7.0,0.0,0.0,self,1.0,4.0,5.0,2021_07_07,CK
4,1R,Low,3.0,3.0,0.0,0.0,self,1.0,7.0,8.0,2021_07_07,CK
5,1R,Low,6.0,6.0,0.0,0.0,self,1.0,8.0,9.0,2021_07_07,CK
6,1R,Low,6.0,6.0,0.0,0.0,self,1.0,9.0,10.0,2021_07_07,CK
7,1R,Low,4.0,4.0,0.0,1.0,self,0.0,10.0,11.0,2021_07_07,CK
8,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,16.0,2021_07_07,CK
9,1R,Low,6.0,6.0,0.0,0.0,self,1.0,3.0,19.0,2021_07_07,CK
10,1R,Low,8.0,8.0,0.0,0.0,self,1.0,5.0,21.0,2021_07_07,CK
11,1R,Low,3.0,3.0,0.0,1.0,self,0.0,6.0,22.0,2021_07_07,CK
12,1R,Low,3.0,3.0,0.0,0.0,self,1.0,0.0,26.0,2021_07_07,CK
13,1R,Low,8.0,8.0,0.0,0.0,self,1.0,2.0,28.0,2021_07_07,CK
14,1R,Low,1.0,1.0,0.0,0.0,self,1.0,3.0,29.0,2021_07_07,CK
15,1R,Low,5.0,5.0,0.0,0.0,self,1.0,4.0,30.0,2021_07_07,CK
16,1R,Med,9.0,9.0,0.0,0.0,self,1.0,5.0,31.0,2021_07_07,CK
17,1R,Low,3.0,3.0,0.0,0.0,self,1.0,8.0,34.0,2021_07_07,CK
18,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,44.0,2021_07_07,CK
19,1R,Low,2.0,2.0,0.0,0.0,self,1.0,2.0,46.0,2021_07_07,CK
20,1R,Low,8.0,8.0,0.0,0.0,self,1.0,0.0,56.0,2021_07_07,CK
21,1R,Low,3.0,3.0,0.0,0.0,self,1.0,1.0,57.0,2021_07_07,CK
22,1R,Low,4.0,4.0,0.0,0.0,self,1.0,4.0,60.0,2021_07_07,CK
23,1R,Low,2.0,2.0,0.0,0.0,self,1.0,5.0,61.0,2021_07_07,CK
24,1R,Low,6.0,6.0,0.0,0.0,self,1.0,6.0,62.0,2021_07_07,CK
25,1R,Low,2.0,2.0,0.0,0.0,self,1.0,8.0,64.0,2021_07_07,CK
26,1R,Low,5.0,5.0,0.0,1.0,self,0.0,10.0,66.0,2021_07_07,CK
27,1R,Low,3.0,3.0,0.0,0.0,self,1.0,0.0,69.0,2021_07_07,CK
28,1R,Low,1.0,1.0,0.0,0.0,self,1.0,2.0,71.0,2021_07_07,CK
29,1R,Low,5.0,5.0,0.0,0.0,self,1.0,3.0,72.0,2021_07_07,CK
30,1R,Low,7.0,7.0,0.0,0.0,self,1.0,4.0,73.0,2021_07_07,CK
31,1R,Low,1.0,1.0,0.0,0.0,self,1.0,6.0,75.0,2021_07_07,CK
32,1R,Med,10.0,10.0,0.0,0.0,self,1.0,7.0,76.0,2021_07_07,CK
33,1R,Low,1.0,1.0,0.0,0.0,self,1.0,8.0,77.0,2021_07_07,CK
34,1R,Low,1.0,1.0,0.0,0.0,self,1.0,10.0,79.0,2021_07_07,CK
35,1R,Low,2.0,2.0,0.0,1.0,self,0.0,12.0,81.0,2021_07_07,CK
36,1R,Low,4.0,4.0,0.0,0.0,self,1.0,0.0,86.0,2021_07_07,CK
37,1R,Low,6.0,6.0,0.0,0.0,self,1.0,2.0,88.0,2021_07_07,CK
38,1R,Low,6.0,6.0,0.0,0.0,self,1.0,3.0,89.0,2021_07_07,CK
39,1R,Low,4.0,4.0,0.0,0.0,self,1.0,4.0,90.0,2021_07_07,CK
40,1R,Low,8.0,8.0,0.0,0.0,self,1.0,5.0,91.0,2021_07_07,CK
41,1R,Med,10.0,10.0,0.0,0.0,self,1.0,6.0,92.0,2021_07_07,CK
42,1R,Low,8.0,8.0,0.0,0.0,self,1.0,7.0,93.0,2021_07_07,CK
43,1R,Low,5.0,5.0,0.0,0.0,self,1.0,0.0,96.0,2021_07_07,CK
44,1R,Low,1.0,1.0,0.0,0.0,self,1.0,2.0,98.0,2021_07_07,CK
45,1R,Med,9.0,9.0,0.0,0.0,self,1.0,3.0,99.0,2021_07_07,CK
46,1R,Low,2.0,2.0,0.0,0.0,self,1.0,5.0,101.0,2021_07_07,CK
47,1R,Low,4.0,4.0,0.0,0.0,self,1.0,7.0,103.0,2021_07_07,CK
48,1R,Low,4.0,4.0,0.0,0.0,self,1.0,10.0,106.0,2021_07_07,CK
49,1R,Low,2.0,2.0,0.0,0.0,self,1.0,12.0,108.0,2021_07_07,CK
50,1R,Low,7.0,7.0,0.0,0.0,self,1.0,15.0,111.0,2021_07_07,CK
51,1R,Med,11.0,11.0,0.0,1.0,self,0.0,17.0,113.0,2021_07_07,CK
52,1R,Low,6.0,6.0,0.0,0.0,self,1.0,0.0,122.0,2021_07_07,CK
53,1R,Low,3.0,3.0,0.0,0.0,self,1.0,1.0,123.0,2021_07_07,CK
54,1R,Low,4.0,4.0,0.0,1.0,self,0.0,2.0,124.0,2021_07_07,CK
55,1R,Med,11.0,11.0,0.0,0.0,self,1.0,0.0,130.0,2021_07_07,CK
56,1R,Low,3.0,3.0,0.0,0.0,self,1.0,2.0,132.0,2021_07_07,CK
57,1R,Low,3.0,3.0,0.0,0.0,self,1.0,4.0,134.0,2021_07_07,CK
58,1R,Low,2.0,2.0,0.0,0.0,self,1.0,5.0,135.0,2021_07_07,CK
59,1R,Low,2.0,2.0,0.0,0.0,self,1.0,6.0,136.0,2021_07_07,CK
60,1R,Low,2.0,2.0,0.0,0.0,self,1.0,7.0,137.0,2021_07_07,CK
61,1R,Low,3.0,3.0,0.0,1.0,self,0.0,8.0,138.0,2021_07_07,CK
62,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,142.0,2021_07_07,CK
63,1R,Low,5.0,5.0,0.0,0.0,self,1.0,1.0,143.0,2021_07_07,CK
64,1R,Low,4.0,4.0,0.0,0.0,self,1.0,2.0,144.0,2021_07_07,CK
65,1R,Low,5.0,5.0,0.0,0.0,self,1.0,4.0,146.0,2021_07_07,CK
66,1R,Low,1.0,1.0,1.0,0.0,self,0.0,6.0,148.0,2021_07_07,CK
67,1R,Low,1.0,1.0,0.0,1.0,self,0.0,8.0,150.0,2021_07_07,CK
68,1R,Low,5.0,5.0,0.0,0.0,self,1.0,0.0,155.0,2021_07_07,CK
69,1R,Low,5.0,5.0,0.0,0.0,self,1.0,1.0,156.0,2021_07_07,CK
70,1R,Med,9.0,9.0,0.0,0.0,self,1.0,4.0,159.0,2021_07_07,CK
71,1R,Low,3.0,3.0,0.0,0.0,self,1.0,5.0,160.0,2021_07_07,CK
72,1R,Low,3.0,3.0,0.0,0.0,self,1.0,6.0,161.0,2021_07_07,CK
73,1R,Low,1.0,1.0,0.0,0.0,self,1.0,7.0,162.0,2021_07_07,CK
74,1R,Low,8.0,8.0,0.0,0.0,self,1.0,8.0,163.0,2021_07_07,CK
75,1R,Med,10.0,10.0,0.0,0.0,self,1.0,0.0,166.0,2021_07_07,CK
76,1R,Low,4.0,4.0,0.0,0.0,self,1.0,1.0,167.0,2021_07_07,CK
