,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.1702127659574468,H,0.1702127659574468,,2021_07_02
1,-10,0.2978723404255319,H,0.2978723404255319,,2021_07_02
2,-9,0.40425531914893614,H,0.40425531914893614,,2021_07_02
3,-8,0.5106382978723404,H,0.5106382978723404,,2021_07_02
4,-7,0.5957446808510638,H,0.5957446808510638,,2021_07_02
5,-6,0.6808510638297872,H,0.6808510638297872,,2021_07_02
6,-5,0.8297872340425532,H,0.8297872340425532,,2021_07_02
7,-4,0.851063829787234,H,0.851063829787234,,2021_07_02
8,-3,0.8723404255319149,H,0.8723404255319149,,2021_07_02
9,-2,0.9148936170212766,H,0.9148936170212766,,2021_07_02
10,-1,0.9361702127659575,H,0.9361702127659575,,2021_07_02
11,0,0.0851063829787234,H,0.0851063829787234,,2021_07_02
12,1,0.10638297872340426,H,0.10638297872340426,,2021_07_02
13,2,0.19148936170212766,H,0.19148936170212766,,2021_07_02
14,3,0.2978723404255319,H,0.2978723404255319,,2021_07_02
15,4,0.46808510638297873,H,0.46808510638297873,,2021_07_02
16,5,0.5531914893617021,H,0.5531914893617021,,2021_07_02
17,6,0.6808510638297872,H,0.6808510638297872,,2021_07_02
18,7,0.7872340425531915,H,0.7872340425531915,,2021_07_02
19,8,0.8297872340425532,H,0.8297872340425532,,2021_07_02
20,9,0.8723404255319149,H,0.8723404255319149,,2021_07_02
21,10,0.8936170212765957,H,0.8936170212765957,,2021_07_02
