,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,confidence
0,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625256416.7918918, 0.0]","[1.0, 1.0]",1.0,1.0,3.3666281700134277,1625256427.872799,1,-1,0,-1,0.7692307692307693,1.0,13,10,0,"[0, 0]"
1,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625256429.4904687, 0.0]","[1.0, 1.0]",1.0,1.0,2.766639232635498,1625256433.072681,1,-1,0,-1,0.6,1.0,10,6,0,"[0, 0]"
2,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625256432.957359, 0.0]","[1.0, 1.0]",1.0,1.0,3.88315486907959,1625256437.506046,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
3,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625256440.890738, 0.0]","[1.0, 1.0]",1.0,1.0,1.5501019954681396,1625256443.155821,1,-1,0,-1,1.0,1.0,4,4,0,"[0, 0]"
4,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625256441.9569051, 0.0]","[1.0, 1.0]",1.0,1.0,3.566720962524414,1625256446.505772,1,-1,0,-1,0.5714285714285714,1.0,14,8,0,"[0, 0]"
5,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625256447.290669, 0.0]","[1.0, 1.0]",1.0,1.0,3.8166379928588867,1625256451.872416,1,-1,0,-1,0.4666666666666667,1.0,15,7,0,"[0, 0]"
6,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625256452.823344, 0.0]","[1.0, 1.0]",1.0,1.0,3.8666269779205322,1625256457.388927,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
7,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625256458.423768, 0.0]","[1.0, 1.0]",1.0,1.0,3.866743803024292,1625256464.205508,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
8,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625256467.7224152, 0.0]","[1.0, 1.0]",1.0,1.0,1.1667258739471436,1625256469.5887392,1,-1,0,-1,1.0,1.0,2,2,0,"[0, 0]"
9,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1625256469.0063052, 0.0]","[1.0, 1.0]",1.0,1.0,2.466850996017456,1625256472.222035,1,-1,0,-1,0.75,1.0,8,6,0,"[0, 0]"
