,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.4222222222222222,J,0.4222222222222222,,2021_06_11
1,-10,0.5111111111111111,J,0.5111111111111111,,2021_06_11
2,-9,0.7333333333333333,J,0.7333333333333333,,2021_06_11
3,-8,0.7555555555555555,J,0.7555555555555555,,2021_06_11
4,-7,0.8666666666666667,J,0.8666666666666667,,2021_06_11
5,-6,0.8222222222222222,J,0.8222222222222222,,2021_06_11
6,-5,0.9333333333333333,J,0.9333333333333333,,2021_06_11
7,-4,0.9333333333333333,J,0.9333333333333333,,2021_06_11
8,-3,0.9333333333333333,J,0.9333333333333333,,2021_06_11
9,-2,0.8666666666666667,J,0.8666666666666667,,2021_06_11
10,-1,0.9333333333333333,J,0.9333333333333333,,2021_06_11
11,0,0.08888888888888889,J,0.08888888888888889,,2021_06_11
12,1,0.2222222222222222,J,0.2222222222222222,,2021_06_11
13,2,0.4666666666666667,J,0.4666666666666667,,2021_06_11
14,3,0.6888888888888889,J,0.6888888888888889,,2021_06_11
15,4,0.7111111111111111,J,0.7111111111111111,,2021_06_11
16,5,0.75,J,0.75,,2021_06_11
17,6,0.8636363636363636,J,0.8636363636363636,,2021_06_11
18,7,0.8409090909090909,J,0.8409090909090909,,2021_06_11
19,8,0.9318181818181818,J,0.9318181818181818,,2021_06_11
20,9,0.9318181818181818,J,0.9318181818181818,,2021_06_11
21,10,0.9090909090909091,J,0.9090909090909091,,2021_06_11
