,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Corrects,Pos_in_block,trial_idx,date,subject
0,1R,Med,10.0,10.0,0.0,0.0,self,1.0,0.0,0.0,2021_06_20,JY
1,1R,Low,6.0,6.0,0.0,0.0,self,1.0,1.0,1.0,2021_06_20,JY
2,1R,Low,4.0,4.0,0.0,0.0,self,1.0,3.0,3.0,2021_06_20,JY
3,1R,Low,8.0,8.0,0.0,0.0,self,1.0,4.0,4.0,2021_06_20,JY
4,1R,Low,7.0,7.0,0.0,0.0,self,1.0,5.0,5.0,2021_06_20,JY
5,1R,Low,2.0,2.0,0.0,0.0,self,1.0,8.0,8.0,2021_06_20,JY
6,1R,Low,6.0,6.0,0.0,0.0,self,1.0,9.0,9.0,2021_06_20,JY
7,1R,Low,6.0,6.0,0.0,0.0,self,1.0,10.0,10.0,2021_06_20,JY
8,1R,Low,4.0,4.0,0.0,1.0,self,0.0,11.0,11.0,2021_06_20,JY
9,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,13.0,2021_06_20,JY
10,1R,Low,6.0,6.0,0.0,0.0,self,1.0,2.0,15.0,2021_06_20,JY
11,1R,Low,1.0,1.0,0.0,0.0,self,1.0,3.0,16.0,2021_06_20,JY
12,1R,Low,3.0,3.0,0.0,0.0,self,1.0,4.0,17.0,2021_06_20,JY
13,1R,Low,3.0,3.0,0.0,0.0,self,1.0,5.0,18.0,2021_06_20,JY
14,1R,Low,2.0,2.0,0.0,0.0,self,1.0,6.0,19.0,2021_06_20,JY
15,1R,Low,1.0,1.0,0.0,0.0,self,1.0,9.0,22.0,2021_06_20,JY
16,1R,Low,5.0,5.0,0.0,1.0,self,0.0,10.0,23.0,2021_06_20,JY
17,1R,Low,4.0,4.0,0.0,0.0,self,1.0,0.0,28.0,2021_06_20,JY
18,1R,Low,5.0,5.0,0.0,0.0,self,1.0,1.0,29.0,2021_06_20,JY
