,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,confidence
0,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624721943.789288, 0.0]","[1.0, 1.0]",1.0,1.0,2.9499900341033936,1624721950.938422,1,-1,0,-1,0.9090909090909091,1.0,11,10,0,"[0, 0]"
1,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624721952.0728698, 0.0]","[1.0, 1.0]",1.0,1.0,2.766637086868286,1624721955.6550038,1,-1,0,-1,0.6,1.0,10,6,0,"[0, 0]"
2,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624721955.5571742, 0.0]","[1.0, 1.0]",1.0,1.0,3.8659508228302,1624721960.588284,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
3,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624721963.9563007, 0.0]","[1.0, 1.0]",1.0,1.0,1.5667130947113037,1624721966.621417,1,-1,0,-1,1.0,1.0,4,4,0,"[0, 0]"
4,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624721965.756313, 0.0]","[1.0, 1.0]",1.0,1.0,3.350001811981201,1624721970.6546502,1,-1,0,-1,0.6153846153846154,1.0,13,8,0,"[0, 0]"
5,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624721971.389566, 0.0]","[1.0, 1.0]",1.0,1.0,3.8165440559387207,1624721975.687933,1,-1,0,-1,0.4666666666666667,1.0,15,7,0,"[0, 0]"
6,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624721976.438951, 0.0]","[1.0, 1.0]",1.0,1.0,3.866611957550049,1624721981.487812,1,-1,0,-1,0.8666666666666667,0.0,15,13,0,"[0, 0]"
7,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624721983.423809, 0.0]","[1.0, 1.0]",1.0,1.0,2.965762138366699,1624721986.837715,1,-1,0,-1,0.5454545454545454,1.0,11,6,0,"[0, 0]"
8,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624721990.005219, 0.0]","[1.0, 1.0]",1.0,1.0,0.9832890033721924,1624721991.454292,1,-1,0,-1,1.0,1.0,1,1,0,"[0, 0]"
9,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624721990.320907, 0.0]","[1.0, 1.0]",1.0,1.0,2.7500147819519043,1624721993.737555,1,-1,0,-1,0.6,1.0,10,6,0,"[0, 0]"
10,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624721995.088992, 0.0]","[1.0, 1.0]",1.0,1.0,2.566640853881836,1624721998.6541362,1,-1,0,-1,0.6666666666666666,1.0,9,6,0,"[0, 0]"
11,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624722000.289286, 0.0]","[1.0, 1.0]",1.0,1.0,1.966336965560913,1624722002.687552,1,-1,0,-1,0.6666666666666666,1.0,6,4,0,"[0, 0]"
12,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624722001.4553792, 0.0]","[0.0, 0.0]",0.0,0.0,3.8832898139953613,1624722006.587269,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
13,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722009.4543703, 0.0]","[1.0, 0.0]",1.0,0.0,1.966615915298462,1624722012.003909,1,-1,0,1,0.5,1.0,6,3,0,"[0, 0]"
14,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722011.1385732, 0.0]","[1.0, 0.0]",1.0,0.0,3.8667588233947754,1624722015.5204291,1,-1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
15,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722016.7220078, 0.0]","[1.0, 0.0]",1.0,0.0,3.8666272163391113,1624722021.037001,1,-1,0,1,0.8666666666666667,0.0,15,13,0,"[0, 0]"
16,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722023.920349, 0.0]","[1.0, 0.0]",1.0,0.0,1.7667970657348633,1624722026.670203,1,-1,0,1,0.8,1.0,5,4,0,"[0, 0]"
17,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722027.8879638, 0.0]","[1.0, 0.0]",1.0,0.0,1.3834130764007568,1624722029.9867818,1,-1,0,1,1.0,1.0,3,3,0,"[0, 0]"
18,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722030.771639, 0.0]","[1.0, 0.0]",1.0,0.0,1.583392858505249,1624722033.053419,1,-1,0,1,0.75,1.0,4,3,0,"[0, 0]"
19,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722034.288457, 0.0]","[1.0, 0.0]",1.0,0.0,1.1493701934814453,1624722036.1533089,1,-1,0,1,1.0,1.0,2,2,0,"[0, 0]"
20,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722034.1377568, 0.0]","[1.0, 0.0]",1.0,0.0,3.883263111114502,1624722038.603332,1,-1,0,1,0.6,0.0,15,9,0,"[0, 0]"
21,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722039.7381647, 0.0]","[1.0, 0.0]",1.0,0.0,3.8665881156921387,1624722044.30316,1,-1,0,1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
22,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722045.320682, 0.0]","[1.0, 0.0]",1.0,0.0,3.883352041244507,1624722050.303016,1,-1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
23,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722052.93708, 0.0]","[1.0, 0.0]",1.0,0.0,2.3667550086975098,1624722056.519562,1,-1,0,1,0.75,1.0,8,6,0,"[0, 0]"
24,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722058.7210503, 0.0]","[1.0, 0.0]",1.0,0.0,1.1833689212799072,1624722060.5361469,1,-1,0,1,0.5,1.0,2,1,0,"[0, 0]"
25,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722058.8538902, 0.0]","[1.0, 0.0]",1.0,0.0,3.633309841156006,1624722063.619436,1,-1,0,1,0.7142857142857143,1.0,14,10,0,"[0, 0]"
26,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722065.1038208, 0.0]","[1.0, 0.0]",1.0,0.0,2.966665267944336,1624722068.8193018,1,-1,0,1,0.8181818181818182,1.0,11,9,0,"[0, 0]"
