,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.41304347826086957,K,0.41304347826086957,,2021_06_27
1,-10,0.574468085106383,K,0.574468085106383,,2021_06_27
2,-9,0.7021276595744681,K,0.7021276595744681,,2021_06_27
3,-8,0.7659574468085106,K,0.7659574468085106,,2021_06_27
4,-7,0.7872340425531915,K,0.7872340425531915,,2021_06_27
5,-6,0.7872340425531915,K,0.7872340425531915,,2021_06_27
6,-5,0.5957446808510638,K,0.5957446808510638,,2021_06_27
7,-4,0.6382978723404256,K,0.6382978723404256,,2021_06_27
8,-3,0.6595744680851063,K,0.6595744680851063,,2021_06_27
9,-2,0.6595744680851063,K,0.6595744680851063,,2021_06_27
10,-1,0.7021276595744681,K,0.7021276595744681,,2021_06_27
11,0,0.23404255319148937,K,0.23404255319148937,,2021_06_27
12,1,0.43478260869565216,K,0.43478260869565216,,2021_06_27
13,2,0.6304347826086957,K,0.6304347826086957,,2021_06_27
14,3,0.7608695652173914,K,0.7608695652173914,,2021_06_27
15,4,0.8043478260869565,K,0.8043478260869565,,2021_06_27
16,5,0.8043478260869565,K,0.8043478260869565,,2021_06_27
17,6,0.7608695652173914,K,0.7608695652173914,,2021_06_27
18,7,0.717391304347826,K,0.717391304347826,,2021_06_27
19,8,0.6956521739130435,K,0.6956521739130435,,2021_06_27
20,9,0.717391304347826,K,0.717391304347826,,2021_06_27
21,10,0.7608695652173914,K,0.7608695652173914,,2021_06_27
