,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Corrects,Pos_in_block,trial_idx,date,subject
0,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,1.0,2021_06_27,KL
1,1R,Low,3.0,3.0,1.0,0.0,self,0.0,2.0,3.0,2021_06_27,KL
2,1R,Low,1.0,1.0,0.0,0.0,self,1.0,5.0,6.0,2021_06_27,KL
3,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,14.0,2021_06_27,KL
4,1R,Low,1.0,1.0,0.0,0.0,self,1.0,2.0,16.0,2021_06_27,KL
5,1R,Low,3.0,3.0,0.0,0.0,self,1.0,3.0,17.0,2021_06_27,KL
6,1R,Low,3.0,3.0,0.0,0.0,self,1.0,4.0,18.0,2021_06_27,KL
7,1R,Low,2.0,2.0,0.0,0.0,self,1.0,5.0,19.0,2021_06_27,KL
8,1R,Low,7.0,7.0,0.0,0.0,self,1.0,0.0,26.0,2021_06_27,KL
9,1R,Low,8.0,8.0,0.0,0.0,self,1.0,2.0,28.0,2021_06_27,KL
10,1R,Low,1.0,1.0,0.0,0.0,self,1.0,3.0,29.0,2021_06_27,KL
11,1R,Low,5.0,5.0,0.0,0.0,self,1.0,4.0,30.0,2021_06_27,KL
12,1R,Med,9.0,9.0,0.0,0.0,self,1.0,5.0,31.0,2021_06_27,KL
13,1R,Low,8.0,8.0,0.0,0.0,self,1.0,7.0,33.0,2021_06_27,KL
14,1R,Low,3.0,3.0,0.0,0.0,self,1.0,8.0,34.0,2021_06_27,KL
15,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,36.0,2021_06_27,KL
16,1R,Low,5.0,5.0,0.0,0.0,self,1.0,3.0,39.0,2021_06_27,KL
17,1R,Med,9.0,9.0,0.0,0.0,self,1.0,5.0,41.0,2021_06_27,KL
18,1R,Low,1.0,1.0,0.0,0.0,self,1.0,6.0,42.0,2021_06_27,KL
19,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,48.0,2021_06_27,KL
20,1R,Low,8.0,8.0,1.0,0.0,self,0.0,1.0,49.0,2021_06_27,KL
21,1R,Low,4.0,4.0,0.0,0.0,self,1.0,3.0,51.0,2021_06_27,KL
22,1R,Low,5.0,5.0,0.0,0.0,self,1.0,4.0,52.0,2021_06_27,KL
23,1R,Low,1.0,1.0,0.0,0.0,self,1.0,5.0,53.0,2021_06_27,KL
