,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,confidence
0,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624821646.661546, 0.0]","[1.0, 1.0]",1.0,1.0,3.867690086364746,1624821653.294028,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
1,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624821657.1127548, 0.0]","[1.0, 1.0]",1.0,1.0,1.0000190734863281,1624821659.111449,1,-1,0,-1,1.0,1.0,1,1,0,"[0, 0]"
2,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624821657.3287673, 0.0]","[1.0, 1.0]",1.0,1.0,3.866757869720459,1624821661.994724,1,-1,0,-1,0.9333333333333333,0.0,15,14,0,"[0, 0]"
3,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624821664.8287432, 0.0]","[1.0, 1.0]",1.0,1.0,1.9666929244995117,1624821667.594563,1,-1,0,-1,0.5,1.0,6,3,0,"[0, 0]"
4,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624821666.4957073, 0.0]","[0.0, 1.0]",0.0,1.0,3.8832168579101562,1624821671.261209,1,-1,0,1,0.4,0.0,15,6,0,"[0, 0]"
5,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624821672.094843, 0.0]","[1.0, 1.0]",1.0,1.0,3.86653208732605,1624821676.7444139,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
6,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624821680.528739, 0.0]","[1.0, 1.0]",1.0,1.0,1.0167748928070068,1624821682.2608662,1,-1,0,-1,1.0,1.0,1,1,0,"[0, 0]"
7,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624821680.2609699, 0.0]","[1.0, 1.0]",1.0,1.0,3.867314100265503,1624821684.826693,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
8,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624821685.861682, 0.0]","[1.0, 1.0]",1.0,1.0,3.8666701316833496,1624821690.427358,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
9,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624821691.4614701, 0.0]","[0.0, 1.0]",0.0,1.0,3.8666579723358154,1624821695.976355,1,-1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
10,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624821697.0453188, 0.0]","[0.0, 1.0]",0.0,1.0,3.883347988128662,1624821701.810393,1,-1,0,1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
11,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624821702.6606781, 0.0]","[0.0, 0.0]",0.0,0.0,3.8666858673095703,1624821707.4603362,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
12,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624821708.243798, 0.0]","[0.0, 0.0]",0.0,0.0,3.8665621280670166,1624821712.8600929,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
13,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624821713.8280208, 0.0]","[0.0, 0.0]",0.0,0.0,3.8666141033172607,1624821718.16005,1,-1,0,-1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
14,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624821721.5935671, 0.0]","[1.0, 0.0]",1.0,0.0,1.183304786682129,1624821723.5099132,1,-1,0,1,1.0,1.0,2,2,0,"[0, 0]"
15,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624821721.4930658, 0.0]","[1.0, 0.0]",1.0,0.0,3.866528034210205,1624821726.126465,1,-1,0,1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
16,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624821729.7772639, 0.0]","[1.0, 0.0]",1.0,0.0,1.1666669845581055,1624821731.626278,1,-1,0,1,0.5,1.0,2,1,0,"[0, 0]"
17,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624821731.9275491, 0.0]","[1.0, 0.0]",1.0,0.0,1.5990660190582275,1624821734.409693,1,-1,0,1,0.75,1.0,4,3,0,"[0, 0]"
18,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624821735.561177, 0.0]","[1.0, 0.0]",1.0,0.0,1.549950122833252,1624821738.059573,1,-1,0,1,0.75,1.0,4,3,0,"[0, 0]"
19,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624821739.511087, 0.0]","[1.0, 0.0]",1.0,0.0,1.183264970779419,1624821741.459454,1,-1,0,1,1.0,1.0,2,2,0,"[0, 0]"
20,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624821739.910055, 0.0]","[1.0, 0.0]",1.0,0.0,3.8667399883270264,1624821744.44259,1,-1,0,1,0.4,0.0,15,6,0,"[0, 0]"
21,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624821745.5101109, 0.0]","[0.0, 0.0]",0.0,0.0,3.866697072982788,1624821750.109182,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
22,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624821751.0938108, 0.0]","[0.0, 0.0]",0.0,0.0,3.866607189178467,1624821755.60898,1,-1,0,-1,0.8,0.0,15,12,0,"[0, 0]"
23,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624821756.6939647, 0.0]","[0.0, 0.0]",0.0,0.0,3.8665871620178223,1624821761.208839,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
24,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624821762.2769227, 0.0]","[0.0, 1.0]",0.0,1.0,3.8834753036499023,1624821766.64214,1,-1,0,1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
25,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624821767.3761072, 0.0]","[0.0, 1.0]",0.0,1.0,3.866581916809082,1624821772.125258,1,-1,0,1,0.6,0.0,15,9,0,"[0, 0]"
26,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624821774.5920882, 0.0]","[1.0, 1.0]",1.0,1.0,2.2499618530273438,1624821777.458465,1,-1,0,-1,1.0,1.0,7,7,0,"[0, 0]"
27,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624821776.559456, 0.0]","[1.0, 1.0]",1.0,1.0,3.8666648864746094,1624821781.175033,1,-1,0,-1,0.8,0.0,15,12,0,"[0, 0]"
