,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted
0,"[-1.0, 0.0]",-1.0,0.0,1.0,"[2.298546075820923, -1628431541.322641]","[1.0, 0.0]","[2.8662500381469727, -1628431541.322641]","[0.0, 0.0]",0.0,0.0,4.749343156814575,1628431544.188891,1,0,0,-1,0.8,0.0,15,12,0
1,"[1.0, 0.0]",1.0,0.0,1.0,"[0.0, -1628431549.922574]","[1.0, 0.0]","[0.5994818210601807, -1628431549.922574]","[1.0, 0.0]",1.0,0.0,4.7492170333862305,1628431550.5220559,1,0,0,1,0.7333333333333333,0.0,15,11,0
2,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.26485729217529297, -1628431556.506816]","[1.0, 0.0]","[0.44834423065185547, -1628431556.506816]","[0.0, 0.0]",0.0,0.0,4.749485015869141,1628431556.9551601,1,0,0,-1,0.4,0.0,15,6,0
3,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.09918212890625, -1628431562.605963]","[1.0, 0.0]","[0.6489448547363281, -1628431562.605963]","[0.0, 0.0]",0.0,0.0,4.7494871616363525,1628431563.2549078,1,0,0,-1,0.6666666666666666,0.0,15,10,0
4,"[1.0, 0.0]",1.0,0.0,1.0,"[0.16511893272399902, -1628431569.189329]","[1.0, 0.0]","[0.8487861156463623, -1628431569.189329]","[1.0, 0.0]",1.0,0.0,4.449551820755005,1628431570.038115,1,0,0,1,0.6428571428571429,1.0,14,9,0
5,"[1.0, 0.0]",1.0,0.0,1.0,"[0.23261308670043945, -1628431575.27221]","[4.0, 0.0]","[0.9657421112060547, -1628431575.27221]","[1.0, 0.0]",1.0,0.0,3.6831040382385254,1628431576.237952,1,0,0,1,0.5,1.0,10,5,0
6,"[1.0, 0.0]",1.0,0.0,1.0,"[0.2498178482055664, -1628431580.8717802]","[4.0, 0.0]","[0.5491077899932861, -1628431580.8717802]","[1.0, 0.0]",1.0,0.0,4.749995231628418,1628431581.420888,1,0,0,1,0.8,0.0,15,12,0
7,"[1.0, 0.0]",1.0,0.0,1.0,"[0.18337273597717285, -1628431586.9378932]","[4.0, 0.0]","[0.7666268348693848, -1628431586.9378932]","[1.0, 0.0]",1.0,0.0,2.0662288665771484,1628431587.70452,1,0,0,1,1.0,1.0,2,2,0
8,"[1.0, 0.0]",1.0,0.0,1.0,"[0.05035996437072754, -1628431590.521418]","[4.0, 0.0]","[0.5331478118896484, -1628431590.521418]","[1.0, 0.0]",1.0,0.0,3.282989025115967,1628431591.054566,1,0,0,1,0.875,1.0,8,7,0
9,"[1.0, 0.0]",1.0,0.0,1.0,"[0.04997730255126953, -1628431595.104586]","[4.0, 0.0]","[0.6331489086151123, -1628431595.104586]","[1.0, 0.0]",1.0,0.0,2.0495822429656982,1628431595.7377348,1,0,0,1,0.5,1.0,2,1,0
10,"[1.0, 0.0]",1.0,0.0,1.0,"[0.017136096954345703, -1628431598.704958]","[4.0, 0.0]","[0.43268704414367676, -1628431598.704958]","[1.0, 0.0]",1.0,0.0,1.849600076675415,1628431599.137645,1,0,0,1,1.0,1.0,1,1,0
11,"[1.0, 0.0]",1.0,0.0,1.0,"[0.2994730472564697, -1628431601.788167]","[3.0, 0.0]","[0.749701976776123, -1628431601.788167]","[1.0, 0.0]",1.0,0.0,3.699381113052368,1628431602.537869,1,0,0,1,0.6,1.0,10,6,0
12,"[1.0, 0.0]",1.0,0.0,1.0,"[0.815617561340332, -1628431607.3718662]","[3.0, 0.0]","[1.1491668224334717, -1628431607.3718662]","[1.0, 0.0]",1.0,0.0,4.066022157669067,1628431608.521033,1,0,0,1,0.75,1.0,12,9,0
13,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.21562886238098145, -1628431613.455174]","[3.0, 0.0]","[0.4489140510559082, -1628431613.455174]","[0.0, 0.0]",0.0,0.0,4.75016188621521,1628431613.904088,1,0,0,1,0.5333333333333333,0.0,15,8,0
14,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.43300294876098633, -1628431619.554434]","[3.0, 0.0]","[0.49965691566467285, -1628431619.554434]","[0.0, 0.0]",0.0,0.0,4.748733043670654,1628431620.054091,1,0,0,1,0.7333333333333333,0.0,15,11,0
15,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.2665281295776367, -1628431625.6374989]","[3.0, 0.0]","[0.7497432231903076, -1628431625.6374989]","[0.0, 0.0]",0.0,0.0,4.749820947647095,1628431626.387242,1,0,0,1,0.9333333333333333,0.0,15,14,0
16,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.0, -1628431632.222199]","[3.0, 0.0]","[0.7149529457092285, -1628431632.222199]","[0.0, 0.0]",0.0,0.0,4.7495739459991455,1628431632.937152,1,0,0,1,0.5333333333333333,0.0,15,8,0
17,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.9984920024871826, -1628431638.821999]","[2.0, 0.0]","[1.7318329811096191, -1628431638.821999]","[0.0, 0.0]",0.0,0.0,4.749395847320557,1628431640.553832,1,0,0,1,0.6,0.0,15,9,0
