,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.2608695652173913,L,0.2608695652173913,,2021_08_12
1,-10,0.34782608695652173,L,0.34782608695652173,,2021_08_12
2,-9,0.43478260869565216,L,0.43478260869565216,,2021_08_12
3,-8,0.5652173913043478,L,0.5652173913043478,,2021_08_12
4,-7,0.6956521739130435,L,0.6956521739130435,,2021_08_12
5,-6,0.7391304347826086,L,0.7391304347826086,,2021_08_12
6,-5,0.8043478260869565,L,0.8043478260869565,,2021_08_12
7,-4,0.8913043478260869,L,0.8913043478260869,,2021_08_12
8,-3,0.8695652173913043,L,0.8695652173913043,,2021_08_12
9,-2,0.9347826086956522,L,0.9347826086956522,,2021_08_12
10,-1,0.9565217391304348,L,0.9565217391304348,,2021_08_12
11,0,0.06521739130434782,L,0.06521739130434782,,2021_08_12
12,1,0.13043478260869565,L,0.13043478260869565,,2021_08_12
13,2,0.2222222222222222,L,0.2222222222222222,,2021_08_12
14,3,0.3333333333333333,L,0.3333333333333333,,2021_08_12
15,4,0.5777777777777777,L,0.5777777777777777,,2021_08_12
16,5,0.6444444444444445,L,0.6444444444444445,,2021_08_12
17,6,0.7333333333333333,L,0.7333333333333333,,2021_08_12
18,7,0.8666666666666667,L,0.8666666666666667,,2021_08_12
19,8,0.8444444444444444,L,0.8444444444444444,,2021_08_12
20,9,0.9333333333333333,L,0.9333333333333333,,2021_08_12
21,10,0.9555555555555556,L,0.9555555555555556,,2021_08_12
