,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Corrects,Pos_in_block,trial_idx,date,subject
0,1R,High,12.0,12.0,0.0,0.0,self,1.0,0.0,0.0,2021_08_12,LD
1,1R,Low,2.0,2.0,0.0,0.0,self,1.0,2.0,2.0,2021_08_12,LD
2,1R,Low,5.0,5.0,0.0,0.0,self,1.0,5.0,5.0,2021_08_12,LD
3,1R,Low,1.0,1.0,0.0,0.0,self,1.0,7.0,7.0,2021_08_12,LD
4,1R,Low,5.0,5.0,0.0,0.0,self,1.0,8.0,8.0,2021_08_12,LD
5,1R,Low,7.0,7.0,0.0,0.0,self,1.0,10.0,10.0,2021_08_12,LD
6,1R,Med,10.0,10.0,0.0,0.0,self,1.0,0.0,17.0,2021_08_12,LD
7,1R,Med,9.0,9.0,0.0,0.0,self,1.0,1.0,18.0,2021_08_12,LD
8,1R,Low,3.0,3.0,0.0,0.0,self,1.0,3.0,20.0,2021_08_12,LD
9,1R,Low,6.0,6.0,0.0,0.0,self,1.0,4.0,21.0,2021_08_12,LD
10,1R,Low,7.0,7.0,0.0,0.0,self,1.0,5.0,22.0,2021_08_12,LD
11,1R,Low,1.0,1.0,0.0,1.0,self,0.0,6.0,23.0,2021_08_12,LD
12,1R,Low,5.0,5.0,0.0,1.0,self,0.0,0.0,34.0,2021_08_12,LD
13,1R,Low,7.0,7.0,0.0,0.0,self,1.0,0.0,41.0,2021_08_12,LD
14,1R,Med,9.0,9.0,0.0,0.0,self,1.0,1.0,42.0,2021_08_12,LD
15,1R,Med,9.0,9.0,0.0,0.0,self,1.0,2.0,43.0,2021_08_12,LD
16,1R,Low,7.0,7.0,0.0,0.0,self,1.0,4.0,45.0,2021_08_12,LD
17,1R,Low,2.0,2.0,0.0,1.0,self,0.0,6.0,47.0,2021_08_12,LD
18,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,53.0,2021_08_12,LD
19,1R,Low,6.0,6.0,0.0,0.0,self,1.0,1.0,54.0,2021_08_12,LD
20,1R,Low,6.0,6.0,0.0,0.0,self,1.0,4.0,57.0,2021_08_12,LD
21,1R,Low,7.0,7.0,0.0,0.0,self,1.0,0.0,68.0,2021_08_12,LD
22,1R,Low,6.0,6.0,0.0,1.0,self,0.0,1.0,69.0,2021_08_12,LD
23,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,77.0,2021_08_12,LD
24,1R,Low,1.0,1.0,0.0,0.0,self,1.0,1.0,78.0,2021_08_12,LD
25,1R,Low,2.0,2.0,0.0,0.0,self,1.0,3.0,80.0,2021_08_12,LD
26,1R,Low,1.0,1.0,0.0,0.0,self,1.0,4.0,81.0,2021_08_12,LD
27,1R,Med,9.0,9.0,0.0,0.0,self,1.0,5.0,82.0,2021_08_12,LD
28,1R,Low,2.0,2.0,0.0,0.0,self,1.0,6.0,83.0,2021_08_12,LD
29,1R,Low,6.0,6.0,0.0,0.0,self,1.0,7.0,84.0,2021_08_12,LD
30,1R,Low,7.0,7.0,0.0,0.0,self,1.0,8.0,85.0,2021_08_12,LD
31,1R,Low,6.0,6.0,0.0,0.0,self,1.0,9.0,86.0,2021_08_12,LD
32,1R,Low,1.0,1.0,0.0,0.0,self,1.0,10.0,87.0,2021_08_12,LD
33,1R,Low,4.0,4.0,0.0,0.0,self,1.0,12.0,89.0,2021_08_12,LD
34,1R,Low,5.0,5.0,0.0,0.0,self,1.0,14.0,91.0,2021_08_12,LD
35,1R,Low,6.0,6.0,0.0,0.0,self,1.0,16.0,93.0,2021_08_12,LD
36,1R,Low,5.0,5.0,0.0,0.0,self,1.0,18.0,95.0,2021_08_12,LD
37,1R,Med,9.0,9.0,0.0,0.0,self,1.0,0.0,100.0,2021_08_12,LD
38,1R,Low,5.0,5.0,0.0,0.0,self,1.0,2.0,102.0,2021_08_12,LD
39,1R,Low,6.0,6.0,0.0,0.0,self,1.0,3.0,103.0,2021_08_12,LD
40,1R,Med,9.0,9.0,0.0,0.0,self,1.0,4.0,104.0,2021_08_12,LD
41,1R,Low,2.0,2.0,0.0,0.0,self,1.0,5.0,105.0,2021_08_12,LD
42,1R,Low,2.0,2.0,0.0,0.0,self,1.0,6.0,106.0,2021_08_12,LD
43,1R,Med,11.0,11.0,0.0,0.0,self,1.0,0.0,114.0,2021_08_12,LD
44,1R,Low,5.0,5.0,0.0,0.0,self,1.0,1.0,115.0,2021_08_12,LD
45,1R,Low,4.0,4.0,0.0,0.0,self,1.0,4.0,118.0,2021_08_12,LD
46,1R,Low,3.0,3.0,0.0,0.0,self,1.0,5.0,119.0,2021_08_12,LD
47,1R,Low,5.0,5.0,0.0,0.0,self,1.0,6.0,120.0,2021_08_12,LD
48,1R,Low,4.0,4.0,0.0,0.0,self,1.0,7.0,121.0,2021_08_12,LD
49,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,124.0,2021_08_12,LD
50,1R,Low,5.0,5.0,0.0,0.0,self,1.0,1.0,125.0,2021_08_12,LD
51,1R,Low,4.0,4.0,0.0,0.0,self,1.0,2.0,126.0,2021_08_12,LD
52,1R,Low,3.0,3.0,0.0,0.0,self,1.0,4.0,128.0,2021_08_12,LD
