,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Corrects,Pos_in_block,trial_idx,date,subject
0,1R,Low,5.0,5.0,0.0,0.0,self,1.0,0.0,4.0,2021_05_07,MS
1,1R,Low,1.0,1.0,0.0,0.0,self,1.0,1.0,5.0,2021_05_07,MS
2,1R,Low,2.0,2.0,0.0,0.0,self,1.0,6.0,10.0,2021_05_07,MS
3,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,15.0,2021_05_07,MS
4,1R,Low,1.0,1.0,0.0,0.0,self,1.0,1.0,16.0,2021_05_07,MS
5,1R,Low,3.0,3.0,0.0,0.0,self,1.0,2.0,17.0,2021_05_07,MS
6,1R,Low,3.0,3.0,0.0,0.0,self,1.0,3.0,18.0,2021_05_07,MS
7,1R,Low,2.0,2.0,0.0,0.0,self,1.0,4.0,19.0,2021_05_07,MS
8,1R,Low,1.0,1.0,0.0,0.0,self,1.0,9.0,24.0,2021_05_07,MS
9,1R,Low,3.0,3.0,0.0,0.0,self,1.0,11.0,26.0,2021_05_07,MS
10,1R,Low,2.0,2.0,0.0,0.0,self,1.0,12.0,27.0,2021_05_07,MS
11,1R,Low,5.0,5.0,0.0,0.0,self,1.0,13.0,28.0,2021_05_07,MS
12,1R,Low,2.0,2.0,0.0,0.0,self,1.0,14.0,29.0,2021_05_07,MS
13,1R,Low,1.0,1.0,0.0,1.0,self,0.0,15.0,30.0,2021_05_07,MS
14,1R,Low,4.0,4.0,0.0,0.0,self,1.0,0.0,33.0,2021_05_07,MS
15,1R,Low,5.0,5.0,0.0,0.0,self,1.0,3.0,36.0,2021_05_07,MS
16,1R,Low,4.0,4.0,0.0,0.0,self,1.0,4.0,37.0,2021_05_07,MS
17,1R,Low,7.0,7.0,0.0,0.0,self,1.0,0.0,48.0,2021_05_07,MS
18,1R,Low,3.0,3.0,0.0,0.0,self,1.0,2.0,50.0,2021_05_07,MS
19,1R,Low,5.0,5.0,0.0,0.0,self,1.0,3.0,51.0,2021_05_07,MS
20,1R,Low,7.0,7.0,0.0,0.0,self,1.0,5.0,53.0,2021_05_07,MS
21,1R,High,12.0,12.0,0.0,0.0,self,1.0,0.0,57.0,2021_05_07,MS
22,1R,Low,7.0,7.0,0.0,0.0,self,1.0,1.0,58.0,2021_05_07,MS
23,1R,Low,7.0,7.0,0.0,0.0,self,1.0,2.0,59.0,2021_05_07,MS
24,1R,Low,1.0,1.0,0.0,0.0,self,1.0,5.0,62.0,2021_05_07,MS
25,1R,Low,3.0,3.0,0.0,0.0,self,1.0,6.0,63.0,2021_05_07,MS
26,1R,Low,7.0,7.0,0.0,0.0,self,1.0,7.0,64.0,2021_05_07,MS
27,1R,Low,1.0,1.0,0.0,1.0,self,0.0,8.0,65.0,2021_05_07,MS
28,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,70.0,2021_05_07,MS
29,1R,Low,8.0,8.0,0.0,0.0,self,1.0,1.0,71.0,2021_05_07,MS
30,1R,Low,4.0,4.0,0.0,0.0,self,1.0,2.0,72.0,2021_05_07,MS
31,1R,Low,1.0,1.0,0.0,0.0,self,1.0,5.0,75.0,2021_05_07,MS
32,1R,Low,4.0,4.0,0.0,0.0,self,1.0,0.0,83.0,2021_05_07,MS
33,1R,Low,5.0,5.0,0.0,0.0,self,1.0,1.0,84.0,2021_05_07,MS
34,1R,Low,4.0,4.0,1.0,0.0,self,0.0,3.0,86.0,2021_05_07,MS
35,1R,Low,2.0,2.0,0.0,0.0,self,1.0,6.0,89.0,2021_05_07,MS
36,1R,Low,5.0,5.0,1.0,0.0,self,0.0,7.0,90.0,2021_05_07,MS
37,1R,Low,1.0,1.0,1.0,1.0,self,1.0,10.0,93.0,2021_05_07,MS
38,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,94.0,2021_05_07,MS
39,1R,Low,2.0,2.0,0.0,0.0,self,1.0,1.0,95.0,2021_05_07,MS
40,1R,Low,2.0,2.0,0.0,0.0,self,1.0,2.0,96.0,2021_05_07,MS
41,1R,Low,7.0,7.0,0.0,0.0,self,1.0,3.0,97.0,2021_05_07,MS
42,1R,Low,7.0,7.0,0.0,0.0,self,1.0,4.0,98.0,2021_05_07,MS
43,1R,Low,6.0,6.0,0.0,0.0,self,1.0,5.0,99.0,2021_05_07,MS
44,1R,Low,2.0,2.0,0.0,0.0,self,1.0,6.0,100.0,2021_05_07,MS
45,1R,Low,4.0,4.0,0.0,0.0,self,1.0,7.0,101.0,2021_05_07,MS
46,1R,High,12.0,12.0,0.0,0.0,self,1.0,9.0,103.0,2021_05_07,MS
47,1R,Low,2.0,2.0,0.0,0.0,self,1.0,11.0,105.0,2021_05_07,MS
48,1R,Low,6.0,6.0,0.0,1.0,self,0.0,15.0,109.0,2021_05_07,MS
49,1R,Low,5.0,5.0,0.0,0.0,self,1.0,0.0,116.0,2021_05_07,MS
50,1R,Low,2.0,2.0,0.0,0.0,self,1.0,1.0,117.0,2021_05_07,MS
51,1R,Low,5.0,5.0,0.0,0.0,self,1.0,2.0,118.0,2021_05_07,MS
52,1R,Low,7.0,7.0,0.0,0.0,self,1.0,0.0,128.0,2021_05_07,MS
53,1R,Low,4.0,4.0,0.0,0.0,self,1.0,1.0,129.0,2021_05_07,MS
54,1R,Low,2.0,2.0,0.0,1.0,self,0.0,4.0,132.0,2021_05_07,MS
55,1R,Low,2.0,2.0,1.0,0.0,self,0.0,0.0,137.0,2021_05_07,MS
56,1R,Low,7.0,7.0,1.0,0.0,self,0.0,3.0,140.0,2021_05_07,MS
57,1R,Low,3.0,3.0,1.0,0.0,self,0.0,0.0,146.0,2021_05_07,MS
58,1R,Low,8.0,8.0,0.0,0.0,self,1.0,2.0,148.0,2021_05_07,MS
59,1R,Low,2.0,2.0,0.0,0.0,self,1.0,3.0,149.0,2021_05_07,MS
60,1R,Low,2.0,2.0,0.0,0.0,self,1.0,5.0,151.0,2021_05_07,MS
61,1R,Low,3.0,3.0,0.0,0.0,self,1.0,0.0,156.0,2021_05_07,MS
62,1R,Low,4.0,4.0,1.0,0.0,self,0.0,2.0,158.0,2021_05_07,MS
63,1R,Low,5.0,5.0,0.0,0.0,self,1.0,5.0,161.0,2021_05_07,MS
64,1R,Low,1.0,1.0,0.0,0.0,self,1.0,6.0,162.0,2021_05_07,MS
65,1R,Low,2.0,2.0,1.0,0.0,self,0.0,7.0,163.0,2021_05_07,MS
66,1R,Low,3.0,3.0,1.0,0.0,self,0.0,9.0,165.0,2021_05_07,MS
67,1R,Low,1.0,1.0,0.0,1.0,self,0.0,12.0,168.0,2021_05_07,MS
68,1R,Low,6.0,6.0,0.0,0.0,self,1.0,0.0,172.0,2021_05_07,MS
69,1R,Low,8.0,8.0,0.0,0.0,self,1.0,1.0,173.0,2021_05_07,MS
70,1R,Low,5.0,5.0,0.0,0.0,self,1.0,4.0,176.0,2021_05_07,MS
71,1R,Low,8.0,8.0,0.0,0.0,self,1.0,5.0,177.0,2021_05_07,MS
72,1R,Low,7.0,7.0,0.0,0.0,self,1.0,0.0,180.0,2021_05_07,MS
73,1R,Low,3.0,3.0,0.0,0.0,self,1.0,1.0,181.0,2021_05_07,MS
74,1R,Low,2.0,2.0,0.0,0.0,self,1.0,2.0,182.0,2021_05_07,MS
75,1R,Low,4.0,4.0,0.0,0.0,self,1.0,3.0,183.0,2021_05_07,MS
76,1R,Low,6.0,6.0,0.0,0.0,self,1.0,4.0,184.0,2021_05_07,MS
77,1R,Low,4.0,4.0,0.0,0.0,self,1.0,5.0,185.0,2021_05_07,MS
78,1R,Med,9.0,9.0,0.0,0.0,self,1.0,6.0,186.0,2021_05_07,MS
79,1R,Low,2.0,2.0,0.0,0.0,self,1.0,8.0,188.0,2021_05_07,MS
80,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,191.0,2021_05_07,MS
81,1R,Low,4.0,4.0,0.0,0.0,self,1.0,2.0,193.0,2021_05_07,MS
82,1R,Low,6.0,6.0,0.0,0.0,self,1.0,3.0,194.0,2021_05_07,MS
83,1R,Low,2.0,2.0,0.0,0.0,self,1.0,5.0,196.0,2021_05_07,MS
84,1R,Med,11.0,11.0,0.0,0.0,self,1.0,8.0,199.0,2021_05_07,MS
85,1R,Low,1.0,1.0,0.0,0.0,self,1.0,9.0,200.0,2021_05_07,MS
86,1R,Low,4.0,4.0,0.0,1.0,self,0.0,10.0,201.0,2021_05_07,MS
87,1R,Low,1.0,1.0,1.0,0.0,self,0.0,0.0,205.0,2021_05_07,MS
88,1R,Low,1.0,1.0,0.0,0.0,self,1.0,3.0,208.0,2021_05_07,MS
89,1R,Low,5.0,5.0,0.0,0.0,self,1.0,6.0,211.0,2021_05_07,MS
90,1R,Low,3.0,3.0,0.0,1.0,self,0.0,8.0,213.0,2021_05_07,MS
