,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.3829787234042553,M,0.3829787234042553,,2021_05_09
1,-10,0.46808510638297873,M,0.46808510638297873,,2021_05_09
2,-9,0.5957446808510638,M,0.5957446808510638,,2021_05_09
3,-8,0.723404255319149,M,0.723404255319149,,2021_05_09
4,-7,0.851063829787234,M,0.851063829787234,,2021_05_09
5,-6,0.8723404255319149,M,0.8723404255319149,,2021_05_09
6,-5,0.9787234042553191,M,0.9787234042553191,,2021_05_09
7,-4,0.9574468085106383,M,0.9574468085106383,,2021_05_09
8,-3,0.8936170212765957,M,0.8936170212765957,,2021_05_09
9,-2,0.9574468085106383,M,0.9574468085106383,,2021_05_09
10,-1,0.9148936170212766,M,0.9148936170212766,,2021_05_09
11,0,0.0851063829787234,M,0.0851063829787234,,2021_05_09
12,1,0.19148936170212766,M,0.19148936170212766,,2021_05_09
13,2,0.3829787234042553,M,0.3829787234042553,,2021_05_09
14,3,0.6808510638297872,M,0.6808510638297872,,2021_05_09
15,4,0.7446808510638298,M,0.7446808510638298,,2021_05_09
16,5,0.8297872340425532,M,0.8297872340425532,,2021_05_09
17,6,0.8723404255319149,M,0.8723404255319149,,2021_05_09
18,7,0.9574468085106383,M,0.9574468085106383,,2021_05_09
19,8,0.9361702127659575,M,0.9361702127659575,,2021_05_09
20,9,0.9787234042553191,M,0.9787234042553191,,2021_05_09
21,10,0.9347826086956522,M,0.9347826086956522,,2021_05_09
