,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,confidence
0,"[1.0, 1.0]",1.0,1.0,-1.0,"[-1621890450.226568, 0.0]","[0.0, 0.0]",0.0,0.0,3.8668200969696045,1621890459.292881,1,1,0,1,0.6,0.0,15,9,0,"[0, 0]"
1,"[1.0, 1.0]",1.0,1.0,-1.0,"[-1621890460.310389, 0.0]","[0.0, 0.0]",0.0,0.0,3.867208957672119,1621890465.742757,1,1,0,1,0.8666666666666667,0.0,15,13,0,"[0, 0]"
2,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1621890468.577612, 0.0]","[1.0, 1.0]",1.0,1.0,2.1667239665985107,1621890471.192687,1,-1,0,-1,0.8571428571428571,1.0,7,6,0,"[0, 0]"
3,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1621890472.9261212, 0.0]","[1.0, 1.0]",1.0,1.0,1.3667018413543701,1621890474.7593331,1,-1,0,-1,0.6666666666666666,1.0,3,2,0,"[0, 0]"
4,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1621890472.7263622, 0.0]","[1.0, 1.0]",1.0,1.0,4.149979829788208,1621890477.375971,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
5,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1621890479.9611897, 0.0]","[1.0, 1.0]",1.0,1.0,2.482436180114746,1621890483.5259788,1,-1,0,-1,0.75,1.0,8,6,0,"[0, 0]"
6,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1621890482.793767, 0.0]","[1.0, 1.0]",1.0,1.0,4.216821908950806,1621890487.458848,1,-1,0,-1,0.8,0.0,15,12,0,"[0, 0]"
7,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1621890488.710312, 0.0]","[1.0, 1.0]",1.0,1.0,3.8666300773620605,1621890493.025789,1,-1,0,-1,0.8,0.0,15,12,0,"[0, 0]"
8,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1621890493.776129, 0.0]","[1.0, 1.0]",1.0,1.0,3.8664820194244385,1621890498.325801,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
9,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1621890499.3423889, 0.0]","[1.0, 1.0]",1.0,1.0,3.8666701316833496,1621890503.67556,1,-1,0,-1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
10,"[1.0, 1.0]",1.0,1.0,-1.0,"[-1621890504.409964, 0.0]","[0.0, 0.0]",0.0,0.0,3.866560935974121,1621890509.058819,1,1,0,1,0.8,0.0,15,12,0,"[0, 0]"
11,"[1.0, 1.0]",1.0,1.0,-1.0,"[-1621890509.9754097, 0.0]","[0.0, 0.0]",0.0,0.0,3.866964101791382,1621890514.291859,1,1,0,1,0.6,0.0,15,9,0,"[0, 0]"
12,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1621890517.2931569, 0.0]","[1.0, 1.0]",1.0,1.0,1.616569995880127,1621890519.358691,1,-1,0,-1,1.0,1.0,4,4,0,"[0, 0]"
13,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1621890518.37545, 0.0]","[1.0, 1.0]",1.0,1.0,3.600210189819336,1621890522.4416919,1,-1,0,-1,0.7142857142857143,1.0,14,10,0,"[0, 0]"
14,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1621890523.1578689, 0.0]","[0.0, 0.0]",0.0,0.0,3.8670120239257812,1621890527.5083039,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
15,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1621890528.224891, 0.0]","[0.0, 0.0]",0.0,0.0,3.8669800758361816,1621890532.575008,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
16,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1621890533.308563, 0.0]","[0.0, 0.0]",0.0,0.0,3.8667829036712646,1621890538.208246,1,-1,0,-1,0.8,0.0,15,12,0,"[0, 0]"
17,"[1.0, 1.0]",1.0,1.0,1.0,"[-1621890539.3591683, 0.0]","[1.0, 1.0]",1.0,1.0,3.8667778968811035,1621890543.758186,1,1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
18,"[1.0, 1.0]",1.0,1.0,1.0,"[-1621890545.8241308, 0.0]","[1.0, 1.0]",1.0,1.0,2.9667551517486572,1621890549.2414248,1,1,0,1,0.6363636363636364,1.0,11,7,0,"[0, 0]"
19,"[1.0, 1.0]",1.0,1.0,1.0,"[-1621890550.790904, 0.0]","[1.0, 1.0]",1.0,1.0,2.5500600337982178,1621890553.7580109,1,1,0,1,0.5555555555555556,1.0,9,5,0,"[0, 0]"
20,"[1.0, 1.0]",1.0,1.0,1.0,"[-1621890555.858546, 0.0]","[1.0, 1.0]",1.0,1.0,1.566939115524292,1621890557.8578749,1,1,0,1,1.0,1.0,4,4,0,"[0, 0]"
21,"[1.0, 1.0]",1.0,1.0,1.0,"[-1621890558.1085582, 0.0]","[1.0, 1.0]",1.0,1.0,2.366705894470215,1621890560.924761,1,1,0,1,0.625,1.0,8,5,0,"[0, 0]"
22,"[1.0, 1.0]",1.0,1.0,1.0,"[-1621890560.191279, 0.0]","[1.0, 1.0]",1.0,1.0,3.8667521476745605,1621890564.524427,1,1,0,1,0.6,0.0,15,9,0,"[0, 0]"
23,"[1.0, 1.0]",1.0,1.0,1.0,"[-1621890567.0586202, 0.0]","[1.0, 1.0]",1.0,1.0,2.0499777793884277,1621890572.141206,1,1,0,1,0.6666666666666666,1.0,6,4,0,"[0, 0]"
24,"[1.0, 1.0]",1.0,1.0,1.0,"[-1621890574.1911411, 0.0]","[1.0, 1.0]",1.0,1.0,1.000349998474121,1621890575.640865,1,1,0,1,1.0,1.0,1,1,0,"[0, 0]"
25,"[1.0, 1.0]",1.0,1.0,1.0,"[-1621890573.8925562, 0.0]","[1.0, 1.0]",1.0,1.0,3.866522789001465,1621890578.324206,1,1,0,1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
26,"[1.0, 1.0]",1.0,1.0,1.0,"[-1621890579.775719, 0.0]","[1.0, 1.0]",1.0,1.0,3.5664100646972656,1621890583.840947,1,1,0,1,0.5714285714285714,1.0,14,8,0,"[0, 0]"
27,"[1.0, 1.0]",1.0,1.0,-1.0,"[-1621890584.55884, 0.0]","[0.0, 0.0]",0.0,0.0,3.8664450645446777,1621890588.8909461,1,1,0,1,0.6,0.0,15,9,0,"[0, 0]"
28,"[1.0, 1.0]",1.0,1.0,-1.0,"[-1621890589.6246893, 0.0]","[0.0, 0.0]",0.0,0.0,3.866755723953247,1621890594.0240471,1,1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
29,"[1.0, 1.0]",1.0,1.0,-1.0,"[-1621890595.192254, 0.0]","[0.0, 0.0]",0.0,0.0,3.8664939403533936,1621890600.074177,1,1,0,1,0.8,0.0,15,12,0,"[0, 0]"
