,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,confidence
0,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620511369.5458972, 0.0]","[1.0, 1.0]",1.0,1.0,3.783364772796631,1620511382.827649,1,-1,0,-1,0.6666666666666666,1.0,15,10,0,"[0, 0]"
1,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620511384.344991, 0.0]","[1.0, 1.0]",1.0,1.0,3.566663980484009,1620511388.727556,1,-1,0,-1,0.42857142857142855,1.0,14,6,0,"[0, 0]"
2,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620511389.6288161, 0.0]","[1.0, 1.0]",1.0,1.0,3.8668580055236816,1620511393.994122,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
3,"[-1.0, 1.0]",-1.0,1.0,-1.0,"[-1620511396.9286058, 0.0]","[1.0, 0.0]",1.0,0.0,1.6496200561523438,1620511399.3439841,1,1,0,-1,0.75,1.0,4,3,0,"[0, 0]"
4,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620511398.2790358, 0.0]","[1.0, 1.0]",1.0,1.0,3.866621255874634,1620511402.57736,1,-1,0,-1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
5,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620511404.0116801, 0.0]","[1.0, 1.0]",1.0,1.0,3.216665029525757,1620511407.677309,1,-1,0,-1,0.75,1.0,12,9,0,"[0, 0]"
6,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620511407.928667, 0.0]","[1.0, 1.0]",1.0,1.0,3.865649938583374,1620511412.2273521,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
7,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620511412.995032, 0.0]","[1.0, 1.0]",1.0,1.0,3.866497039794922,1620511417.327252,1,-1,0,-1,0.9333333333333333,0.0,15,14,0,"[0, 0]"
8,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620511418.0608969, 0.0]","[1.0, 1.0]",1.0,1.0,3.8664960861206055,1620511422.393782,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
9,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620511423.127137, 0.0]","[1.0, 1.0]",1.0,1.0,3.866698980331421,1620511427.493531,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
10,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620511428.994354, 0.0]","[1.0, 1.0]",1.0,1.0,3.566664934158325,1620511433.010093,1,-1,0,-1,0.6428571428571429,1.0,14,9,0,"[0, 0]"
11,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620511434.59477, 0.0]","[1.0, 1.0]",1.0,1.0,3.0499980449676514,1620511438.3934028,1,-1,0,-1,0.45454545454545453,1.0,11,5,0,"[0, 0]"
12,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620511438.644357, 0.0]","[1.0, 1.0]",1.0,1.0,3.566533088684082,1620511442.8267798,1,-1,0,-1,0.42857142857142855,1.0,14,6,0,"[0, 0]"
13,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1620511443.393732, 0.0]","[1.0, 1.0]",1.0,1.0,3.883466958999634,1620511447.7099211,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
14,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1620511448.492355, 0.0]","[0.0, 0.0]",0.0,0.0,3.8676700592041016,1620511453.14221,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
15,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1620511454.061237, 0.0]","[0.0, 0.0]",0.0,0.0,3.866619110107422,1620511458.409765,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
16,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620511461.8096004, 0.0]","[1.0, 1.0]",1.0,1.0,1.1666388511657715,1620511463.4262972,1,1,0,1,0.5,1.0,2,1,0,"[0, 0]"
17,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620511464.34359, 0.0]","[1.0, 1.0]",1.0,1.0,1.2163779735565186,1620511465.992945,1,1,0,1,1.0,1.0,2,2,0,"[0, 0]"
18,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620511464.2937202, 0.0]","[1.0, 1.0]",1.0,1.0,3.833200693130493,1620511468.5595672,1,1,0,1,0.6,1.0,15,9,0,"[0, 0]"
19,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620511471.810305, 0.0]","[1.0, 1.0]",1.0,1.0,1.383476972579956,1620511473.642702,1,1,0,1,0.6666666666666666,1.0,3,2,0,"[0, 0]"
20,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620511474.0770578, 0.0]","[1.0, 1.0]",1.0,1.0,1.6833431720733643,1620511476.259357,1,1,0,1,0.75,1.0,4,3,0,"[0, 0]"
21,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620511476.6272597, 0.0]","[1.0, 1.0]",1.0,1.0,2.199843168258667,1620511479.259413,1,1,0,1,0.8571428571428571,1.0,7,6,0,"[0, 0]"
22,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620511480.8436482, 0.0]","[1.0, 1.0]",1.0,1.0,1.5499119758605957,1620511482.842664,1,1,0,1,0.75,1.0,4,3,0,"[0, 0]"
23,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620511481.5942497, 0.0]","[1.0, 1.0]",1.0,1.0,3.8665781021118164,1620511485.876,1,1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
24,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620511489.326414, 0.0]","[1.0, 1.0]",1.0,1.0,1.2164669036865234,1620511490.9759092,1,1,0,1,0.5,1.0,2,1,0,"[0, 0]"
25,"[1.0, 1.0]",1.0,1.0,1.0,"[-1620511489.2434838, 0.0]","[1.0, 1.0]",1.0,1.0,3.866290330886841,1620511493.5422778,1,1,0,1,0.8,0.0,15,12,0,"[0, 0]"
