,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Corrects,Pos_in_block,trial_idx,date,subject
0,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,1.0,2021_05_11,RC
1,1R,Low,3.0,3.0,0.0,0.0,self,1.0,2.0,3.0,2021_05_11,RC
2,1R,Low,8.0,8.0,0.0,0.0,self,1.0,8.0,9.0,2021_05_11,RC
3,1R,Low,4.0,4.0,0.0,0.0,self,1.0,0.0,21.0,2021_05_11,RC
4,1R,Med,9.0,9.0,0.0,0.0,self,1.0,0.0,31.0,2021_05_11,RC
5,1R,Low,3.0,3.0,0.0,0.0,self,1.0,1.0,32.0,2021_05_11,RC
6,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,39.0,2021_05_11,RC
7,1R,Low,1.0,1.0,0.0,0.0,self,1.0,1.0,40.0,2021_05_11,RC
8,1R,Low,8.0,8.0,0.0,0.0,self,1.0,3.0,42.0,2021_05_11,RC
9,1R,Low,7.0,7.0,0.0,0.0,self,1.0,4.0,43.0,2021_05_11,RC
10,1R,Low,7.0,7.0,0.0,0.0,self,1.0,5.0,44.0,2021_05_11,RC
11,1R,Low,3.0,3.0,0.0,0.0,self,1.0,6.0,45.0,2021_05_11,RC
12,1R,Low,3.0,3.0,0.0,0.0,self,1.0,8.0,47.0,2021_05_11,RC
13,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,52.0,2021_05_11,RC
14,1R,Med,10.0,10.0,0.0,0.0,self,1.0,2.0,54.0,2021_05_11,RC
15,1R,Low,7.0,7.0,0.0,0.0,self,1.0,4.0,56.0,2021_05_11,RC
16,1R,Low,3.0,3.0,0.0,0.0,self,1.0,5.0,57.0,2021_05_11,RC
17,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,61.0,2021_05_11,RC
18,1R,Med,9.0,9.0,0.0,0.0,self,1.0,1.0,62.0,2021_05_11,RC
19,1R,Low,2.0,2.0,0.0,0.0,self,1.0,2.0,63.0,2021_05_11,RC
20,1R,Low,1.0,1.0,0.0,0.0,self,1.0,4.0,65.0,2021_05_11,RC
21,1R,Low,7.0,7.0,0.0,0.0,self,1.0,5.0,66.0,2021_05_11,RC
22,1R,Low,1.0,1.0,0.0,0.0,self,1.0,6.0,67.0,2021_05_11,RC
23,1R,Low,4.0,4.0,0.0,0.0,self,1.0,8.0,69.0,2021_05_11,RC
24,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,73.0,2021_05_11,RC
25,1R,Low,3.0,3.0,0.0,0.0,self,1.0,1.0,74.0,2021_05_11,RC
26,1R,Low,2.0,2.0,0.0,0.0,self,1.0,2.0,75.0,2021_05_11,RC
27,1R,Low,1.0,1.0,0.0,0.0,self,1.0,3.0,76.0,2021_05_11,RC
28,1R,Low,6.0,6.0,0.0,0.0,self,1.0,4.0,77.0,2021_05_11,RC
29,1R,Low,4.0,4.0,0.0,0.0,self,1.0,5.0,78.0,2021_05_11,RC
30,1R,Low,1.0,1.0,0.0,0.0,self,1.0,6.0,79.0,2021_05_11,RC
31,1R,Low,5.0,5.0,0.0,0.0,self,1.0,8.0,81.0,2021_05_11,RC
32,1R,Low,7.0,7.0,0.0,0.0,self,1.0,0.0,85.0,2021_05_11,RC
33,1R,Low,2.0,2.0,0.0,0.0,self,1.0,4.0,89.0,2021_05_11,RC
34,1R,Low,2.0,2.0,1.0,0.0,self,0.0,6.0,91.0,2021_05_11,RC
35,1R,Low,3.0,3.0,0.0,0.0,self,1.0,8.0,93.0,2021_05_11,RC
36,1R,Low,3.0,3.0,0.0,0.0,self,1.0,0.0,96.0,2021_05_11,RC
37,1R,High,12.0,12.0,0.0,0.0,self,1.0,1.0,97.0,2021_05_11,RC
38,1R,Low,1.0,1.0,0.0,0.0,self,1.0,2.0,98.0,2021_05_11,RC
39,1R,Low,1.0,1.0,0.0,0.0,self,1.0,5.0,101.0,2021_05_11,RC
40,1R,Low,1.0,1.0,0.0,0.0,self,1.0,7.0,103.0,2021_05_11,RC
41,1R,Low,2.0,2.0,0.0,1.0,self,0.0,10.0,106.0,2021_05_11,RC
42,1R,Low,4.0,4.0,0.0,0.0,self,1.0,0.0,113.0,2021_05_11,RC
43,1R,Low,6.0,6.0,0.0,0.0,self,1.0,4.0,117.0,2021_05_11,RC
44,1R,Low,6.0,6.0,0.0,1.0,self,0.0,5.0,118.0,2021_05_11,RC
45,1R,High,12.0,12.0,0.0,0.0,self,1.0,0.0,124.0,2021_05_11,RC
46,1R,Low,3.0,3.0,0.0,0.0,self,1.0,2.0,126.0,2021_05_11,RC
47,1R,Low,1.0,1.0,0.0,0.0,self,1.0,6.0,130.0,2021_05_11,RC
48,1R,Low,4.0,4.0,0.0,1.0,self,0.0,7.0,131.0,2021_05_11,RC
49,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,136.0,2021_05_11,RC
50,1R,Low,3.0,3.0,0.0,0.0,self,1.0,1.0,137.0,2021_05_11,RC
51,1R,Low,4.0,4.0,0.0,0.0,self,1.0,2.0,138.0,2021_05_11,RC
52,1R,Low,4.0,4.0,0.0,0.0,self,1.0,4.0,140.0,2021_05_11,RC
53,1R,Low,5.0,5.0,0.0,0.0,self,1.0,5.0,141.0,2021_05_11,RC
54,1R,Low,4.0,4.0,0.0,1.0,self,0.0,6.0,142.0,2021_05_11,RC
55,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,146.0,2021_05_11,RC
56,1R,Low,2.0,2.0,0.0,0.0,self,1.0,2.0,148.0,2021_05_11,RC
57,1R,Low,2.0,2.0,0.0,0.0,self,1.0,3.0,149.0,2021_05_11,RC
58,1R,Low,8.0,8.0,0.0,0.0,self,1.0,5.0,151.0,2021_05_11,RC
59,1R,Low,6.0,6.0,0.0,0.0,self,1.0,6.0,152.0,2021_05_11,RC
60,1R,Low,2.0,2.0,0.0,1.0,self,0.0,7.0,153.0,2021_05_11,RC
61,1R,Med,9.0,9.0,0.0,0.0,self,1.0,0.0,157.0,2021_05_11,RC
62,1R,Low,3.0,3.0,0.0,0.0,self,1.0,1.0,158.0,2021_05_11,RC
63,1R,Low,3.0,3.0,0.0,0.0,self,1.0,2.0,159.0,2021_05_11,RC
64,1R,Low,2.0,2.0,0.0,0.0,self,1.0,3.0,160.0,2021_05_11,RC
65,1R,Low,1.0,1.0,0.0,0.0,self,1.0,9.0,166.0,2021_05_11,RC
66,1R,Low,7.0,7.0,0.0,0.0,self,1.0,11.0,168.0,2021_05_11,RC
67,1R,Low,1.0,1.0,0.0,1.0,self,0.0,12.0,169.0,2021_05_11,RC
68,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,179.0,2021_05_11,RC
69,1R,Med,10.0,10.0,0.0,0.0,self,1.0,1.0,180.0,2021_05_11,RC
70,1R,Low,6.0,6.0,0.0,0.0,self,1.0,0.0,184.0,2021_05_11,RC
71,1R,Low,5.0,5.0,0.0,0.0,self,1.0,1.0,185.0,2021_05_11,RC
72,1R,Low,3.0,3.0,0.0,0.0,self,1.0,2.0,186.0,2021_05_11,RC
73,1R,Low,1.0,1.0,0.0,0.0,self,1.0,4.0,188.0,2021_05_11,RC
74,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,193.0,2021_05_11,RC
75,1R,Low,5.0,5.0,0.0,0.0,self,1.0,1.0,194.0,2021_05_11,RC
76,1R,Med,11.0,11.0,0.0,0.0,self,1.0,2.0,195.0,2021_05_11,RC
77,1R,Low,7.0,7.0,0.0,0.0,self,1.0,3.0,196.0,2021_05_11,RC
78,1R,Low,6.0,6.0,0.0,0.0,self,1.0,5.0,198.0,2021_05_11,RC
79,1R,Low,1.0,1.0,0.0,0.0,self,1.0,6.0,199.0,2021_05_11,RC
80,1R,Low,6.0,6.0,0.0,0.0,self,1.0,7.0,200.0,2021_05_11,RC
81,1R,Low,1.0,1.0,0.0,0.0,self,1.0,8.0,201.0,2021_05_11,RC
82,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,206.0,2021_05_11,RC
83,1R,Low,5.0,5.0,0.0,0.0,self,1.0,4.0,210.0,2021_05_11,RC
84,1R,Low,1.0,1.0,0.0,0.0,self,1.0,5.0,211.0,2021_05_11,RC
85,1R,Low,1.0,1.0,0.0,0.0,self,1.0,7.0,213.0,2021_05_11,RC
86,1R,Low,5.0,5.0,0.0,0.0,self,1.0,0.0,216.0,2021_05_11,RC
87,1R,Low,7.0,7.0,0.0,0.0,self,1.0,2.0,218.0,2021_05_11,RC
88,1R,Low,6.0,6.0,0.0,0.0,self,1.0,3.0,219.0,2021_05_11,RC
89,1R,Low,2.0,2.0,0.0,0.0,self,1.0,4.0,220.0,2021_05_11,RC
90,1R,Low,3.0,3.0,0.0,0.0,self,1.0,7.0,223.0,2021_05_11,RC
91,1R,Low,8.0,8.0,0.0,0.0,self,1.0,8.0,224.0,2021_05_11,RC
92,1R,Low,6.0,6.0,0.0,0.0,self,1.0,10.0,226.0,2021_05_11,RC
93,1R,Low,2.0,2.0,0.0,0.0,self,1.0,11.0,227.0,2021_05_11,RC
94,1R,Low,7.0,7.0,0.0,0.0,self,1.0,0.0,231.0,2021_05_11,RC
95,1R,Low,2.0,2.0,0.0,0.0,self,1.0,1.0,232.0,2021_05_11,RC
96,1R,Low,4.0,4.0,0.0,0.0,self,1.0,2.0,233.0,2021_05_11,RC
97,1R,Low,1.0,1.0,0.0,0.0,self,1.0,4.0,235.0,2021_05_11,RC
98,1R,Low,1.0,1.0,0.0,0.0,self,1.0,5.0,236.0,2021_05_11,RC
99,1R,Low,6.0,6.0,0.0,0.0,self,1.0,7.0,238.0,2021_05_11,RC
100,1R,Low,6.0,6.0,0.0,0.0,self,1.0,8.0,239.0,2021_05_11,RC
101,1R,Low,3.0,3.0,0.0,0.0,self,1.0,9.0,240.0,2021_05_11,RC
102,1R,Low,1.0,1.0,0.0,1.0,self,0.0,10.0,241.0,2021_05_11,RC
103,1R,Med,9.0,9.0,0.0,0.0,self,1.0,0.0,244.0,2021_05_11,RC
104,1R,Low,3.0,3.0,1.0,0.0,self,0.0,2.0,246.0,2021_05_11,RC
105,1R,Low,6.0,6.0,0.0,0.0,self,1.0,4.0,248.0,2021_05_11,RC
106,1R,Low,2.0,2.0,0.0,0.0,self,1.0,5.0,249.0,2021_05_11,RC
