,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,confidence
0,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051409.81584, 0.0]","[1.0, 1.0]",1.0,1.0,3.3666601181030273,1624051426.064245,1,-1,0,-1,0.7692307692307693,1.0,13,10,0,"[0, 0]"
1,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051428.000471, 0.0]","[1.0, 1.0]",1.0,1.0,2.7658748626708984,1624051431.4808252,1,-1,0,-1,0.6,1.0,10,6,0,"[0, 0]"
2,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051431.4982243, 0.0]","[1.0, 1.0]",1.0,1.0,3.8667409420013428,1624051436.097484,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
3,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051439.398669, 0.0]","[1.0, 1.0]",1.0,1.0,1.5668361186981201,1624051441.8307,1,-1,0,-1,1.0,1.0,4,4,0,"[0, 0]"
4,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051441.665642, 0.0]","[1.0, 1.0]",1.0,1.0,2.883368968963623,1624051445.363992,1,-1,0,-1,0.8,1.0,10,8,0,"[0, 0]"
5,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051445.282681, 0.0]","[1.0, 1.0]",1.0,1.0,3.866023063659668,1624051449.980598,1,-1,0,-1,0.3333333333333333,0.0,15,5,0,"[0, 0]"
6,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051450.863461, 0.0]","[1.0, 1.0]",1.0,1.0,3.867447853088379,1624051455.5463371,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
7,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051456.4305348, 0.0]","[1.0, 1.0]",1.0,1.0,3.8665452003479004,1624051460.9971058,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
8,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624051462.032032, 0.0]","[0.0, 1.0]",0.0,1.0,3.8664708137512207,1624051466.3305001,1,-1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
9,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624051467.1314201, 0.0]","[0.0, 1.0]",0.0,1.0,3.8666000366210938,1624051471.66364,1,-1,0,1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
10,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624051472.714715, 0.0]","[0.0, 1.0]",0.0,1.0,3.8666069507598877,1624051477.330221,1,-1,0,1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
11,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624051478.2808812, 0.0]","[0.0, 0.0]",0.0,0.0,3.882962942123413,1624051482.763843,1,-1,0,-1,0.8666666666666667,0.0,15,13,0,"[0, 0]"
12,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051484.78067, 0.0]","[1.0, 0.0]",1.0,0.0,2.9666550159454346,1624051488.180048,1,-1,0,1,0.45454545454545453,1.0,11,5,0,"[0, 0]"
13,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051489.063967, 0.0]","[1.0, 0.0]",1.0,0.0,2.7668240070343018,1624051492.646594,1,-1,0,1,0.4,1.0,10,4,0,"[0, 0]"
14,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051494.8814943, 0.0]","[1.0, 0.0]",1.0,0.0,1.549933910369873,1624051497.196816,1,-1,0,1,0.75,1.0,4,3,0,"[0, 0]"
15,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051495.647755, 0.0]","[1.0, 0.0]",1.0,0.0,3.8665459156036377,1624051500.279913,1,-1,0,1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
16,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051502.1321394, 0.0]","[1.0, 0.0]",1.0,0.0,2.965782642364502,1624051505.8297641,1,-1,0,1,0.5454545454545454,1.0,11,6,0,"[0, 0]"
17,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051505.2970269, 0.0]","[1.0, 0.0]",1.0,0.0,3.866429090499878,1624051509.9796999,1,-1,0,1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
18,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051510.864265, 0.0]","[1.0, 0.0]",1.0,0.0,3.8833560943603516,1624051515.579527,1,-1,0,1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
19,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051516.4638972, 0.0]","[1.0, 0.0]",1.0,0.0,3.866732597351074,1624051522.0627992,1,-1,0,1,0.8666666666666667,0.0,15,13,0,"[0, 0]"
20,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624051523.047501, 0.0]","[0.0, 0.0]",0.0,0.0,3.8666539192199707,1624051527.396019,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
