,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Corrects,Pos_in_block,trial_idx,date,subject
0,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,7.0,2021_07_01,SC
1,1R,Low,1.0,1.0,0.0,0.0,self,1.0,1.0,8.0,2021_07_01,SC
2,1R,Low,6.0,6.0,0.0,0.0,self,1.0,2.0,9.0,2021_07_01,SC
3,1R,Low,6.0,6.0,0.0,0.0,self,1.0,3.0,10.0,2021_07_01,SC
4,1R,Low,4.0,4.0,0.0,1.0,self,0.0,4.0,11.0,2021_07_01,SC
5,1R,Low,4.0,4.0,0.0,0.0,self,1.0,0.0,14.0,2021_07_01,SC
6,1R,Low,7.0,7.0,0.0,0.0,self,1.0,2.0,16.0,2021_07_01,SC
7,1R,Low,8.0,8.0,0.0,0.0,self,1.0,6.0,20.0,2021_07_01,SC
8,1R,Low,6.0,6.0,0.0,0.0,self,1.0,7.0,21.0,2021_07_01,SC
9,1R,Low,3.0,3.0,0.0,0.0,self,1.0,8.0,22.0,2021_07_01,SC
10,1R,Low,3.0,3.0,0.0,0.0,self,1.0,9.0,23.0,2021_07_01,SC
11,1R,Low,8.0,8.0,0.0,0.0,self,1.0,10.0,24.0,2021_07_01,SC
12,1R,Low,7.0,7.0,0.0,0.0,self,1.0,0.0,27.0,2021_07_01,SC
13,1R,Low,1.0,1.0,0.0,0.0,self,1.0,1.0,28.0,2021_07_01,SC
14,1R,Low,4.0,4.0,0.0,0.0,self,1.0,3.0,30.0,2021_07_01,SC
15,1R,Low,7.0,7.0,0.0,0.0,self,1.0,4.0,31.0,2021_07_01,SC
16,1R,High,12.0,12.0,0.0,0.0,self,1.0,5.0,32.0,2021_07_01,SC
17,1R,Low,5.0,5.0,0.0,0.0,self,1.0,6.0,33.0,2021_07_01,SC
18,1R,Med,9.0,9.0,0.0,0.0,self,1.0,7.0,34.0,2021_07_01,SC
19,1R,Low,4.0,4.0,0.0,0.0,self,1.0,8.0,35.0,2021_07_01,SC
20,1R,Low,1.0,1.0,0.0,0.0,self,1.0,10.0,37.0,2021_07_01,SC
21,1R,Low,8.0,8.0,0.0,1.0,self,0.0,11.0,38.0,2021_07_01,SC
22,1R,Low,3.0,3.0,0.0,0.0,self,1.0,0.0,45.0,2021_07_01,SC
23,1R,Low,5.0,5.0,0.0,1.0,self,0.0,4.0,49.0,2021_07_01,SC
24,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,53.0,2021_07_01,SC
