,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.3829787234042553,S,0.3829787234042553,,2021_07_02
1,-10,0.5319148936170213,S,0.5319148936170213,,2021_07_02
2,-9,0.6808510638297872,S,0.6808510638297872,,2021_07_02
3,-8,0.8085106382978723,S,0.8085106382978723,,2021_07_02
4,-7,0.9148936170212766,S,0.9148936170212766,,2021_07_02
5,-6,0.9574468085106383,S,0.9574468085106383,,2021_07_02
6,-5,0.9361702127659575,S,0.9361702127659575,,2021_07_02
7,-4,0.9361702127659575,S,0.9361702127659575,,2021_07_02
8,-3,0.9361702127659575,S,0.9361702127659575,,2021_07_02
9,-2,0.9361702127659575,S,0.9361702127659575,,2021_07_02
10,-1,0.8936170212765957,S,0.8936170212765957,,2021_07_02
11,0,0.1702127659574468,S,0.1702127659574468,,2021_07_02
12,1,0.1702127659574468,S,0.1702127659574468,,2021_07_02
13,2,0.40425531914893614,S,0.40425531914893614,,2021_07_02
14,3,0.7021276595744681,S,0.7021276595744681,,2021_07_02
15,4,0.9148936170212766,S,0.9148936170212766,,2021_07_02
16,5,0.9574468085106383,S,0.9574468085106383,,2021_07_02
17,6,0.9787234042553191,S,0.9787234042553191,,2021_07_02
18,7,0.9148936170212766,S,0.9148936170212766,,2021_07_02
19,8,0.9148936170212766,S,0.9148936170212766,,2021_07_02
20,9,0.9148936170212766,S,0.9148936170212766,,2021_07_02
21,10,0.9574468085106383,S,0.9574468085106383,,2021_07_02
