,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Corrects,Pos_in_block,trial_idx,date,subject
0,1R,Med,10.0,10.0,0.0,0.0,self,1.0,0.0,0.0,2021_06_15,TB
1,1R,Low,6.0,6.0,0.0,0.0,self,1.0,1.0,1.0,2021_06_15,TB
2,1R,Low,3.0,3.0,0.0,0.0,self,1.0,3.0,3.0,2021_06_15,TB
3,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,11.0,2021_06_15,TB
4,1R,Low,6.0,6.0,0.0,0.0,self,1.0,1.0,12.0,2021_06_15,TB
5,1R,Low,2.0,2.0,0.0,0.0,self,1.0,2.0,13.0,2021_06_15,TB
6,1R,Low,4.0,4.0,0.0,0.0,self,1.0,3.0,14.0,2021_06_15,TB
7,1R,Low,4.0,4.0,0.0,0.0,self,1.0,5.0,16.0,2021_06_15,TB
8,1R,Low,5.0,5.0,0.0,0.0,self,1.0,6.0,17.0,2021_06_15,TB
9,1R,Low,1.0,1.0,0.0,0.0,self,1.0,7.0,18.0,2021_06_15,TB
10,1R,Low,6.0,6.0,0.0,0.0,self,1.0,12.0,23.0,2021_06_15,TB
11,1R,Low,1.0,1.0,0.0,0.0,self,1.0,13.0,24.0,2021_06_15,TB
12,1R,Med,10.0,10.0,0.0,0.0,self,1.0,14.0,25.0,2021_06_15,TB
13,1R,Med,9.0,9.0,0.0,0.0,self,1.0,15.0,26.0,2021_06_15,TB
14,1R,Low,5.0,5.0,0.0,1.0,self,0.0,19.0,30.0,2021_06_15,TB
15,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,35.0,2021_06_15,TB
16,1R,Low,6.0,6.0,0.0,0.0,self,1.0,7.0,42.0,2021_06_15,TB
17,1R,Low,3.0,3.0,0.0,0.0,self,1.0,9.0,44.0,2021_06_15,TB
18,1R,Low,4.0,4.0,0.0,0.0,self,1.0,10.0,45.0,2021_06_15,TB
19,1R,Low,7.0,7.0,0.0,0.0,self,1.0,11.0,46.0,2021_06_15,TB
20,1R,Low,1.0,1.0,1.0,1.0,self,1.0,13.0,48.0,2021_06_15,TB
21,1R,Low,4.0,4.0,0.0,0.0,self,1.0,0.0,52.0,2021_06_15,TB
22,1R,Low,1.0,1.0,0.0,0.0,self,1.0,1.0,53.0,2021_06_15,TB
23,1R,Low,6.0,6.0,0.0,0.0,self,1.0,6.0,58.0,2021_06_15,TB
24,1R,Low,3.0,3.0,0.0,0.0,self,1.0,7.0,59.0,2021_06_15,TB
25,1R,Low,4.0,4.0,0.0,0.0,self,1.0,0.0,64.0,2021_06_15,TB
26,1R,Low,2.0,2.0,0.0,0.0,self,1.0,1.0,65.0,2021_06_15,TB
27,1R,Low,1.0,1.0,0.0,0.0,self,1.0,3.0,67.0,2021_06_15,TB
28,1R,Low,2.0,2.0,0.0,0.0,self,1.0,4.0,68.0,2021_06_15,TB
29,1R,Low,6.0,6.0,0.0,0.0,self,1.0,5.0,69.0,2021_06_15,TB
30,1R,Low,2.0,2.0,0.0,0.0,self,1.0,9.0,73.0,2021_06_15,TB
31,1R,Low,7.0,7.0,1.0,0.0,self,0.0,0.0,76.0,2021_06_15,TB
32,1R,Low,8.0,8.0,0.0,0.0,self,1.0,9.0,85.0,2021_06_15,TB
33,1R,Low,7.0,7.0,0.0,0.0,self,1.0,0.0,90.0,2021_06_15,TB
34,1R,Low,4.0,4.0,0.0,0.0,self,1.0,1.0,91.0,2021_06_15,TB
35,1R,Low,3.0,3.0,0.0,0.0,self,1.0,4.0,94.0,2021_06_15,TB
36,1R,Low,1.0,1.0,0.0,0.0,self,1.0,6.0,96.0,2021_06_15,TB
37,1R,Low,6.0,6.0,0.0,0.0,self,1.0,7.0,97.0,2021_06_15,TB
38,1R,Med,11.0,11.0,0.0,0.0,self,1.0,9.0,99.0,2021_06_15,TB
39,1R,Low,5.0,5.0,0.0,0.0,self,1.0,12.0,102.0,2021_06_15,TB
40,1R,Low,6.0,6.0,0.0,1.0,self,0.0,15.0,105.0,2021_06_15,TB
41,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,108.0,2021_06_15,TB
