,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,confidence
0,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318262.246128, 0.0]","[1.0, 1.0]",1.0,1.0,3.383098840713501,1624318268.194883,1,-1,0,-1,0.7692307692307693,1.0,13,10,0,"[0, 0]"
1,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318269.945416, 0.0]","[1.0, 1.0]",1.0,1.0,2.7667009830474854,1624318273.477957,1,-1,0,-1,0.6,1.0,10,6,0,"[0, 0]"
2,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318273.4461617, 0.0]","[1.0, 1.0]",1.0,1.0,3.866687059402466,1624318278.377867,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
3,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318281.794425, 0.0]","[1.0, 1.0]",1.0,1.0,1.6176249980926514,1624318284.243577,1,-1,0,-1,0.75,1.0,4,3,0,"[0, 0]"
4,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318283.1459312, 0.0]","[1.0, 1.0]",1.0,1.0,3.866755962371826,1624318287.594434,1,-1,0,-1,0.4,0.0,15,6,0,"[0, 0]"
5,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318288.2272809, 0.0]","[1.0, 1.0]",1.0,1.0,3.866765022277832,1624318292.961022,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
6,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318293.8129592, 0.0]","[1.0, 1.0]",1.0,1.0,3.882476806640625,1624318298.194297,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
7,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318299.4115732, 0.0]","[1.0, 1.0]",1.0,1.0,3.8667550086975098,1624318303.960831,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
8,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318305.0459259, 0.0]","[1.0, 1.0]",1.0,1.0,3.833343982696533,1624318309.927424,1,-1,0,-1,0.6666666666666666,1.0,15,10,0,"[0, 0]"
9,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318312.5291123, 0.0]","[1.0, 1.0]",1.0,1.0,2.450136661529541,1624318316.7273521,1,-1,0,-1,0.75,1.0,8,6,0,"[0, 0]"
10,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318317.0781279, 0.0]","[1.0, 1.0]",1.0,1.0,2.9999940395355225,1624318320.777267,1,-1,0,-1,0.5454545454545454,1.0,11,6,0,"[0, 0]"
11,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318322.645002, 0.0]","[1.0, 1.0]",1.0,1.0,2.016735076904297,1624318325.377214,1,-1,0,-1,0.6666666666666666,1.0,6,4,0,"[0, 0]"
12,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624318324.361758, 0.0]","[0.0, 0.0]",0.0,0.0,3.8833301067352295,1624318328.943799,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
13,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624318329.96107, 0.0]","[0.0, 0.0]",0.0,0.0,3.8667008876800537,1624318334.760484,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
14,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318336.9945388, 0.0]","[1.0, 0.0]",1.0,0.0,2.4333930015563965,1624318342.243597,1,-1,0,1,0.75,1.0,8,6,0,"[0, 0]"
15,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318343.944707, 0.0]","[1.0, 0.0]",1.0,0.0,1.566662073135376,1624318346.160225,1,-1,0,1,1.0,1.0,4,4,0,"[0, 0]"
16,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318347.628178, 0.0]","[1.0, 0.0]",1.0,0.0,0.9666521549224854,1624318349.1269388,1,-1,0,1,1.0,1.0,1,1,0,"[0, 0]"
17,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318349.811159, 0.0]","[1.0, 0.0]",1.0,0.0,1.3665680885314941,1624318351.643656,1,-1,0,1,1.0,1.0,3,3,0,"[0, 0]"
18,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318352.360694, 0.0]","[1.0, 0.0]",1.0,0.0,1.4166789054870605,1624318354.6101382,1,-1,0,1,1.0,1.0,3,3,0,"[0, 0]"
19,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318355.64392, 0.0]","[1.0, 0.0]",1.0,0.0,1.21669602394104,1624318357.5767171,1,-1,0,1,1.0,1.0,2,2,0,"[0, 0]"
20,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318356.0595553, 0.0]","[1.0, 0.0]",1.0,0.0,3.884328842163086,1624318360.559189,1,-1,0,1,0.6,0.0,15,9,0,"[0, 0]"
21,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318361.678311, 0.0]","[1.0, 0.0]",1.0,0.0,3.8665928840637207,1624318366.176625,1,-1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
22,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318367.2782018, 0.0]","[1.0, 0.0]",1.0,0.0,3.8666510581970215,1624318371.626575,1,-1,0,1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
23,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624318371.8603818, 0.0]","[0.0, 0.0]",0.0,0.0,3.8665060997009277,1624318376.143178,1,-1,0,-1,0.26666666666666666,0.0,15,4,0,"[0, 0]"
24,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624318376.9441478, 0.0]","[0.0, 1.0]",0.0,1.0,3.8666651248931885,1624318381.559716,1,-1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
25,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624318382.5279517, 0.0]","[0.0, 1.0]",0.0,1.0,3.8667211532592773,1624318387.159638,1,-1,0,1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
26,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624318388.0770369, 0.0]","[0.0, 1.0]",0.0,1.0,3.899808168411255,1624318392.8097038,1,-1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
27,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318393.69327, 0.0]","[1.0, 1.0]",1.0,1.0,3.8665568828582764,1624318398.026144,1,-1,0,-1,0.8,0.0,15,12,0,"[0, 0]"
28,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624318398.7770848, 0.0]","[0.0, 1.0]",0.0,1.0,3.86677622795105,1624318403.442776,1,-1,0,1,0.6,0.0,15,9,0,"[0, 0]"
29,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318404.360393, 0.0]","[1.0, 1.0]",1.0,1.0,3.8666749000549316,1624318408.6759481,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
30,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318409.4422488, 0.0]","[1.0, 1.0]",1.0,1.0,3.867385149002075,1624318414.058534,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
31,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318415.527799, 0.0]","[1.0, 1.0]",1.0,1.0,3.366478204727173,1624318419.375948,1,-1,0,-1,0.6153846153846154,1.0,13,8,0,"[0, 0]"
32,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318419.610124, 0.0]","[1.0, 1.0]",1.0,1.0,3.865917921066284,1624318424.1924522,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
33,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318427.4270618, 0.0]","[1.0, 1.0]",1.0,1.0,1.6335320472717285,1624318429.692375,1,-1,0,-1,1.0,1.0,4,4,0,"[0, 0]"
34,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318428.7757728, 0.0]","[1.0, 1.0]",1.0,1.0,3.366791248321533,1624318432.6423528,1,-1,0,-1,0.6923076923076923,1.0,13,9,0,"[0, 0]"
35,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318434.2756543, 0.0]","[1.0, 1.0]",1.0,1.0,2.450216770172119,1624318437.6089091,1,-1,0,-1,0.875,1.0,8,7,0,"[0, 0]"
36,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318436.9437191, 0.0]","[1.0, 1.0]",1.0,1.0,3.8662328720092773,1624318441.508814,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
37,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624318442.526886, 0.0]","[0.0, 0.0]",0.0,0.0,3.866837978363037,1624318447.058754,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
38,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624318448.1092107, 0.0]","[0.0, 0.0]",0.0,0.0,3.883479118347168,1624318452.808652,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
39,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318453.826481, 0.0]","[1.0, 0.0]",1.0,0.0,3.766530752182007,1624318458.34204,1,-1,0,1,0.6666666666666666,1.0,15,10,0,"[0, 0]"
40,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318459.310286, 0.0]","[1.0, 0.0]",1.0,0.0,3.866546869277954,1624318463.842005,1,-1,0,1,0.6,0.0,15,9,0,"[0, 0]"
41,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318464.9099128, 0.0]","[1.0, 0.0]",1.0,0.0,3.8669140338897705,1624318469.5751,1,-1,0,1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
42,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318470.509665, 0.0]","[1.0, 0.0]",1.0,0.0,3.866546869277954,1624318474.808418,1,-1,0,1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
43,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318478.075933, 0.0]","[1.0, 0.0]",1.0,0.0,1.3834199905395508,1624318480.074935,1,-1,0,1,1.0,1.0,3,3,0,"[0, 0]"
44,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318479.1597738, 0.0]","[1.0, 0.0]",1.0,0.0,3.3833889961242676,1624318483.258368,1,-1,0,1,0.6153846153846154,1.0,13,8,0,"[0, 0]"
45,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318483.776405, 0.0]","[1.0, 0.0]",1.0,0.0,3.866708993911743,1624318488.408103,1,-1,0,1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
46,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318489.3763368, 0.0]","[1.0, 0.0]",1.0,0.0,3.866572141647339,1624318493.991513,1,-1,0,1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
47,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624318496.09183, 0.0]","[1.0, 0.0]",1.0,0.0,2.7499730587005615,1624318499.441398,1,-1,0,1,0.6,1.0,10,6,0,"[0, 0]"
48,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624318499.0581176, 0.0]","[0.0, 1.0]",0.0,1.0,3.866741180419922,1624318503.6579149,1,-1,0,1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
49,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624318504.64275, 0.0]","[0.0, 1.0]",0.0,1.0,3.86667799949646,1624318509.507927,1,-1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
50,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624318510.225541, 0.0]","[0.0, 1.0]",0.0,1.0,3.883253812789917,1624318514.957819,1,-1,0,1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
51,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624318515.8237221, 0.0]","[0.0, 1.0]",0.0,1.0,3.8676178455352783,1624318520.523435,1,-1,0,1,0.6,0.0,15,9,0,"[0, 0]"
52,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318522.7089188, 0.0]","[1.0, 1.0]",1.0,1.0,2.566620111465454,1624318525.724393,1,-1,0,-1,0.7777777777777778,1.0,9,7,0,"[0, 0]"
53,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624318527.375684, 0.0]","[1.0, 1.0]",1.0,1.0,1.9834320545196533,1624318529.790835,1,-1,0,-1,1.0,1.0,6,6,0,"[0, 0]"
