,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Confidence,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.8152570724487305,1.0,0.0,4.0,CK,2021_08_05
1,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.7487170696258545,1.0,1.0,5.0,CK,2021_08_05
2,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.9161019325256348,1.0,2.0,6.0,CK,2021_08_05
3,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,1.115940809249878,1.0,4.0,8.0,CK,2021_08_05
4,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.814422607421875,1.0,7.0,11.0,CK,2021_08_05
5,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.6820061206817627,1.0,8.0,12.0,CK,2021_08_05
6,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.8495991230010986,1.0,10.0,14.0,CK,2021_08_05
7,1R,Low,6.0,6.0,0.0,4.0,1.0,Actor,0.7984161376953125,0.0,11.0,15.0,CK,2021_08_05
8,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.6317682266235352,1.0,0.0,19.0,CK,2021_08_05
9,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer,0.6321148872375488,1.0,1.0,20.0,CK,2021_08_05
10,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.5142598152160645,1.0,2.0,21.0,CK,2021_08_05
11,1R,Low,5.0,5.0,0.0,4.0,0.0,Observer-incongruent,0.8651120662689209,1.0,6.0,25.0,CK,2021_08_05
12,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.5815002918243408,1.0,7.0,26.0,CK,2021_08_05
13,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.6471889019012451,1.0,0.0,34.0,CK,2021_08_05
14,1R,Med,9.0,9.0,0.0,4.0,0.0,Observer,0.6325719356536865,1.0,1.0,35.0,CK,2021_08_05
15,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.4652099609375,1.0,3.0,37.0,CK,2021_08_05
16,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.5819008350372314,1.0,4.0,38.0,CK,2021_08_05
17,1R,Low,7.0,7.0,0.0,4.0,1.0,Observer,0.6670498847961426,0.0,5.0,39.0,CK,2021_08_05
18,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.6327040195465088,1.0,0.0,43.0,CK,2021_08_05
19,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,0.5161478519439697,1.0,2.0,45.0,CK,2021_08_05
20,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.48172998428344727,1.0,3.0,46.0,CK,2021_08_05
21,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.39910888671875,1.0,5.0,48.0,CK,2021_08_05
22,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.5311059951782227,1.0,9.0,52.0,CK,2021_08_05
23,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer-incongruent,0.6152298450469971,1.0,0.0,56.0,CK,2021_08_05
24,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,0.3656291961669922,1.0,1.0,57.0,CK,2021_08_05
25,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.3479170799255371,1.0,2.0,58.0,CK,2021_08_05
26,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.383162260055542,1.0,3.0,59.0,CK,2021_08_05
27,1R,Med,11.0,11.0,0.0,4.0,0.0,Observer,0.3990170955657959,1.0,5.0,61.0,CK,2021_08_05
28,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.3318901062011719,1.0,6.0,62.0,CK,2021_08_05
29,1R,Med,9.0,9.0,0.0,4.0,0.0,Observer,0.4651329517364502,1.0,8.0,64.0,CK,2021_08_05
30,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.4988079071044922,1.0,0.0,71.0,CK,2021_08_05
31,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.3484020233154297,1.0,1.0,72.0,CK,2021_08_05
32,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.4486069679260254,1.0,4.0,75.0,CK,2021_08_05
33,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.3487412929534912,1.0,5.0,76.0,CK,2021_08_05
34,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.41487789154052734,1.0,0.0,82.0,CK,2021_08_05
35,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.033143043518066406,1.0,1.0,83.0,CK,2021_08_05
36,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.3316822052001953,1.0,2.0,84.0,CK,2021_08_05
37,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,0.3325052261352539,1.0,4.0,86.0,CK,2021_08_05
38,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,0.36490917205810547,1.0,6.0,88.0,CK,2021_08_05
39,1R,Low,8.0,8.0,0.0,4.0,1.0,Actor,0.24924802780151367,0.0,7.0,89.0,CK,2021_08_05
40,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer-incongruent,0.8170590400695801,1.0,0.0,96.0,CK,2021_08_05
41,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.16525793075561523,1.0,2.0,98.0,CK,2021_08_05
42,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.18237590789794922,1.0,3.0,99.0,CK,2021_08_05
43,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.23206496238708496,1.0,5.0,101.0,CK,2021_08_05
44,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.5151369571685791,1.0,0.0,110.0,CK,2021_08_05
45,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.38233113288879395,1.0,1.0,111.0,CK,2021_08_05
46,1R,Low,6.0,6.0,0.0,4.0,1.0,Observer,0.45032668113708496,0.0,3.0,113.0,CK,2021_08_05
47,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.649061918258667,1.0,0.0,121.0,CK,2021_08_05
48,1R,Low,8.0,8.0,0.0,4.0,0.0,Actor,0.4989767074584961,1.0,1.0,122.0,CK,2021_08_05
49,1R,Low,5.0,5.0,0.0,4.0,0.0,Observer,0.0986948013305664,1.0,2.0,123.0,CK,2021_08_05
50,1R,Low,7.0,7.0,0.0,4.0,1.0,Observer,0.23262810707092285,0.0,3.0,124.0,CK,2021_08_05
51,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.5493059158325195,1.0,0.0,132.0,CK,2021_08_05
52,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.2991361618041992,1.0,2.0,134.0,CK,2021_08_05
53,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,0.1486191749572754,1.0,4.0,136.0,CK,2021_08_05
54,1R,Low,2.0,2.0,0.0,4.0,1.0,Observer,0.01672816276550293,0.0,5.0,137.0,CK,2021_08_05
55,1R,Med,11.0,11.0,0.0,4.0,0.0,Observer,0.4330129623413086,1.0,0.0,144.0,CK,2021_08_05
56,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.14954495429992676,1.0,1.0,145.0,CK,2021_08_05
57,1R,High,14.0,14.0,0.0,4.0,0.0,Observer,0.36614298820495605,1.0,3.0,147.0,CK,2021_08_05
58,1R,Low,6.0,6.0,1.0,4.0,1.0,Actor,1.8324871063232422,1.0,5.0,149.0,CK,2021_08_05
59,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.5163891315460205,1.0,0.0,151.0,CK,2021_08_05
60,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.2983410358428955,1.0,2.0,153.0,CK,2021_08_05
61,1R,Low,5.0,5.0,0.0,4.0,1.0,Actor,0.6501500606536865,0.0,15.0,166.0,CK,2021_08_05
62,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer-incongruent,0.43304872512817383,1.0,0.0,172.0,CK,2021_08_05
63,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.0,1.0,2.0,174.0,CK,2021_08_05
64,1R,High,12.0,12.0,0.0,4.0,0.0,Observer,0.36659884452819824,1.0,3.0,175.0,CK,2021_08_05
65,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.16653704643249512,1.0,4.0,176.0,CK,2021_08_05
66,1R,Med,10.0,10.0,0.0,4.0,0.0,Actor,0.0,1.0,5.0,177.0,CK,2021_08_05
67,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.7506060600280762,1.0,6.0,178.0,CK,2021_08_05
68,1R,Low,2.0,2.0,0.0,4.0,1.0,Observer,0.48258185386657715,0.0,8.0,180.0,CK,2021_08_05
69,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor-incongruent,0.6497349739074707,1.0,0.0,185.0,CK,2021_08_05
70,1R,Med,11.0,11.0,0.0,4.0,0.0,Observer,0.1833341121673584,1.0,1.0,186.0,CK,2021_08_05
71,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.26645708084106445,1.0,2.0,187.0,CK,2021_08_05
72,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.13240289688110352,1.0,3.0,188.0,CK,2021_08_05
73,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.36707305908203125,1.0,5.0,190.0,CK,2021_08_05
74,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.33327198028564453,1.0,8.0,193.0,CK,2021_08_05
75,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.18343114852905273,1.0,9.0,194.0,CK,2021_08_05
76,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.13409781455993652,1.0,10.0,195.0,CK,2021_08_05
77,1R,Low,6.0,6.0,0.0,4.0,1.0,Observer,0.2503821849822998,0.0,11.0,196.0,CK,2021_08_05
78,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor-incongruent,0.565014123916626,1.0,0.0,204.0,CK,2021_08_05
79,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer,0.11625194549560547,1.0,1.0,205.0,CK,2021_08_05
80,1R,Low,5.0,5.0,0.0,4.0,0.0,Observer,0.06613993644714355,1.0,3.0,207.0,CK,2021_08_05
81,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.08406996726989746,1.0,4.0,208.0,CK,2021_08_05
82,1R,Low,8.0,8.0,0.0,4.0,0.0,Observer,0.48299574851989746,1.0,5.0,209.0,CK,2021_08_05
83,1R,Low,3.0,3.0,0.0,4.0,1.0,Observer,0.3499441146850586,0.0,6.0,210.0,CK,2021_08_05
84,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.45106983184814453,1.0,0.0,216.0,CK,2021_08_05
85,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,0.38376903533935547,1.0,2.0,218.0,CK,2021_08_05
86,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.33374810218811035,1.0,4.0,220.0,CK,2021_08_05
87,1R,Low,7.0,7.0,0.0,4.0,1.0,Observer,0.39945387840270996,0.0,6.0,222.0,CK,2021_08_05
88,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor-incongruent,0.33332300186157227,1.0,0.0,228.0,CK,2021_08_05
89,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.2667839527130127,1.0,1.0,229.0,CK,2021_08_05
90,1R,Med,10.0,10.0,0.0,4.0,0.0,Observer,0.24901771545410156,1.0,2.0,230.0,CK,2021_08_05
91,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.18268799781799316,1.0,4.0,232.0,CK,2021_08_05
92,1R,Low,3.0,3.0,0.0,4.0,1.0,Observer,0.3008551597595215,0.0,6.0,234.0,CK,2021_08_05
93,1R,Med,9.0,9.0,0.0,4.0,0.0,Actor,0.46617603302001953,1.0,0.0,242.0,CK,2021_08_05
94,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.4665069580078125,1.0,2.0,244.0,CK,2021_08_05
95,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.41698670387268066,1.0,3.0,245.0,CK,2021_08_05
96,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.3991048336029053,1.0,4.0,246.0,CK,2021_08_05
97,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.40012502670288086,1.0,0.0,251.0,CK,2021_08_05
98,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.23383307456970215,1.0,1.0,252.0,CK,2021_08_05
