,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Confidence,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,1.0,1.0,0.0,1.0,0.0,Observer-incongruent,0.7001028060913086,1.0,0.0,2.0,AP,2021_09_01
1,1R,Low,2.0,2.0,0.0,1.0,0.0,Actor,0.3657078742980957,1.0,1.0,3.0,AP,2021_09_01
2,1R,Low,4.0,4.0,0.0,1.0,0.0,Actor,0.3668050765991211,1.0,2.0,4.0,AP,2021_09_01
3,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.3490161895751953,1.0,4.0,6.0,AP,2021_09_01
4,1R,Low,8.0,8.0,0.0,4.0,1.0,Actor,0.7824759483337402,0.0,10.0,12.0,AP,2021_09_01
5,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.44888901710510254,1.0,0.0,16.0,AP,2021_09_01
6,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.06677508354187012,1.0,2.0,18.0,AP,2021_09_01
7,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.5658359527587891,1.0,4.0,20.0,AP,2021_09_01
8,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.2830352783203125,1.0,6.0,22.0,AP,2021_09_01
9,1R,Low,8.0,8.0,0.0,4.0,0.0,Observer,0.4488997459411621,1.0,8.0,24.0,AP,2021_09_01
10,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.1986250877380371,1.0,9.0,25.0,AP,2021_09_01
11,1R,Low,8.0,8.0,0.0,4.0,1.0,Observer,0.31517601013183594,0.0,11.0,27.0,AP,2021_09_01
12,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.3814969062805176,1.0,0.0,32.0,AP,2021_09_01
13,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.7147657871246338,1.0,2.0,34.0,AP,2021_09_01
14,1R,Med,9.0,9.0,0.0,4.0,0.0,Observer,0.265880823135376,1.0,5.0,37.0,AP,2021_09_01
15,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.3655390739440918,1.0,8.0,40.0,AP,2021_09_01
16,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.4324929714202881,1.0,0.0,46.0,AP,2021_09_01
17,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.18265390396118164,1.0,2.0,48.0,AP,2021_09_01
18,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.1995258331298828,1.0,3.0,49.0,AP,2021_09_01
19,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.11508488655090332,1.0,4.0,50.0,AP,2021_09_01
20,1R,Low,8.0,8.0,0.0,4.0,0.0,Observer,0.016606807708740234,1.0,7.0,53.0,AP,2021_09_01
21,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.16576004028320312,1.0,8.0,54.0,AP,2021_09_01
22,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.26563286781311035,1.0,10.0,56.0,AP,2021_09_01
23,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.49976110458374023,1.0,11.0,57.0,AP,2021_09_01
24,1R,Low,5.0,5.0,0.0,4.0,1.0,Observer,0.9316380023956299,0.0,12.0,58.0,AP,2021_09_01
25,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.3156118392944336,1.0,0.0,64.0,AP,2021_09_01
26,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.11545300483703613,1.0,1.0,65.0,AP,2021_09_01
27,1R,Med,10.0,10.0,0.0,4.0,0.0,Actor,0.21486115455627441,1.0,2.0,66.0,AP,2021_09_01
28,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.19860100746154785,1.0,4.0,68.0,AP,2021_09_01
29,1R,Low,6.0,6.0,0.0,4.0,1.0,Observer,0.715811014175415,0.0,5.0,69.0,AP,2021_09_01
30,1R,Med,9.0,9.0,0.0,4.0,0.0,Actor,0.23204898834228516,1.0,0.0,77.0,AP,2021_09_01
31,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.03314995765686035,1.0,2.0,79.0,AP,2021_09_01
32,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.14984607696533203,1.0,3.0,80.0,AP,2021_09_01
33,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.015383005142211914,1.0,5.0,82.0,AP,2021_09_01
34,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer-incongruent,0.33202314376831055,1.0,0.0,89.0,AP,2021_09_01
35,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.6658849716186523,1.0,2.0,91.0,AP,2021_09_01
36,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.0,1.0,3.0,92.0,AP,2021_09_01
37,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.34906482696533203,1.0,5.0,94.0,AP,2021_09_01
38,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.39944028854370117,1.0,7.0,96.0,AP,2021_09_01
