,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.38095238095238093,AP,0.2857142857142857,0.47619047619047616,2021_09_08
1,-10,0.7142857142857143,AP,0.7272727272727273,0.7,2021_09_08
2,-9,0.8571428571428571,AP,0.9,0.8181818181818182,2021_09_08
3,-8,0.9285714285714286,AP,0.8695652173913043,1.0,2021_09_08
4,-7,0.9761904761904762,AP,1.0,0.9473684210526315,2021_09_08
5,-6,0.9047619047619048,AP,1.0,0.8,2021_09_08
6,-5,0.9523809523809523,AP,1.0,0.92,2021_09_08
7,-4,0.9285714285714286,AP,0.9130434782608695,0.9473684210526315,2021_09_08
8,-3,0.9523809523809523,AP,0.9473684210526315,0.9565217391304348,2021_09_08
9,-2,0.8571428571428571,AP,0.8235294117647058,0.88,2021_09_08
10,-1,0.8333333333333334,AP,0.8947368421052632,0.782608695652174,2021_09_08
11,0,0.11904761904761904,AP,0.08,0.17647058823529413,2021_09_08
12,1,0.3170731707317073,AP,0.36363636363636365,0.2631578947368421,2021_09_08
13,2,0.7073170731707317,AP,0.7058823529411765,0.7083333333333334,2021_09_08
14,3,0.8536585365853658,AP,0.782608695652174,0.9444444444444444,2021_09_08
15,4,0.975609756097561,AP,0.9473684210526315,1.0,2021_09_08
16,5,0.926829268292683,AP,0.9523809523809523,0.9,2021_09_08
17,6,0.926829268292683,AP,1.0,0.8421052631578947,2021_09_08
18,7,0.975609756097561,AP,1.0,0.9523809523809523,2021_09_08
19,8,0.975609756097561,AP,1.0,0.9545454545454546,2021_09_08
20,9,0.9512195121951219,AP,0.9523809523809523,0.95,2021_09_08
21,10,0.8536585365853658,AP,0.7777777777777778,0.9130434782608695,2021_09_08
