,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
0,"[-1.0, 1.0]",-1.0,1.0,1.0,"[1.682215929031372, 1.799475908279419]","[2.0, 1.0]","[2.7495148181915283, 2.2661759853363037]","[0.0, 1.0]",0.0,1.0,2.899577140808105,1631648782.6574929,0,-1,1,1,1.0,1.0,2,2,0,1,"[0, 0]","[0, 0]","[0, 0]","[2, 14]","[2, 0]","[0, 14]","[1, 0]","[0, 0]","[1, 0]","[1, 14]","[0, 0]","[1, 14]",1R,1R,0.0,1
1,"[-1.0, 1.0]",-1.0,1.0,1.0,"[0.9322926998138428, 0.5317869186401367]","[2.0, 4.0]","[1.1992888450622559, 0.8322198390960693]","[0.0, 1.0]",0.0,1.0,5.848247051239014,1631648787.691102,0,-1,1,1,0.6,0.0,15,9,0,2,"[1, 0]","[1, 0]","[0, 0]","[1, 13]","[1, 0]","[0, 13]","[0, 0]","[0, 0]","[0, 0]","[13, 13]","[0, 0]","[13, 13]",1NR,1NR,1.0,2
2,"[1.0, 1.0]",1.0,1.0,1.0,"[0.5160191059112549, 0.44948315620422363]","[4.0, 4.0]","[0.9993329048156738, 0.732680082321167]","[1.0, 1.0]",1.0,1.0,4.382876873016357,1631648795.573737,0,1,1,1,0.7777777777777778,1.0,9,7,0,3,"[0, 0]","[0, 0]","[0, 0]","[12, 12]","[0, 0]","[12, 12]","[0, 0]","[0, 0]","[0, 0]","[12, 12]","[0, 0]","[12, 12]",1R,1R,2.0,3
3,"[1.0, 1.0]",1.0,1.0,1.0,"[0.4150228500366211, 0.2642250061035156]","[4.0, 4.0]","[0.8480510711669922, 0.6149120330810547]","[1.0, 1.0]",1.0,1.0,5.583116054534912,1631648802.006818,1,1,0,1,0.6666666666666666,0.0,15,10,0,4,"[0, 0]","[0, 0]","[0, 0]","[11, 11]","[0, 0]","[11, 11]","[0, 0]","[0, 0]","[0, 0]","[11, 11]","[0, 0]","[11, 11]",1NR,1NR,3.0,4
4,"[1.0, 1.0]",1.0,1.0,1.0,"[0.5984489917755127, 0.0]","[4.0, 4.0]","[1.2815771102905273, 0.4151461124420166]","[1.0, 1.0]",1.0,1.0,4.69950270652771,1631648810.040023,1,1,0,1,0.7272727272727273,1.0,11,8,0,5,"[0, 0]","[0, 0]","[0, 0]","[10, 10]","[0, 0]","[10, 10]","[0, 0]","[0, 0]","[0, 0]","[10, 10]","[0, 0]","[10, 10]",1R,1R,4.0,5
5,"[1.0, 1.0]",1.0,1.0,1.0,"[0.31577086448669434, 0.0]","[4.0, 4.0]","[0.5489838123321533, 0.28230786323547363]","[1.0, 1.0]",1.0,1.0,5.849363088607788,1631648816.406555,0,1,1,1,0.7333333333333333,0.0,15,11,0,6,"[0, 0]","[0, 0]","[0, 0]","[9, 9]","[0, 0]","[9, 9]","[0, 0]","[0, 0]","[0, 0]","[9, 9]","[0, 0]","[9, 9]",1NR,1NR,5.0,6
6,"[1.0, 1.0]",1.0,1.0,1.0,"[0.36502695083618164, 0.3807828426361084]","[4.0, 4.0]","[0.5981729030609131, 1.2981898784637451]","[1.0, 1.0]",1.0,1.0,3.899658203125,1631648824.75639,1,1,0,1,0.7142857142857143,1.0,7,5,0,7,"[0, 0]","[0, 0]","[0, 0]","[8, 8]","[0, 0]","[8, 8]","[0, 0]","[0, 0]","[0, 0]","[8, 8]","[0, 0]","[8, 8]",1R,1R,6.0,7
7,"[1.0, 1.0]",1.0,1.0,1.0,"[0.4676210880279541, 0.7505488395690918]","[4.0, 4.0]","[0.6839227676391602, 1.7500028610229492]","[1.0, 1.0]",1.0,1.0,4.900061845779419,1631648831.272275,1,1,0,1,0.6666666666666666,1.0,12,8,0,8,"[0, 0]","[0, 0]","[0, 0]","[7, 7]","[0, 0]","[7, 7]","[0, 0]","[0, 0]","[0, 0]","[7, 7]","[0, 0]","[7, 7]",1R,1R,7.0,8
8,"[1.0, 1.0]",1.0,1.0,1.0,"[0.39996886253356934, 0.783275842666626]","[4.0, 4.0]","[0.6657390594482422, 1.5833570957183838]","[1.0, 1.0]",1.0,1.0,5.582763910293579,1631648838.672727,1,1,0,1,0.6666666666666666,0.0,15,10,0,9,"[0, 0]","[0, 0]","[0, 0]","[6, 6]","[0, 0]","[6, 6]","[0, 0]","[0, 0]","[0, 0]","[6, 6]","[0, 0]","[6, 6]",1NR,1NR,8.0,9
9,"[1.0, 1.0]",1.0,1.0,1.0,"[0.49906039237976074, 0.01652812957763672]","[4.0, 4.0]","[0.9489090442657471, 0.5823442935943604]","[1.0, 1.0]",1.0,1.0,4.882927179336548,1631648846.1224298,1,1,0,1,1.0,1.0,12,12,0,10,"[0, 0]","[0, 0]","[0, 0]","[5, 5]","[0, 0]","[5, 5]","[0, 0]","[0, 0]","[0, 0]","[5, 5]","[0, 0]","[5, 5]",1R,1R,9.0,10
