,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.4473684210526316,CK,0.5714285714285714,0.375,2021_10_21
1,-10,0.5384615384615384,CK,0.5238095238095238,0.5555555555555556,2021_10_21
2,-9,0.7692307692307693,CK,0.7407407407407407,0.8333333333333334,2021_10_21
3,-8,0.9487179487179487,CK,0.8888888888888888,1.0,2021_10_21
4,-7,1.0,CK,1.0,1.0,2021_10_21
5,-6,1.0,CK,1.0,1.0,2021_10_21
6,-5,1.0,CK,1.0,1.0,2021_10_21
7,-4,0.9743589743589743,CK,1.0,0.9473684210526315,2021_10_21
8,-3,0.9743589743589743,CK,0.9545454545454546,1.0,2021_10_21
9,-2,0.9743589743589743,CK,0.9444444444444444,1.0,2021_10_21
10,-1,0.9487179487179487,CK,0.9166666666666666,1.0,2021_10_21
11,0,0.10256410256410256,CK,0.1111111111111111,0.09523809523809523,2021_10_21
12,1,0.20512820512820512,CK,0.22727272727272727,0.17647058823529413,2021_10_21
13,2,0.46153846153846156,CK,0.5217391304347826,0.375,2021_10_21
14,3,0.8717948717948718,CK,0.8095238095238095,0.9444444444444444,2021_10_21
15,4,0.9487179487179487,CK,0.8888888888888888,1.0,2021_10_21
16,5,0.9743589743589743,CK,1.0,0.9411764705882353,2021_10_21
17,6,1.0,CK,1.0,1.0,2021_10_21
18,7,0.9743589743589743,CK,0.9565217391304348,1.0,2021_10_21
19,8,0.9743589743589743,CK,1.0,0.9444444444444444,2021_10_21
20,9,0.9473684210526315,CK,0.8947368421052632,1.0,2021_10_21
21,10,0.9210526315789473,CK,0.8888888888888888,0.95,2021_10_21
