,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.5121951219512195,JY,0.5294117647058824,0.5,2021_08_24
1,-10,0.7073170731707317,JY,0.7222222222222222,0.6956521739130435,2021_08_24
2,-9,0.8536585365853658,JY,0.8333333333333334,0.8695652173913043,2021_08_24
3,-8,0.8780487804878049,JY,0.88,0.875,2021_08_24
4,-7,0.9512195121951219,JY,0.9545454545454546,0.9473684210526315,2021_08_24
5,-6,0.9512195121951219,JY,0.95,0.9523809523809523,2021_08_24
6,-5,0.9512195121951219,JY,1.0,0.9,2021_08_24
7,-4,0.926829268292683,JY,0.9090909090909091,0.9473684210526315,2021_08_24
8,-3,0.926829268292683,JY,0.9473684210526315,0.9090909090909091,2021_08_24
9,-2,0.975609756097561,JY,0.9545454545454546,1.0,2021_08_24
10,-1,1.0,JY,1.0,1.0,2021_08_24
11,0,0.07317073170731707,JY,0.0,0.10714285714285714,2021_08_24
12,1,0.2926829268292683,JY,0.3888888888888889,0.21739130434782608,2021_08_24
13,2,0.7317073170731707,JY,0.7222222222222222,0.7391304347826086,2021_08_24
14,3,0.8292682926829268,JY,0.7222222222222222,0.9130434782608695,2021_08_24
15,4,0.9512195121951219,JY,0.95,0.9523809523809523,2021_08_24
16,5,0.9512195121951219,JY,0.9473684210526315,0.9545454545454546,2021_08_24
17,6,0.9512195121951219,JY,1.0,0.9090909090909091,2021_08_24
18,7,0.975609756097561,JY,1.0,0.9545454545454546,2021_08_24
19,8,0.975609756097561,JY,0.9583333333333334,1.0,2021_08_24
20,9,1.0,JY,1.0,1.0,2021_08_24
21,10,0.925,JY,0.9166666666666666,0.9375,2021_08_24
