,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.375,HS,0.42105263157894735,0.3333333333333333,2021_09_01
1,-10,0.5609756097560976,HS,0.5909090909090909,0.5263157894736842,2021_09_01
2,-9,0.7804878048780488,HS,0.7727272727272727,0.7894736842105263,2021_09_01
3,-8,0.8048780487804879,HS,0.8235294117647058,0.7916666666666666,2021_09_01
4,-7,0.975609756097561,HS,1.0,0.96,2021_09_01
5,-6,1.0,HS,1.0,1.0,2021_09_01
6,-5,1.0,HS,1.0,1.0,2021_09_01
7,-4,0.9512195121951219,HS,1.0,0.9,2021_09_01
8,-3,0.926829268292683,HS,0.9047619047619048,0.95,2021_09_01
9,-2,0.9024390243902439,HS,0.92,0.875,2021_09_01
10,-1,0.926829268292683,HS,0.9473684210526315,0.9090909090909091,2021_09_01
11,0,0.0975609756097561,HS,0.21052631578947367,0.0,2021_09_01
12,1,0.21951219512195122,HS,0.25,0.2,2021_09_01
13,2,0.5365853658536586,HS,0.5454545454545454,0.5263157894736842,2021_09_01
14,3,0.775,HS,0.7777777777777778,0.7727272727272727,2021_09_01
15,4,0.85,HS,0.8421052631578947,0.8571428571428571,2021_09_01
16,5,1.0,HS,1.0,1.0,2021_09_01
17,6,1.0,HS,1.0,1.0,2021_09_01
18,7,0.975,HS,1.0,0.9565217391304348,2021_09_01
19,8,1.0,HS,1.0,1.0,2021_09_01
20,9,1.0,HS,1.0,1.0,2021_09_01
21,10,0.975,HS,1.0,0.9545454545454546,2021_09_01
