,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Confidence,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.2646200656890869,1.0,0.0,1.0,HS,2021_09_24
1,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.3988969326019287,1.0,1.0,2.0,HS,2021_09_24
2,1R,Med,9.0,9.0,0.0,4.0,0.0,Observer,0.4655580520629883,1.0,2.0,3.0,HS,2021_09_24
3,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.2997276782989502,1.0,3.0,4.0,HS,2021_09_24
4,1R,Med,11.0,11.0,0.0,4.0,0.0,Actor,0.39997005462646484,1.0,4.0,5.0,HS,2021_09_24
5,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,0.3998589515686035,1.0,5.0,6.0,HS,2021_09_24
6,1R,Low,8.0,8.0,0.0,4.0,0.0,Observer,0.33257198333740234,1.0,6.0,7.0,HS,2021_09_24
7,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.31590819358825684,1.0,8.0,9.0,HS,2021_09_24
8,1R,Low,6.0,6.0,0.0,4.0,1.0,Actor,0.26645922660827637,0.0,9.0,10.0,HS,2021_09_24
9,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.36592984199523926,1.0,0.0,13.0,HS,2021_09_24
10,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.2990760803222656,1.0,3.0,16.0,HS,2021_09_24
11,1R,Low,8.0,8.0,0.0,4.0,0.0,Observer,0.499161958694458,1.0,5.0,18.0,HS,2021_09_24
12,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.26476073265075684,1.0,6.0,19.0,HS,2021_09_24
13,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.18309593200683594,1.0,7.0,20.0,HS,2021_09_24
14,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.28189611434936523,1.0,8.0,21.0,HS,2021_09_24
15,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.21608781814575195,1.0,9.0,22.0,HS,2021_09_24
16,1R,Low,3.0,3.0,0.0,4.0,1.0,Actor,0.33217406272888184,0.0,11.0,24.0,HS,2021_09_24
17,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor-incongruent,0.3489058017730713,1.0,0.0,27.0,HS,2021_09_24
18,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.13265514373779297,1.0,1.0,28.0,HS,2021_09_24
19,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor-incongruent,0.5647308826446533,1.0,6.0,33.0,HS,2021_09_24
20,1R,Med,9.0,9.0,0.0,4.0,0.0,Observer,0.35025930404663086,1.0,7.0,34.0,HS,2021_09_24
21,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.24933505058288574,1.0,8.0,35.0,HS,2021_09_24
22,1R,Low,5.0,5.0,0.0,4.0,1.0,Actor,0.316591739654541,0.0,10.0,37.0,HS,2021_09_24
23,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.38247108459472656,1.0,0.0,42.0,HS,2021_09_24
24,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.3154420852661133,1.0,1.0,43.0,HS,2021_09_24
25,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.24793481826782227,1.0,2.0,44.0,HS,2021_09_24
26,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.5161857604980469,1.0,3.0,45.0,HS,2021_09_24
27,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.29921483993530273,1.0,4.0,46.0,HS,2021_09_24
28,1R,Low,2.0,2.0,0.0,4.0,1.0,Observer,0.2315380573272705,0.0,6.0,48.0,HS,2021_09_24
29,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.2652130126953125,1.0,0.0,53.0,HS,2021_09_24
30,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.28186488151550293,1.0,2.0,55.0,HS,2021_09_24
31,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.4325370788574219,1.0,3.0,56.0,HS,2021_09_24
32,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.36579418182373047,1.0,5.0,58.0,HS,2021_09_24
33,1R,Low,8.0,8.0,0.0,4.0,0.0,Actor,0.41651105880737305,1.0,6.0,59.0,HS,2021_09_24
34,1R,Low,2.0,2.0,0.0,4.0,1.0,Observer,0.28226280212402344,0.0,8.0,61.0,HS,2021_09_24
35,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.2991969585418701,1.0,0.0,66.0,HS,2021_09_24
36,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.4160950183868408,1.0,1.0,67.0,HS,2021_09_24
37,1R,Low,8.0,8.0,0.0,4.0,0.0,Actor,0.3150320053100586,1.0,2.0,68.0,HS,2021_09_24
38,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.1340479850769043,1.0,3.0,69.0,HS,2021_09_24
39,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.34882521629333496,1.0,6.0,72.0,HS,2021_09_24
40,1R,Low,5.0,5.0,0.0,4.0,0.0,Observer,0.5166049003601074,1.0,7.0,73.0,HS,2021_09_24
41,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.3325622081756592,1.0,8.0,74.0,HS,2021_09_24
42,1R,Low,2.0,2.0,0.0,4.0,1.0,Observer,0.31613898277282715,0.0,9.0,75.0,HS,2021_09_24
43,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor-incongruent,0.4324371814727783,1.0,0.0,80.0,HS,2021_09_24
44,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.39941883087158203,1.0,1.0,81.0,HS,2021_09_24
45,1R,Low,5.0,5.0,0.0,4.0,0.0,Observer,0.3329300880432129,1.0,2.0,82.0,HS,2021_09_24
46,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.05053520202636719,1.0,5.0,85.0,HS,2021_09_24
47,1R,Med,10.0,10.0,0.0,3.0,0.0,Observer,0.2982010841369629,1.0,6.0,86.0,HS,2021_09_24
48,1R,Low,1.0,1.0,0.0,2.0,1.0,Observer,0.28203487396240234,0.0,7.0,87.0,HS,2021_09_24
49,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.2641639709472656,1.0,0.0,91.0,HS,2021_09_24
50,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.34817004203796387,1.0,2.0,93.0,HS,2021_09_24
51,1R,Med,9.0,9.0,0.0,4.0,0.0,Observer,0.19880414009094238,1.0,3.0,94.0,HS,2021_09_24
52,1R,Med,10.0,10.0,0.0,4.0,0.0,Actor,0.34882473945617676,1.0,4.0,95.0,HS,2021_09_24
53,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.3501620292663574,1.0,5.0,96.0,HS,2021_09_24
54,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer,0.13369202613830566,1.0,0.0,101.0,HS,2021_09_24
55,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.36617398262023926,1.0,1.0,102.0,HS,2021_09_24
56,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.2820262908935547,1.0,2.0,103.0,HS,2021_09_24
57,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.38274097442626953,1.0,3.0,104.0,HS,2021_09_24
58,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.3152430057525635,1.0,4.0,105.0,HS,2021_09_24
59,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.44901204109191895,1.0,7.0,108.0,HS,2021_09_24
60,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.28337812423706055,1.0,8.0,109.0,HS,2021_09_24
61,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.41577601432800293,1.0,0.0,114.0,HS,2021_09_24
62,1R,Low,8.0,8.0,0.0,4.0,0.0,Actor,0.36655497550964355,1.0,2.0,116.0,HS,2021_09_24
63,1R,Low,5.0,5.0,0.0,4.0,0.0,Observer,0.2821989059448242,1.0,3.0,117.0,HS,2021_09_24
64,1R,Med,10.0,10.0,0.0,4.0,0.0,Observer,0.433427095413208,1.0,4.0,118.0,HS,2021_09_24
65,1R,Low,2.0,2.0,0.0,3.0,0.0,Observer,0.2991759777069092,1.0,6.0,120.0,HS,2021_09_24
66,1R,Low,4.0,4.0,0.0,3.0,0.0,Observer,0.5323929786682129,1.0,8.0,122.0,HS,2021_09_24
67,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.2826569080352783,1.0,9.0,123.0,HS,2021_09_24
68,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.3502688407897949,1.0,0.0,127.0,HS,2021_09_24
