,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Confidence,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,5.0,5.0,0.0,4.0,0.0,Observer,0.9153618812561035,1.0,0.0,1.0,JY,2021_09_24
1,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer,0.2156200408935547,1.0,1.0,2.0,JY,2021_09_24
2,1R,Med,9.0,9.0,0.0,4.0,0.0,Actor,0.06589889526367188,1.0,2.0,3.0,JY,2021_09_24
3,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.03371167182922363,1.0,3.0,4.0,JY,2021_09_24
4,1R,Med,11.0,11.0,0.0,4.0,0.0,Observer,0.3165159225463867,1.0,4.0,5.0,JY,2021_09_24
5,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.2332448959350586,1.0,5.0,6.0,JY,2021_09_24
6,1R,Low,8.0,8.0,0.0,4.0,0.0,Actor,0.21665525436401367,1.0,6.0,7.0,JY,2021_09_24
7,1R,Low,7.0,7.0,0.0,3.0,0.0,Observer,0.2993021011352539,1.0,8.0,9.0,JY,2021_09_24
8,1R,Low,6.0,6.0,0.0,3.0,1.0,Observer,0.43288612365722656,0.0,9.0,10.0,JY,2021_09_24
9,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.24853873252868652,1.0,0.0,13.0,JY,2021_09_24
10,1R,Low,5.0,5.0,0.0,4.0,0.0,Observer,0.3658030033111572,1.0,3.0,16.0,JY,2021_09_24
11,1R,Low,8.0,8.0,0.0,4.0,0.0,Actor,0.3327667713165283,1.0,5.0,18.0,JY,2021_09_24
12,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.06536197662353516,1.0,6.0,19.0,JY,2021_09_24
13,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.6665186882019043,1.0,7.0,20.0,JY,2021_09_24
14,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.033824920654296875,1.0,8.0,21.0,JY,2021_09_24
15,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.1658167839050293,1.0,9.0,22.0,JY,2021_09_24
16,1R,Low,3.0,3.0,0.0,4.0,1.0,Observer,0.3656439781188965,0.0,11.0,24.0,JY,2021_09_24
17,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer-incongruent,0.1990959644317627,1.0,0.0,27.0,JY,2021_09_24
18,1R,Low,7.0,7.0,0.0,2.0,0.0,Observer,0.08308815956115723,1.0,1.0,28.0,JY,2021_09_24
19,1R,Low,4.0,4.0,0.0,3.0,0.0,Observer-incongruent,0.14908599853515625,1.0,6.0,33.0,JY,2021_09_24
20,1R,Med,9.0,9.0,0.0,3.0,0.0,Actor,0.2834460735321045,1.0,7.0,34.0,JY,2021_09_24
21,1R,Low,5.0,5.0,0.0,3.0,0.0,Observer,0.0,1.0,8.0,35.0,JY,2021_09_24
22,1R,Low,5.0,5.0,0.0,2.0,1.0,Observer,1.1823809146881104,0.0,10.0,37.0,JY,2021_09_24
23,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.1151268482208252,1.0,0.0,42.0,JY,2021_09_24
24,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.0,1.0,1.0,43.0,JY,2021_09_24
25,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.14809489250183105,1.0,2.0,44.0,JY,2021_09_24
26,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.34927988052368164,1.0,3.0,45.0,JY,2021_09_24
27,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer,0.23275494575500488,1.0,4.0,46.0,JY,2021_09_24
28,1R,Low,2.0,2.0,0.0,3.0,1.0,Actor,0.11454510688781738,0.0,6.0,48.0,JY,2021_09_24
29,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.7154169082641602,1.0,0.0,53.0,JY,2021_09_24
30,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.1814289093017578,1.0,2.0,55.0,JY,2021_09_24
