,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
0,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[4.332050800323486, 1.3320701122283936]","[1.0, 1.0]","[4.51515793800354, 2.181657075881958]","[0.0, 0.0]",0.0,0.0,5.583484888076782,1632508388.543818,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,1,"[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",1NRO,1NR,0.0,1
1,"[1.0, 1.0]",1.0,1.0,1.0,"[1.2987830638885498, 0.4487628936767578]","[1.0, 2.0]","[2.532193899154663, 0.7989108562469482]","[1.0, 1.0]",1.0,1.0,3.4827589988708496,1632508397.660326,0,1,1,1,1.0,1.0,5,5,0,2,"[0, 0]","[0, 0]","[0, 0]","[12, 12]","[0, 0]","[12, 12]","[0, 0]","[0, 0]","[0, 0]","[12, 12]","[0, 0]","[12, 12]",1R,1R,0.0,2
2,"[1.0, 1.0]",1.0,1.0,1.0,"[0.9153618812561035, 0.2646200656890869]","[4.0, 4.0]","[1.2823631763458252, 0.5154621601104736]","[1.0, 1.0]",1.0,1.0,3.8824517726898193,1632508403.4938052,0,1,1,1,1.0,1.0,7,7,0,3,"[0, 0]","[0, 0]","[0, 0]","[11, 11]","[0, 0]","[11, 11]","[0, 0]","[0, 0]","[0, 0]","[11, 11]","[0, 0]","[11, 11]",1R,1R,1.0,3
3,"[1.0, 1.0]",1.0,1.0,1.0,"[0.2156200408935547, 0.3988969326019287]","[4.0, 4.0]","[0.8819267749786377, 0.6659677028656006]","[1.0, 1.0]",1.0,1.0,4.699850082397461,1632508409.1763709,1,1,0,1,0.8181818181818182,1.0,11,9,0,4,"[0, 0]","[0, 0]","[0, 0]","[10, 10]","[0, 0]","[10, 10]","[0, 0]","[0, 0]","[0, 0]","[10, 10]","[0, 0]","[10, 10]",1R,1R,2.0,4
4,"[1.0, 1.0]",1.0,1.0,1.0,"[0.06589889526367188, 0.4655580520629883]","[4.0, 4.0]","[0.5322120189666748, 0.8488597869873047]","[1.0, 1.0]",1.0,1.0,2.6994102001190186,1632508415.726792,0,1,1,1,1.0,1.0,1,1,0,5,"[0, 0]","[0, 0]","[0, 0]","[9, 9]","[0, 0]","[9, 9]","[0, 0]","[0, 0]","[0, 0]","[9, 9]","[0, 0]","[9, 9]",1R,1R,3.0,5
5,"[1.0, 1.0]",1.0,1.0,1.0,"[0.03371167182922363, 0.2997276782989502]","[4.0, 4.0]","[0.515455961227417, 0.7327196598052979]","[1.0, 1.0]",1.0,1.0,5.516139030456543,1632508420.1932049,0,1,1,1,0.7333333333333333,1.0,15,11,0,6,"[0, 0]","[0, 0]","[0, 0]","[8, 8]","[0, 0]","[8, 8]","[0, 0]","[0, 0]","[0, 0]","[8, 8]","[0, 0]","[8, 8]",1R,1R,4.0,6
6,"[1.0, 1.0]",1.0,1.0,1.0,"[0.3165159225463867, 0.39997005462646484]","[4.0, 4.0]","[0.9823670387268066, 0.7331259250640869]","[1.0, 1.0]",1.0,1.0,4.300281047821045,1632508427.525644,0,1,1,1,0.6666666666666666,1.0,9,6,0,7,"[0, 0]","[0, 0]","[0, 0]","[7, 7]","[0, 0]","[7, 7]","[0, 0]","[0, 0]","[0, 0]","[7, 7]","[0, 0]","[7, 7]",1R,1R,5.0,7
7,"[1.0, 1.0]",1.0,1.0,1.0,"[0.2332448959350586, 0.3998589515686035]","[4.0, 4.0]","[0.7501771450042725, 0.7832789421081543]","[1.0, 1.0]",1.0,1.0,5.516196966171265,1632508433.409662,1,1,0,1,0.5333333333333333,1.0,15,8,0,8,"[0, 0]","[0, 0]","[0, 0]","[6, 6]","[0, 0]","[6, 6]","[0, 0]","[0, 0]","[0, 0]","[6, 6]","[0, 0]","[6, 6]",1R,1R,6.0,8
8,"[1.0, 1.0]",1.0,1.0,1.0,"[0.21665525436401367, 0.33257198333740234]","[4.0, 4.0]","[0.833247184753418, 0.7325870990753174]","[1.0, 1.0]",1.0,1.0,5.849623918533325,1632508440.542869,0,1,1,1,0.9333333333333332,0.0,15,14,0,9,"[0, 0]","[0, 0]","[0, 0]","[5, 5]","[0, 0]","[5, 5]","[0, 0]","[0, 0]","[0, 0]","[5, 5]","[0, 0]","[5, 5]",1NR,1NR,7.0,9
9,"[1.0, 1.0]",1.0,1.0,1.0,"[0.049404144287109375, 0.36579203605651855]","[3.0, 3.0]","[0.6325328350067139, 0.715756893157959]","[1.0, 1.0]",1.0,1.0,4.532939195632935,1632508448.0094268,0,1,1,1,0.7,1.0,10,7,0,10,"[0, 0]","[0, 0]","[0, 0]","[4, 4]","[0, 0]","[4, 4]","[0, 0]","[0, 0]","[0, 0]","[4, 4]","[0, 0]","[4, 4]",1R,1R,8.0,10
