,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.631578947368421,KL,0.65,0.6111111111111112,2021_09_02
1,-10,0.7368421052631579,KL,0.7142857142857143,0.7647058823529411,2021_09_02
2,-9,0.8947368421052632,KL,0.7894736842105263,1.0,2021_09_02
3,-8,0.8157894736842105,KL,0.7894736842105263,0.8421052631578947,2021_09_02
4,-7,0.868421052631579,KL,0.9375,0.8181818181818182,2021_09_02
5,-6,0.8947368421052632,KL,0.8125,0.9545454545454546,2021_09_02
6,-5,0.868421052631579,KL,0.8695652173913043,0.8666666666666667,2021_09_02
7,-4,0.868421052631579,KL,0.8823529411764706,0.8571428571428571,2021_09_02
8,-3,0.7631578947368421,KL,0.7222222222222222,0.8,2021_09_02
9,-2,0.7631578947368421,KL,0.6363636363636364,0.9375,2021_09_02
10,-1,0.7105263157894737,KL,0.7058823529411765,0.7142857142857143,2021_09_02
11,0,0.18421052631578946,KL,0.15789473684210525,0.21052631578947367,2021_09_02
12,1,0.631578947368421,KL,0.5,0.75,2021_09_02
13,2,0.8157894736842105,KL,0.8,0.8461538461538461,2021_09_02
14,3,0.8157894736842105,KL,0.8,0.8260869565217391,2021_09_02
15,4,0.8947368421052632,KL,0.9047619047619048,0.8823529411764706,2021_09_02
16,5,0.868421052631579,KL,0.8125,0.9090909090909091,2021_09_02
17,6,0.9210526315789473,KL,0.8695652173913043,1.0,2021_09_02
18,7,0.9210526315789473,KL,0.9411764705882353,0.9047619047619048,2021_09_02
19,8,0.8947368421052632,KL,0.8888888888888888,0.9,2021_09_02
20,9,0.7894736842105263,KL,0.7222222222222222,0.85,2021_09_02
21,10,0.7631578947368421,KL,0.7272727272727273,0.8125,2021_09_02
