,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.5,LD,0.3333333333333333,0.6363636363636364,2021_09_04
1,-10,0.6097560975609756,LD,0.64,0.5625,2021_09_04
2,-9,0.7804878048780488,LD,0.75,0.8095238095238095,2021_09_04
3,-8,0.9024390243902439,LD,0.8235294117647058,0.9583333333333334,2021_09_04
4,-7,0.926829268292683,LD,1.0,0.8695652173913043,2021_09_04
5,-6,0.926829268292683,LD,0.9090909090909091,0.9473684210526315,2021_09_04
6,-5,0.975609756097561,LD,0.9473684210526315,1.0,2021_09_04
7,-4,0.975609756097561,LD,0.9473684210526315,1.0,2021_09_04
8,-3,0.926829268292683,LD,0.92,0.9375,2021_09_04
9,-2,0.975609756097561,LD,0.9545454545454546,1.0,2021_09_04
10,-1,0.8780487804878049,LD,0.8333333333333334,0.9411764705882353,2021_09_04
11,0,0.14634146341463414,LD,0.1,0.19047619047619047,2021_09_04
12,1,0.2682926829268293,LD,0.2608695652173913,0.2777777777777778,2021_09_04
13,2,0.6341463414634146,LD,0.6,0.6875,2021_09_04
14,3,0.8536585365853658,LD,0.875,0.84,2021_09_04
15,4,0.925,LD,1.0,0.85,2021_09_04
16,5,0.875,LD,0.9444444444444444,0.8181818181818182,2021_09_04
17,6,1.0,LD,1.0,1.0,2021_09_04
18,7,1.0,LD,1.0,1.0,2021_09_04
19,8,0.975,LD,0.9583333333333334,1.0,2021_09_04
20,9,0.925,LD,0.8235294117647058,1.0,2021_09_04
21,10,0.925,LD,0.9,0.95,2021_09_04
