,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Confidence,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,High,12.0,12.0,0.0,4.0,0.0,Actor-incongruent,3.2487831115722656,1.0,0.0,0.0,KL,2021_10_06
1,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor-incongruent,0.49864792823791504,1.0,1.0,1.0,KL,2021_10_06
2,1R,Low,4.0,4.0,0.0,2.0,0.0,Observer-incongruent,0.3497929573059082,1.0,7.0,7.0,KL,2021_10_06
3,1R,Low,4.0,4.0,0.0,3.0,0.0,Observer,0.39885997772216797,1.0,8.0,8.0,KL,2021_10_06
4,1R,Low,1.0,1.0,0.0,2.0,0.0,Observer-incongruent,0.34999775886535645,1.0,10.0,10.0,KL,2021_10_06
5,1R,Low,2.0,2.0,0.0,2.0,1.0,Observer,0.2651550769805908,0.0,11.0,11.0,KL,2021_10_06
6,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor-incongruent,0.23211431503295898,1.0,0.0,14.0,KL,2021_10_06
7,1R,Med,9.0,9.0,0.0,3.0,0.0,Actor,0.850085973739624,1.0,1.0,15.0,KL,2021_10_06
8,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.6501250267028809,1.0,2.0,16.0,KL,2021_10_06
9,1R,Low,5.0,5.0,0.0,3.0,0.0,Actor,0.14871597290039062,1.0,3.0,17.0,KL,2021_10_06
10,1R,Low,2.0,2.0,0.0,1.0,0.0,Observer,0.39908385276794434,1.0,5.0,19.0,KL,2021_10_06
11,1R,Low,5.0,5.0,0.0,2.0,0.0,Actor,0.1647331714630127,1.0,6.0,20.0,KL,2021_10_06
12,1R,Low,7.0,7.0,0.0,2.0,0.0,Actor,0.48293304443359375,1.0,8.0,22.0,KL,2021_10_06
13,1R,Low,4.0,4.0,0.0,2.0,1.0,Actor,0.4158639907836914,0.0,10.0,24.0,KL,2021_10_06
14,1R,Low,8.0,8.0,0.0,3.0,0.0,Actor-incongruent,0.0987551212310791,1.0,0.0,26.0,KL,2021_10_06
15,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.3658430576324463,1.0,1.0,27.0,KL,2021_10_06
16,1R,Low,5.0,5.0,0.0,3.0,0.0,Observer,0.48250317573547363,1.0,3.0,29.0,KL,2021_10_06
17,1R,Low,1.0,1.0,0.0,2.0,0.0,Observer,0.23111701011657715,1.0,4.0,30.0,KL,2021_10_06
18,1R,Low,1.0,1.0,0.0,2.0,0.0,Actor,0.46570277214050293,1.0,6.0,32.0,KL,2021_10_06
19,1R,Low,2.0,2.0,0.0,2.0,0.0,Observer,0.13289189338684082,1.0,9.0,35.0,KL,2021_10_06
20,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.4320042133331299,1.0,0.0,37.0,KL,2021_10_06
21,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.5826120376586914,1.0,1.0,38.0,KL,2021_10_06
22,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.5160698890686035,1.0,2.0,39.0,KL,2021_10_06
23,1R,Low,8.0,8.0,0.0,3.0,0.0,Observer,0.165266752243042,1.0,3.0,40.0,KL,2021_10_06
24,1R,Low,4.0,4.0,0.0,3.0,0.0,Actor,0.08201909065246582,1.0,4.0,41.0,KL,2021_10_06
25,1R,Low,5.0,5.0,0.0,3.0,0.0,Actor,0.09827780723571777,1.0,5.0,42.0,KL,2021_10_06
26,1R,Med,10.0,10.0,0.0,1.0,0.0,Observer,0.41538405418395996,1.0,9.0,46.0,KL,2021_10_06
27,1R,Low,2.0,2.0,0.0,2.0,0.0,Actor-incongruent,0.11538195610046387,1.0,0.0,52.0,KL,2021_10_06
28,1R,Low,8.0,8.0,0.0,3.0,0.0,Observer,0.26711511611938477,1.0,1.0,53.0,KL,2021_10_06
29,1R,Low,7.0,7.0,0.0,1.0,0.0,Observer,0.015166997909545898,1.0,5.0,57.0,KL,2021_10_06
30,1R,Low,6.0,6.0,0.0,2.0,0.0,Observer,0.5671172142028809,1.0,6.0,58.0,KL,2021_10_06
31,1R,Low,8.0,8.0,0.0,1.0,0.0,Observer,0.38233184814453125,1.0,7.0,59.0,KL,2021_10_06
32,1R,Low,5.0,5.0,0.0,1.0,0.0,Actor,0.3660879135131836,1.0,8.0,60.0,KL,2021_10_06
33,1R,Low,2.0,2.0,0.0,2.0,0.0,Actor,0.23171281814575195,1.0,9.0,61.0,KL,2021_10_06
34,1R,Low,4.0,4.0,0.0,2.0,1.0,Actor,0.36655616760253906,0.0,10.0,62.0,KL,2021_10_06
35,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.4157850742340088,1.0,0.0,64.0,KL,2021_10_06
36,1R,Low,2.0,2.0,0.0,3.0,0.0,Actor,0.31580018997192383,1.0,2.0,66.0,KL,2021_10_06
37,1R,Low,6.0,6.0,0.0,3.0,0.0,Observer,0.04866385459899902,1.0,3.0,67.0,KL,2021_10_06
38,1R,Low,8.0,8.0,0.0,3.0,0.0,Actor,0.18209171295166016,1.0,4.0,68.0,KL,2021_10_06
39,1R,Med,10.0,10.0,0.0,3.0,0.0,Actor,0.34856319427490234,1.0,5.0,69.0,KL,2021_10_06
40,1R,Med,11.0,11.0,0.0,2.0,0.0,Actor,0.41521596908569336,1.0,6.0,70.0,KL,2021_10_06
41,1R,Low,5.0,5.0,0.0,2.0,0.0,Observer,0.5329618453979492,1.0,7.0,71.0,KL,2021_10_06
42,1R,Low,4.0,4.0,0.0,3.0,0.0,Observer,0.4167921543121338,1.0,8.0,72.0,KL,2021_10_06
43,1R,Low,7.0,7.0,0.0,3.0,0.0,Actor,0.36621594429016113,1.0,0.0,75.0,KL,2021_10_06
44,1R,Low,8.0,8.0,0.0,3.0,0.0,Actor,0.06621313095092773,1.0,1.0,76.0,KL,2021_10_06
45,1R,Low,6.0,6.0,0.0,3.0,0.0,Actor,0.43258094787597656,1.0,2.0,77.0,KL,2021_10_06
46,1R,Med,9.0,9.0,0.0,3.0,0.0,Observer,0.297349214553833,1.0,3.0,78.0,KL,2021_10_06
47,1R,High,12.0,12.0,0.0,1.0,0.0,Observer,0.515568733215332,1.0,5.0,80.0,KL,2021_10_06
48,1R,Low,4.0,4.0,0.0,1.0,0.0,Observer,0.3987770080566406,1.0,6.0,81.0,KL,2021_10_06
49,1R,Low,5.0,5.0,0.0,1.0,0.0,Observer,0.09933185577392578,1.0,7.0,82.0,KL,2021_10_06
50,1R,Low,4.0,4.0,0.0,1.0,0.0,Observer,0.3489701747894287,1.0,8.0,83.0,KL,2021_10_06
51,1R,Low,4.0,4.0,0.0,1.0,0.0,Actor,1.016913890838623,1.0,9.0,84.0,KL,2021_10_06
52,1R,Low,5.0,5.0,0.0,2.0,0.0,Actor,0.33223509788513184,1.0,0.0,88.0,KL,2021_10_06
53,1R,Low,2.0,2.0,0.0,2.0,0.0,Actor,0.43294596672058105,1.0,4.0,92.0,KL,2021_10_06
