,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Confidence,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.18315768241882324,1.0,0.0,2.0,LD,2021_10_12
1,1R,Low,2.0,2.0,0.0,3.0,0.0,Actor,0.03321528434753418,1.0,1.0,3.0,LD,2021_10_12
2,1R,Low,1.0,1.0,0.0,3.0,0.0,Observer,0.1483628749847412,1.0,2.0,4.0,LD,2021_10_12
3,1R,Low,6.0,6.0,0.0,3.0,0.0,Actor,0.3322780132293701,1.0,3.0,5.0,LD,2021_10_12
4,1R,Low,5.0,5.0,0.0,2.0,0.0,Observer,0.1818990707397461,1.0,5.0,7.0,LD,2021_10_12
5,1R,Low,2.0,2.0,0.0,2.0,0.0,Actor,0.24736905097961426,1.0,6.0,8.0,LD,2021_10_12
6,1R,Low,1.0,1.0,0.0,2.0,0.0,Actor,0.0,1.0,8.0,10.0,LD,2021_10_12
7,1R,Med,10.0,10.0,0.0,2.0,1.0,Actor,0.5986270904541016,0.0,9.0,11.0,LD,2021_10_12
8,1R,Med,10.0,10.0,0.0,4.0,0.0,Observer-incongruent,0.0,1.0,0.0,17.0,LD,2021_10_12
9,1R,Low,2.0,2.0,0.0,3.0,0.0,Actor,0.10005784034729004,1.0,1.0,18.0,LD,2021_10_12
10,1R,Low,5.0,5.0,0.0,3.0,0.0,Observer,0.2484269142150879,1.0,2.0,19.0,LD,2021_10_12
11,1R,Low,2.0,2.0,0.0,2.0,0.0,Observer,0.18331408500671387,1.0,5.0,22.0,LD,2021_10_12
12,1R,Med,9.0,9.0,0.0,2.0,0.0,Observer,0.5656299591064453,1.0,6.0,23.0,LD,2021_10_12
13,1R,Low,1.0,1.0,0.0,2.0,0.0,Observer,0.0,1.0,7.0,24.0,LD,2021_10_12
14,1R,Low,4.0,4.0,0.0,2.0,0.0,Observer,0.3991391658782959,1.0,8.0,25.0,LD,2021_10_12
15,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor-incongruent,0.01645803451538086,1.0,0.0,29.0,LD,2021_10_12
16,1R,Low,5.0,5.0,0.0,3.0,0.0,Observer,0.2659728527069092,1.0,1.0,30.0,LD,2021_10_12
17,1R,Low,7.0,7.0,0.0,3.0,0.0,Actor,0.0,1.0,2.0,31.0,LD,2021_10_12
18,1R,High,14.0,14.0,0.0,3.0,0.0,Actor,0.4828979969024658,1.0,3.0,32.0,LD,2021_10_12
19,1R,Low,4.0,4.0,0.0,2.0,0.0,Actor,0.04899406433105469,1.0,4.0,33.0,LD,2021_10_12
20,1R,Low,1.0,1.0,0.0,2.0,0.0,Actor,0.0991981029510498,1.0,6.0,35.0,LD,2021_10_12
21,1R,Low,7.0,7.0,0.0,2.0,0.0,Observer,0.8483297824859619,1.0,7.0,36.0,LD,2021_10_12
22,1R,Low,2.0,2.0,0.0,2.0,1.0,Observer-incongruent,0.48293375968933105,0.0,10.0,39.0,LD,2021_10_12
23,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.1493229866027832,1.0,0.0,46.0,LD,2021_10_12
24,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.8984191417694092,1.0,0.0,53.0,LD,2021_10_12
25,1R,Low,3.0,3.0,0.0,3.0,0.0,Observer,0.03298521041870117,1.0,2.0,55.0,LD,2021_10_12
26,1R,Med,9.0,9.0,0.0,2.0,0.0,Observer,0.4815809726715088,1.0,4.0,57.0,LD,2021_10_12
27,1R,Low,5.0,5.0,0.0,2.0,0.0,Actor,0.18149185180664062,1.0,5.0,58.0,LD,2021_10_12
28,1R,Med,9.0,9.0,0.0,2.0,0.0,Observer,0.08260989189147949,1.0,7.0,60.0,LD,2021_10_12
29,1R,Low,3.0,3.0,0.0,2.0,0.0,Observer,0.31557297706604004,1.0,8.0,61.0,LD,2021_10_12
30,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.2655518054962158,1.0,0.0,64.0,LD,2021_10_12
31,1R,Med,9.0,9.0,0.0,3.0,0.0,Actor,0.23195600509643555,1.0,1.0,65.0,LD,2021_10_12
32,1R,Low,6.0,6.0,0.0,3.0,0.0,Observer,0.16503024101257324,1.0,2.0,66.0,LD,2021_10_12
33,1R,Low,3.0,3.0,0.0,3.0,0.0,Actor,0.0,1.0,3.0,67.0,LD,2021_10_12
34,1R,Low,5.0,5.0,0.0,3.0,0.0,Observer,0.34840917587280273,1.0,4.0,68.0,LD,2021_10_12
35,1R,Low,5.0,5.0,0.0,2.0,0.0,Actor,0.5654182434082031,1.0,5.0,69.0,LD,2021_10_12
36,1R,Low,8.0,8.0,0.0,2.0,0.0,Observer,0.0,1.0,7.0,71.0,LD,2021_10_12
37,1R,Low,2.0,2.0,0.0,2.0,0.0,Observer,0.2654399871826172,1.0,9.0,73.0,LD,2021_10_12
38,1R,Low,1.0,1.0,0.0,2.0,0.0,Observer,0.21477293968200684,1.0,10.0,74.0,LD,2021_10_12
39,1R,Med,9.0,9.0,0.0,4.0,0.0,Actor-incongruent,0.13307714462280273,1.0,0.0,83.0,LD,2021_10_12
40,1R,Low,1.0,1.0,0.0,3.0,0.0,Observer,0.1823737621307373,1.0,1.0,84.0,LD,2021_10_12
41,1R,Low,4.0,4.0,0.0,3.0,0.0,Observer,0.0,1.0,2.0,85.0,LD,2021_10_12
42,1R,Low,3.0,3.0,0.0,2.0,0.0,Observer,0.11586904525756836,1.0,4.0,87.0,LD,2021_10_12
43,1R,Low,6.0,6.0,0.0,2.0,0.0,Actor,0.0,1.0,5.0,88.0,LD,2021_10_12
