,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
0,"[-1.0, 1.0]",-1.0,1.0,-1.0,"[1.2150461673736572, 1.6318142414093018]","[1.0, 1.0]","[1.6984601020812988, 2.29850697517395]","[1.0, 0.0]",1.0,0.0,5.298701286315918,1634400050.954538,1,1,0,-1,0.7142857142857143,1.0,14,10,0,1,"[0, 1]","[0, 0]","[0, 1]","[7, 1]","[7, 0]","[0, 1]","[0, 0]","[0, 0]","[0, 0]","[7, 8]","[7, 0]","[0, 8]",1R,1R,0.0,1
1,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.19910979270935059, 0.9830179214477539]","[4.0, 4.0]","[0.5161638259887695, 2.31628680229187]","[1.0, 1.0]",1.0,1.0,4.482871055603027,1634400059.570988,0,-1,1,-1,0.9,1.0,10,9,0,2,"[0, 0]","[0, 0]","[0, 0]","[6, 9]","[6, 9]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[6, 7]","[6, 0]","[0, 7]",1R,1R,1.0,2
2,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.3815319538116455, 1.2649078369140625]","[3.0, 4.0]","[0.5980629920959473, 1.8980138301849365]","[1.0, 1.0]",1.0,1.0,2.8996620178222656,1634400067.237362,0,-1,1,-1,1.0,1.0,2,2,0,3,"[0, 0]","[0, 0]","[0, 0]","[5, 8]","[5, 8]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[5, 6]","[5, 0]","[0, 6]",1R,1R,2.0,3
3,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.11694622039794922, 0.6835451126098633]","[3.0, 4.0]","[0.4833052158355713, 1.183387279510498]","[1.0, 1.0]",1.0,1.0,3.499598979949951,1634400072.104118,1,-1,0,-1,0.8,1.0,5,4,0,4,"[0, 0]","[0, 0]","[0, 0]","[4, 7]","[4, 7]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[4, 5]","[4, 0]","[0, 5]",1R,1R,3.0,4
4,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.0, 0.6651120185852051]","[2.0, 4.0]","[0.49756312370300293, 1.1477432250976562]","[1.0, 1.0]",1.0,1.0,3.699446678161621,1634400077.6697862,1,-1,0,-1,0.6666666666666666,1.0,6,4,0,5,"[0, 0]","[0, 0]","[0, 0]","[3, 6]","[3, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3, 4]","[3, 0]","[0, 4]",1R,1R,4.0,5
5,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.24898004531860352, 0.5159420967102051]","[2.0, 4.0]","[0.2820761203765869, 1.8662099838256836]","[1.0, 1.0]",1.0,1.0,5.498450994491577,1634400084.470656,0,-1,1,-1,0.6,1.0,15,9,0,6,"[0, 0]","[0, 0]","[0, 0]","[2, 5]","[2, 5]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2, 3]","[2, 0]","[0, 3]",1R,1R,5.0,6
6,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.41507816314697266, 0.41507816314697266]","[2.0, 3.0]","[1.7307157516479492, 1.048095941543579]","[1.0, 1.0]",1.0,1.0,5.582540035247803,1634400092.9361658,1,-1,0,-1,0.8666666666666667,0.0,15,13,0,7,"[1, 0]","[1, 0]","[0, 0]","[1, 4]","[1, 4]","[0, 0]","[1, 0]","[1, 0]","[0, 0]","[1, 2]","[1, 0]","[0, 2]",1NR,1NR,6.0,7
7,"[1.0, -1.0]",1.0,-1.0,-1.0,"[0.6479859352111816, 0.6972429752349854]","[1.0, 2.0]","[1.3305869102478027, 1.7979729175567627]","[0.0, 1.0]",0.0,1.0,5.582973003387451,1634400101.603364,1,-1,0,1,0.7333333333333333,0.0,15,11,0,8,"[1, 0]","[0, 0]","[1, 0]","[1, 3]","[0, 3]","[1, 0]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",1NRO,2NR,7.0,8
8,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.0, 1.5817627906799316]","[1.0, 2.0]","[0.3484768867492676, 2.515131950378418]","[1.0, 1.0]",1.0,1.0,5.582730054855347,1634400110.91999,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,9,"[0, 0]","[0, 0]","[0, 0]","[2, 2]","[2, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2, 2]","[2, 2]","[0, 0]",1NRG,3NR,8.0,9
9,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.3488171100616455, 1.1328239440917969]","[1.0, 1.0]","[0.7647740840911865, 1.549041986465454]","[1.0, 1.0]",1.0,1.0,5.582135915756226,1634400119.053123,1,-1,0,-1,0.8666666666666667,0.0,15,13,0,10,"[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",2NRG,4NR,9.0,10
10,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.1991870403289795, 0.44925594329833984]","[1.0, 1.0]","[0.3980591297149658, 0.849139928817749]","[0.0, 0.0]",0.0,0.0,5.582796096801758,1634400126.436447,1,1,0,1,1.0,0.0,15,15,0,11,"[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",1NRO,5NR,10.0,11
11,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.1820521354675293, 0.4319732189178467]","[1.0, 1.0]","[0.365342378616333, 0.8652312755584717]","[1.0, 1.0]",1.0,1.0,5.848778963088989,1634400134.036117,0,-1,1,-1,0.8666666666666667,0.0,15,13,0,12,"[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",1NRG,6NR,11.0,12
12,"[1.0, 1.0]",1.0,1.0,1.0,"[0.43248891830444336, 0.4824540615081787]","[1.0, 1.0]","[0.5991287231445312, 0.8492670059204102]","[1.0, 1.0]",1.0,1.0,3.499386787414551,1634400141.619393,1,1,0,1,1.0,1.0,5,5,0,13,"[0, 0]","[0, 0]","[0, 0]","[6, 27]","[0, 0]","[6, 27]","[0, 0]","[0, 0]","[0, 0]","[6, 7]","[0, 7]","[6, 0]",1R,1R,0.0,1
13,"[1.0, 1.0]",1.0,1.0,1.0,"[0.11687111854553223, 0.766679048538208]","[4.0, 3.0]","[0.6834609508514404, 1.5833771228790283]","[1.0, 1.0]",1.0,1.0,2.8829476833343506,1634400147.4191391,0,1,1,1,1.0,1.0,2,2,0,14,"[0, 0]","[0, 0]","[0, 0]","[5, 26]","[0, 0]","[5, 26]","[0, 0]","[0, 0]","[0, 0]","[5, 6]","[0, 6]","[5, 0]",1R,1R,1.0,2
14,"[1.0, 1.0]",1.0,1.0,1.0,"[0.0, 0.1482830047607422]","[3.0, 4.0]","[0.18157601356506348, 0.5648989677429199]","[1.0, 1.0]",1.0,1.0,3.6995909214019775,1634400152.002538,1,1,0,1,0.8333333333333334,1.0,6,5,0,15,"[0, 0]","[0, 0]","[0, 0]","[4, 25]","[0, 0]","[4, 25]","[0, 0]","[0, 0]","[0, 0]","[4, 5]","[0, 5]","[4, 0]",1R,1R,2.0,3
15,"[1.0, 1.0]",1.0,1.0,1.0,"[0.0, 0.3659048080444336]","[3.0, 3.0]","[0.2993040084838867, 0.78253173828125]","[1.0, 1.0]",1.0,1.0,5.582808017730713,1634400157.302302,1,1,0,1,0.6666666666666666,0.0,15,10,0,16,"[0, 0]","[0, 0]","[0, 0]","[3, 24]","[0, 0]","[3, 24]","[0, 0]","[0, 0]","[0, 0]","[3, 4]","[0, 4]","[3, 0]",1NR,1NR,3.0,4
16,"[1.0, 1.0]",1.0,1.0,1.0,"[0.198685884475708, 0.48184776306152344]","[2.0, 2.0]","[0.5153007507324219, 0.9974908828735352]","[1.0, 1.0]",1.0,1.0,5.583948135375977,1634400165.101144,1,1,0,1,0.7333333333333333,0.0,15,11,0,17,"[0, 0]","[0, 0]","[0, 0]","[2, 23]","[0, 0]","[2, 23]","[0, 0]","[0, 0]","[0, 0]","[2, 3]","[0, 3]","[2, 0]",2NR,2NR,4.0,5
17,"[1.0, 1.0]",1.0,1.0,1.0,"[0.3476572036743164, 0.3819620609283447]","[2.0, 1.0]","[0.48213624954223633, 0.9150431156158447]","[1.0, 1.0]",1.0,1.0,5.849589109420776,1634400172.618548,0,1,1,1,0.6,0.0,15,9,0,18,"[1, 0]","[0, 0]","[1, 0]","[1, 22]","[0, 0]","[1, 22]","[1, 0]","[0, 0]","[1, 0]","[1, 2]","[0, 2]","[1, 0]",3NR,3NR,5.0,6
18,"[-1.0, 1.0]",-1.0,1.0,1.0,"[0.39907002449035645, 1.3827509880065918]","[1.0, 1.0]","[0.6325199604034424, 1.749277114868164]","[0.0, 1.0]",0.0,1.0,5.582879066467285,1634400181.01848,1,1,0,-1,0.6666666666666666,0.0,15,10,0,19,"[1, 0]","[1, 0]","[0, 0]","[1, 21]","[1, 0]","[0, 21]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",1NRO,4NR,6.0,7
19,"[1.0, 1.0]",1.0,1.0,1.0,"[0.3989870548248291, 0.3155331611633301]","[1.0, 1.0]","[0.5826079845428467, 0.5826079845428467]","[1.0, 1.0]",1.0,1.0,3.68257999420166,1634400188.452061,0,1,1,1,1.0,1.0,6,6,0,20,"[0, 0]","[0, 0]","[0, 0]","[14, 20]","[0, 0]","[14, 20]","[0, 0]","[0, 0]","[0, 0]","[14, 15]","[0, 15]","[14, 0]",1R,1R,7.0,8
