,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.48717948717948717,MS,0.5882352941176471,0.4090909090909091,2021_08_10
1,-10,0.6410256410256411,MS,0.6875,0.6086956521739131,2021_08_10
2,-9,0.8461538461538461,MS,0.7368421052631579,0.95,2021_08_10
3,-8,0.9743589743589743,MS,1.0,0.9411764705882353,2021_08_10
4,-7,0.9487179487179487,MS,1.0,0.9285714285714286,2021_08_10
5,-6,1.0,MS,1.0,1.0,2021_08_10
6,-5,0.9743589743589743,MS,1.0,0.96,2021_08_10
7,-4,0.9487179487179487,MS,0.95,0.9473684210526315,2021_08_10
8,-3,0.9230769230769231,MS,0.9166666666666666,0.9333333333333333,2021_08_10
9,-2,0.9230769230769231,MS,0.8823529411764706,0.9545454545454546,2021_08_10
10,-1,0.8717948717948718,MS,0.8235294117647058,0.9090909090909091,2021_08_10
11,0,0.1282051282051282,MS,0.15,0.10526315789473684,2021_08_10
12,1,0.2564102564102564,MS,0.16666666666666666,0.3333333333333333,2021_08_10
13,2,0.8205128205128205,MS,0.8095238095238095,0.8333333333333334,2021_08_10
14,3,0.8717948717948718,MS,0.9333333333333333,0.8333333333333334,2021_08_10
15,4,0.9743589743589743,MS,1.0,0.9565217391304348,2021_08_10
16,5,0.9743589743589743,MS,1.0,0.9375,2021_08_10
17,6,1.0,MS,1.0,1.0,2021_08_10
18,7,0.9743589743589743,MS,1.0,0.95,2021_08_10
19,8,0.9487179487179487,MS,0.9583333333333334,0.9333333333333333,2021_08_10
20,9,0.9487179487179487,MS,1.0,0.9130434782608695,2021_08_10
21,10,0.8947368421052632,MS,0.8571428571428571,0.9166666666666666,2021_08_10
