,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.358974358974359,SC,0.3181818181818182,0.4117647058823529,2021_08_10
1,-10,0.48717948717948717,SC,0.4782608695652174,0.5,2021_08_10
2,-9,0.7692307692307693,SC,0.8,0.7368421052631579,2021_08_10
3,-8,0.9743589743589743,SC,0.9411764705882353,1.0,2021_08_10
4,-7,0.9230769230769231,SC,0.9285714285714286,0.9090909090909091,2021_08_10
5,-6,0.9743589743589743,SC,1.0,0.96,2021_08_10
6,-5,0.9230769230769231,SC,0.88,1.0,2021_08_10
7,-4,0.9743589743589743,SC,0.9473684210526315,1.0,2021_08_10
8,-3,0.9743589743589743,SC,1.0,0.9583333333333334,2021_08_10
9,-2,0.9487179487179487,SC,0.9090909090909091,1.0,2021_08_10
10,-1,0.8717948717948718,SC,0.8636363636363636,0.8823529411764706,2021_08_10
11,0,0.07692307692307693,SC,0.05263157894736842,0.1,2021_08_10
12,1,0.1794871794871795,SC,0.23809523809523808,0.1111111111111111,2021_08_10
13,2,0.3333333333333333,SC,0.4444444444444444,0.23809523809523808,2021_08_10
14,3,0.8461538461538461,SC,0.7916666666666666,0.9333333333333333,2021_08_10
15,4,0.9487179487179487,SC,0.9565217391304348,0.9375,2021_08_10
16,5,0.9487179487179487,SC,0.9375,0.9565217391304348,2021_08_10
17,6,1.0,SC,1.0,1.0,2021_08_10
18,7,0.9743589743589743,SC,0.95,1.0,2021_08_10
19,8,0.9230769230769231,SC,0.8666666666666667,0.9583333333333334,2021_08_10
20,9,0.9487179487179487,SC,0.9130434782608695,1.0,2021_08_10
21,10,0.9473684210526315,SC,0.9583333333333334,0.9285714285714286,2021_08_10
