,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Confidence,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor-incongruent,0.4826180934906006,1.0,0.0,0.0,SC,2021_08_11
1,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.23090887069702148,1.0,1.0,1.0,SC,2021_08_11
2,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.5669260025024414,1.0,4.0,4.0,SC,2021_08_11
3,1R,Low,2.0,2.0,0.0,3.0,0.0,Actor,4.132062911987305,1.0,5.0,5.0,SC,2021_08_11
4,1R,Med,11.0,11.0,0.0,4.0,0.0,Actor,0.6324999332427979,1.0,6.0,6.0,SC,2021_08_11
5,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer,0.7484159469604492,1.0,9.0,9.0,SC,2021_08_11
6,1R,Low,1.0,1.0,0.0,4.0,1.0,Actor,0.24855804443359375,0.0,10.0,10.0,SC,2021_08_11
7,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.6825311183929443,1.0,0.0,15.0,SC,2021_08_11
8,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.882080078125,1.0,1.0,16.0,SC,2021_08_11
9,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,1.5335311889648438,1.0,2.0,17.0,SC,2021_08_11
10,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.8319988250732422,1.0,5.0,20.0,SC,2021_08_11
11,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.44910311698913574,1.0,0.0,29.0,SC,2021_08_11
12,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.8318860530853271,1.0,2.0,31.0,SC,2021_08_11
13,1R,Low,6.0,6.0,0.0,4.0,1.0,Actor,0.9657988548278809,0.0,3.0,32.0,SC,2021_08_11
14,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor-incongruent,0.40075016021728516,1.0,0.0,38.0,SC,2021_08_11
15,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.3816409111022949,1.0,1.0,39.0,SC,2021_08_11
16,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,1.2657220363616943,1.0,3.0,41.0,SC,2021_08_11
17,1R,Low,8.0,8.0,0.0,3.0,0.0,Observer,1.7826569080352783,1.0,4.0,42.0,SC,2021_08_11
18,1R,High,12.0,12.0,0.0,4.0,0.0,Actor,0.9169909954071045,1.0,5.0,43.0,SC,2021_08_11
19,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.6666440963745117,1.0,6.0,44.0,SC,2021_08_11
20,1R,Med,11.0,11.0,0.0,4.0,1.0,Observer,0.7987368106842041,0.0,7.0,45.0,SC,2021_08_11
21,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor-incongruent,0.4006681442260742,1.0,0.0,49.0,SC,2021_08_11
22,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.34909892082214355,1.0,1.0,50.0,SC,2021_08_11
23,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.381655216217041,1.0,2.0,51.0,SC,2021_08_11
24,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.6487760543823242,1.0,4.0,53.0,SC,2021_08_11
25,1R,Low,8.0,8.0,0.0,4.0,0.0,Actor,0.5481991767883301,1.0,5.0,54.0,SC,2021_08_11
26,1R,Low,8.0,8.0,0.0,4.0,0.0,Observer,0.9660987854003906,1.0,6.0,55.0,SC,2021_08_11
27,1R,Med,9.0,9.0,0.0,4.0,0.0,Actor-incongruent,0.5174260139465332,1.0,0.0,65.0,SC,2021_08_11
28,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.8321778774261475,1.0,1.0,66.0,SC,2021_08_11
29,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.48152709007263184,1.0,2.0,67.0,SC,2021_08_11
30,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.3140132427215576,1.0,3.0,68.0,SC,2021_08_11
31,1R,Low,1.0,1.0,0.0,4.0,1.0,Observer,0.6149318218231201,0.0,4.0,69.0,SC,2021_08_11
32,1R,Med,9.0,9.0,0.0,3.0,0.0,Actor,0.44846105575561523,1.0,0.0,73.0,SC,2021_08_11
