,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
0,"[-1.0, 1.0]",-1.0,1.0,-1.0,"[0.8835270404815674, 2.5503041744232178]","[1.0, 1.0]","[0.8994100093841553, 2.750246047973633]","[1.0, 0.0]",1.0,0.0,4.316275119781494,1628720927.084775,1,1,0,-1,0.6666666666666666,1.0,9,6,0,1,"[0, 1]","[0, 0]","[0, 1]","[15, 1]","[15, 0]","[0, 1]","[0, 0]","[0, 0]","[0, 0]","[14, 13]","[0, 13]","[14, 0]",1R,1R,0.0,1
1,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.4826180934906006, 0.032544851303100586]","[4.0, 4.0]","[0.4826180934906006, 0.29914307594299316]","[1.0, 1.0]",1.0,1.0,2.949470996856689,1628720932.918198,1,-1,0,-1,1.0,1.0,2,2,0,2,"[0, 0]","[0, 0]","[0, 0]","[14, 12]","[14, 12]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[13, 12]","[0, 12]","[13, 0]",1R,1R,1.0,2
2,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.23090887069702148, 0.4142000675201416]","[4.0, 4.0]","[0.3651421070098877, 1.3985021114349365]","[1.0, 1.0]",1.0,1.0,5.8487770557403564,1628720938.418117,0,-1,1,-1,0.8666666666666667,0.0,15,13,0,3,"[0, 0]","[0, 0]","[0, 0]","[13, 11]","[13, 11]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[12, 11]","[0, 11]","[12, 0]",1NR,1NR,2.0,3
3,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[1.6990339756011963, 0.11612319946289062]","[3.0, 3.0]","[1.6990339756011963, 0.38314223289489746]","[1.0, 1.0]",1.0,1.0,5.849766969680786,1628720946.800355,0,-1,1,-1,0.8,0.0,15,12,0,4,"[0, 0]","[0, 0]","[0, 0]","[12, 10]","[12, 10]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[11, 10]","[0, 10]","[11, 0]",2NR,2NR,3.0,4
4,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.4642219543457031, 0.2971029281616211]","[2.0, 1.0]","[0.4642219543457031, 0.4642219543457031]","[1.0, 1.0]",1.0,1.0,2.9003047943115234,1628720954.167083,1,-1,0,-1,0.5,1.0,2,1,0,5,"[0, 0]","[0, 0]","[0, 0]","[11, 9]","[11, 9]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[10, 9]","[0, 9]","[10, 0]",1R,1R,4.0,5
5,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.5669260025024414, 0.43326687812805176]","[4.0, 4.0]","[0.7333240509033203, 1.0666298866271973]","[1.0, 1.0]",1.0,1.0,3.083101987838745,1628720958.834354,1,-1,0,-1,0.6666666666666666,1.0,3,2,0,6,"[0, 0]","[0, 0]","[0, 0]","[10, 8]","[10, 8]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[9, 8]","[0, 8]","[9, 0]",1R,1R,5.0,6
6,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[4.132062911987305, 0.4154067039489746]","[3.0, 4.0]","[4.132062911987305, 2.1154117584228516]","[1.0, 1.0]",1.0,1.0,5.282960891723633,1628720967.000857,1,-1,0,-1,0.7857142857142857,1.0,14,11,0,7,"[0, 0]","[0, 0]","[0, 0]","[9, 7]","[9, 7]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[8, 7]","[0, 7]","[8, 0]",1R,1R,6.0,7
7,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.6324999332427979, 0.0]","[4.0, 4.0]","[0.6324999332427979, 0.34922099113464355]","[1.0, 1.0]",1.0,1.0,5.582258939743042,1628720974.100755,1,-1,0,-1,0.4666666666666667,0.0,15,7,0,8,"[0, 0]","[0, 0]","[0, 0]","[8, 6]","[8, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[7, 6]","[0, 6]","[7, 0]",1NR,1NR,7.0,8
8,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[1.3490049839019775, 0.16594696044921875]","[3.0, 2.0]","[1.3490049839019775, 0.4655001163482666]","[1.0, 1.0]",1.0,1.0,5.582890033721924,1628720981.917449,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,9,"[0, 0]","[0, 0]","[0, 0]","[7, 5]","[7, 5]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[6, 5]","[0, 5]","[6, 0]",2NR,2NR,8.0,9
9,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.3675107955932617, 0.5341618061065674]","[2.0, 1.0]","[0.40077972412109375, 1.5843126773834229]","[1.0, 1.0]",1.0,1.0,4.082762002944946,1628720990.2173629,0,-1,1,-1,0.875,1.0,8,7,0,10,"[0, 0]","[0, 0]","[0, 0]","[6, 4]","[6, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[5, 4]","[0, 4]","[5, 0]",1R,1R,9.0,10
