,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Confidence,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.7322149276733398,1.0,0.0,0.0,MS,2021_09_03
1,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.4162120819091797,1.0,1.0,1.0,MS,2021_09_03
2,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.14808416366577148,1.0,2.0,2.0,MS,2021_09_03
3,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.24866819381713867,1.0,3.0,3.0,MS,2021_09_03
4,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.0,1.0,4.0,4.0,MS,2021_09_03
5,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.0,1.0,5.0,5.0,MS,2021_09_03
6,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.0,1.0,6.0,6.0,MS,2021_09_03
7,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.11666607856750488,1.0,7.0,7.0,MS,2021_09_03
8,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,0.016392946243286133,1.0,8.0,8.0,MS,2021_09_03
9,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.1653759479522705,1.0,9.0,9.0,MS,2021_09_03
10,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer-incongruent,0.16611623764038086,1.0,0.0,13.0,MS,2021_09_03
11,1R,Med,9.0,9.0,0.0,4.0,0.0,Actor,0.016686201095581055,1.0,1.0,14.0,MS,2021_09_03
12,1R,Med,9.0,9.0,0.0,4.0,0.0,Actor,0.0,1.0,5.0,18.0,MS,2021_09_03
13,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.2486579418182373,1.0,7.0,20.0,MS,2021_09_03
14,1R,Med,10.0,10.0,0.0,4.0,0.0,Actor,0.06728672981262207,1.0,8.0,21.0,MS,2021_09_03
15,1R,Low,2.0,2.0,0.0,4.0,1.0,Actor,0.08323884010314941,0.0,9.0,22.0,MS,2021_09_03
16,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer,0.349139928817749,1.0,0.0,28.0,MS,2021_09_03
17,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.0,1.0,1.0,29.0,MS,2021_09_03
18,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.0,1.0,2.0,30.0,MS,2021_09_03
19,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.05081510543823242,1.0,4.0,32.0,MS,2021_09_03
20,1R,Med,11.0,11.0,0.0,4.0,0.0,Actor,0.2662029266357422,1.0,0.0,38.0,MS,2021_09_03
21,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.14979314804077148,1.0,1.0,39.0,MS,2021_09_03
22,1R,Low,8.0,8.0,0.0,4.0,0.0,Observer,0.2658660411834717,1.0,3.0,41.0,MS,2021_09_03
23,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.06675314903259277,1.0,6.0,44.0,MS,2021_09_03
24,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,0.08289694786071777,1.0,7.0,45.0,MS,2021_09_03
25,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,0.2994561195373535,1.0,9.0,47.0,MS,2021_09_03
26,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.14950084686279297,1.0,10.0,48.0,MS,2021_09_03
27,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.29940199851989746,1.0,12.0,50.0,MS,2021_09_03
28,1R,Low,4.0,4.0,0.0,4.0,1.0,Actor,0.298947811126709,0.0,13.0,51.0,MS,2021_09_03
29,1R,High,12.0,12.0,0.0,4.0,0.0,Observer,0.132033109664917,1.0,0.0,54.0,MS,2021_09_03
30,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.14973998069763184,1.0,1.0,55.0,MS,2021_09_03
31,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.0,1.0,2.0,56.0,MS,2021_09_03
32,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.0,1.0,3.0,57.0,MS,2021_09_03
33,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,0.0,1.0,4.0,58.0,MS,2021_09_03
34,1R,Med,10.0,10.0,0.0,4.0,0.0,Actor,0.23353171348571777,1.0,5.0,59.0,MS,2021_09_03
35,1R,High,12.0,12.0,0.0,4.0,0.0,Observer,0.017292022705078125,1.0,6.0,60.0,MS,2021_09_03
36,1R,Low,5.0,5.0,0.0,4.0,1.0,Actor,0.0,0.0,8.0,62.0,MS,2021_09_03
37,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor-incongruent,0.1824512481689453,1.0,0.0,66.0,MS,2021_09_03
38,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.09934306144714355,1.0,1.0,67.0,MS,2021_09_03
39,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.05027270317077637,1.0,2.0,68.0,MS,2021_09_03
40,1R,Med,11.0,11.0,0.0,4.0,0.0,Observer,0.18247699737548828,1.0,3.0,69.0,MS,2021_09_03
41,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.26613306999206543,1.0,4.0,70.0,MS,2021_09_03
42,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.0,1.0,5.0,71.0,MS,2021_09_03
43,1R,Low,8.0,8.0,0.0,4.0,0.0,Actor,0.06608772277832031,1.0,0.0,76.0,MS,2021_09_03
44,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.0,1.0,1.0,77.0,MS,2021_09_03
45,1R,Med,9.0,9.0,0.0,4.0,0.0,Observer,0.24828791618347168,1.0,3.0,79.0,MS,2021_09_03
46,1R,Med,9.0,9.0,0.0,4.0,0.0,Observer,0.2833399772644043,1.0,4.0,80.0,MS,2021_09_03
47,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.0,1.0,5.0,81.0,MS,2021_09_03
48,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.4173901081085205,1.0,6.0,82.0,MS,2021_09_03
49,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.23332595825195312,1.0,7.0,83.0,MS,2021_09_03
50,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.18256211280822754,1.0,8.0,84.0,MS,2021_09_03
51,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.1167750358581543,1.0,9.0,85.0,MS,2021_09_03
52,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.0,1.0,10.0,86.0,MS,2021_09_03
53,1R,Low,8.0,8.0,0.0,4.0,0.0,Actor-incongruent,0.21574020385742188,1.0,0.0,89.0,MS,2021_09_03
54,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.0,1.0,1.0,90.0,MS,2021_09_03
55,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.14908313751220703,1.0,3.0,92.0,MS,2021_09_03
56,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.08243894577026367,1.0,5.0,94.0,MS,2021_09_03
57,1R,Med,10.0,10.0,0.0,4.0,0.0,Actor,0.3158130645751953,1.0,7.0,96.0,MS,2021_09_03
58,1R,Low,8.0,8.0,0.0,4.0,0.0,Observer,0.0,1.0,8.0,97.0,MS,2021_09_03
59,1R,Med,11.0,11.0,0.0,4.0,1.0,Observer,0.23260712623596191,0.0,9.0,98.0,MS,2021_09_03
60,1R,High,15.0,15.0,0.0,4.0,0.0,Observer,0.0,1.0,0.0,102.0,MS,2021_09_03
61,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor-incongruent,0.032930850982666016,1.0,6.0,108.0,MS,2021_09_03
62,1R,Low,3.0,3.0,0.0,4.0,1.0,Observer,0.017755746841430664,0.0,7.0,109.0,MS,2021_09_03
63,1R,High,13.0,13.0,0.0,4.0,0.0,Observer,0.26568126678466797,1.0,0.0,114.0,MS,2021_09_03
64,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.2316608428955078,1.0,3.0,117.0,MS,2021_09_03
65,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.0,1.0,4.0,118.0,MS,2021_09_03
66,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.2825610637664795,1.0,5.0,119.0,MS,2021_09_03
67,1R,Low,1.0,1.0,0.0,4.0,1.0,Observer,0.017574787139892578,0.0,6.0,120.0,MS,2021_09_03
68,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.0,1.0,0.0,124.0,MS,2021_09_03
69,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.0,1.0,1.0,125.0,MS,2021_09_03
70,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.31557226181030273,1.0,3.0,127.0,MS,2021_09_03
71,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.0,1.0,5.0,129.0,MS,2021_09_03
72,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.016994714736938477,1.0,6.0,130.0,MS,2021_09_03
73,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.23280119895935059,1.0,7.0,131.0,MS,2021_09_03
74,1R,Low,8.0,8.0,0.0,4.0,0.0,Actor,0.2662069797515869,1.0,8.0,132.0,MS,2021_09_03
75,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.08255791664123535,1.0,9.0,133.0,MS,2021_09_03
76,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.03307795524597168,1.0,11.0,135.0,MS,2021_09_03
77,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.0,1.0,0.0,138.0,MS,2021_09_03
78,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.0,1.0,1.0,139.0,MS,2021_09_03
79,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.332348108291626,1.0,2.0,140.0,MS,2021_09_03
80,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.21545910835266113,1.0,3.0,141.0,MS,2021_09_03
81,1R,Med,11.0,11.0,0.0,4.0,0.0,Actor,0.0,1.0,4.0,142.0,MS,2021_09_03
82,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.0,1.0,5.0,143.0,MS,2021_09_03
83,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,0.01756596565246582,1.0,6.0,144.0,MS,2021_09_03
84,1R,Med,10.0,10.0,0.0,4.0,0.0,Observer,0.21543407440185547,1.0,7.0,145.0,MS,2021_09_03
85,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.11597537994384766,1.0,8.0,146.0,MS,2021_09_03
86,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.19930601119995117,1.0,9.0,147.0,MS,2021_09_03
87,1R,Low,3.0,3.0,0.0,4.0,1.0,Observer,0.0,0.0,10.0,148.0,MS,2021_09_03
88,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.1833972930908203,1.0,0.0,152.0,MS,2021_09_03
89,1R,Low,8.0,8.0,0.0,4.0,0.0,Observer,0.04947185516357422,1.0,3.0,155.0,MS,2021_09_03
90,1R,Med,9.0,9.0,0.0,4.0,0.0,Observer,0.33248305320739746,1.0,4.0,156.0,MS,2021_09_03
91,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.19921422004699707,1.0,5.0,157.0,MS,2021_09_03
92,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.0,1.0,7.0,159.0,MS,2021_09_03
93,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.017381906509399414,1.0,8.0,160.0,MS,2021_09_03
94,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor-incongruent,0.03290987014770508,1.0,0.0,167.0,MS,2021_09_03
95,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.3332700729370117,1.0,3.0,170.0,MS,2021_09_03
96,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.08270096778869629,1.0,6.0,173.0,MS,2021_09_03
97,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.11565804481506348,1.0,9.0,176.0,MS,2021_09_03
98,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer,0.18286705017089844,1.0,10.0,177.0,MS,2021_09_03
99,1R,Low,8.0,8.0,0.0,4.0,1.0,Observer,0.0,0.0,11.0,178.0,MS,2021_09_03
100,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.4817469120025635,1.0,0.0,185.0,MS,2021_09_03
101,1R,Med,11.0,11.0,0.0,4.0,0.0,Observer,0.08217501640319824,1.0,3.0,188.0,MS,2021_09_03
102,1R,High,12.0,12.0,0.0,4.0,1.0,Observer,0.03317713737487793,0.0,4.0,189.0,MS,2021_09_03
103,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.049185991287231445,1.0,0.0,199.0,MS,2021_09_03
104,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.0,1.0,1.0,200.0,MS,2021_09_03
105,1R,Med,10.0,10.0,0.0,4.0,1.0,Observer,0.09913992881774902,0.0,2.0,201.0,MS,2021_09_03
106,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.199476957321167,1.0,0.0,206.0,MS,2021_09_03
107,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.09932112693786621,1.0,1.0,207.0,MS,2021_09_03
108,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.06593108177185059,1.0,2.0,208.0,MS,2021_09_03
109,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.1155238151550293,1.0,5.0,211.0,MS,2021_09_03
110,1R,Low,6.0,6.0,0.0,4.0,1.0,Actor,0.0,0.0,6.0,212.0,MS,2021_09_03
111,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.0,1.0,0.0,216.0,MS,2021_09_03
112,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.01564502716064453,1.0,3.0,219.0,MS,2021_09_03
113,1R,High,12.0,12.0,0.0,4.0,0.0,Observer,0.2321021556854248,1.0,4.0,220.0,MS,2021_09_03
114,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.050369977951049805,1.0,5.0,221.0,MS,2021_09_03
115,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,0.14840173721313477,1.0,6.0,222.0,MS,2021_09_03
116,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.0,1.0,7.0,223.0,MS,2021_09_03
117,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor-incongruent,0.017100095748901367,1.0,0.0,226.0,MS,2021_09_03
118,1R,Med,10.0,10.0,0.0,4.0,0.0,Observer,0.09926223754882812,1.0,2.0,228.0,MS,2021_09_03
119,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.04956388473510742,1.0,5.0,231.0,MS,2021_09_03
120,1R,Med,11.0,11.0,0.0,4.0,0.0,Actor,0.3665790557861328,1.0,6.0,232.0,MS,2021_09_03
121,1R,Med,10.0,10.0,0.0,4.0,0.0,Actor,0.14953875541687012,1.0,7.0,233.0,MS,2021_09_03
122,1R,Med,10.0,10.0,0.0,4.0,1.0,Actor,0.43227434158325195,0.0,9.0,235.0,MS,2021_09_03
123,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer-incongruent,0.2820098400115967,1.0,0.0,242.0,MS,2021_09_03
124,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer,0.2482929229736328,1.0,1.0,243.0,MS,2021_09_03
125,1R,High,12.0,12.0,0.0,4.0,0.0,Actor,0.3662419319152832,1.0,3.0,245.0,MS,2021_09_03
126,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.05042624473571777,1.0,4.0,246.0,MS,2021_09_03
127,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.19833779335021973,1.0,5.0,247.0,MS,2021_09_03
128,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.0995032787322998,1.0,6.0,248.0,MS,2021_09_03
129,1R,Low,4.0,4.0,0.0,4.0,1.0,Observer,0.16491103172302246,0.0,7.0,249.0,MS,2021_09_03
130,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.3660464286804199,1.0,0.0,253.0,MS,2021_09_03
131,1R,Med,9.0,9.0,0.0,4.0,0.0,Observer,0.0,1.0,1.0,254.0,MS,2021_09_03
132,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.6826891899108887,1.0,2.0,255.0,MS,2021_09_03
133,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.0,1.0,4.0,257.0,MS,2021_09_03
134,1R,Low,8.0,8.0,0.0,4.0,0.0,Actor,0.016307830810546875,1.0,5.0,258.0,MS,2021_09_03
135,1R,Low,3.0,3.0,0.0,4.0,1.0,Actor,0.05052018165588379,0.0,7.0,260.0,MS,2021_09_03
136,1R,Med,9.0,9.0,0.0,4.0,0.0,Actor,0.016655921936035156,1.0,0.0,265.0,MS,2021_09_03
137,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.0,1.0,1.0,266.0,MS,2021_09_03
138,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.11447000503540039,1.0,3.0,268.0,MS,2021_09_03
139,1R,Low,5.0,5.0,0.0,4.0,0.0,Observer,0.4833090305328369,1.0,4.0,269.0,MS,2021_09_03
140,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.19872474670410156,1.0,5.0,270.0,MS,2021_09_03
141,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.017069101333618164,1.0,0.0,277.0,MS,2021_09_03
142,1R,High,12.0,12.0,0.0,4.0,0.0,Actor,0.0,1.0,1.0,278.0,MS,2021_09_03
143,1R,Low,5.0,5.0,0.0,4.0,0.0,Observer,0.14864015579223633,1.0,2.0,279.0,MS,2021_09_03
144,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.2165830135345459,1.0,3.0,280.0,MS,2021_09_03
145,1R,Low,5.0,5.0,0.0,4.0,0.0,Observer,0.16636109352111816,1.0,4.0,281.0,MS,2021_09_03
146,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.016583919525146484,1.0,5.0,282.0,MS,2021_09_03
147,1R,Low,3.0,3.0,0.0,4.0,1.0,Observer,0.4836430549621582,0.0,6.0,283.0,MS,2021_09_03
148,1R,Med,10.0,10.0,0.0,4.0,0.0,Observer,0.2144010066986084,1.0,0.0,288.0,MS,2021_09_03
149,1R,High,14.0,14.0,0.0,4.0,0.0,Actor,0.049978017807006836,1.0,1.0,289.0,MS,2021_09_03
150,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.33325815200805664,1.0,2.0,290.0,MS,2021_09_03
151,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.016549110412597656,1.0,3.0,291.0,MS,2021_09_03
152,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.18216800689697266,1.0,4.0,292.0,MS,2021_09_03
153,1R,Low,8.0,8.0,0.0,4.0,0.0,Actor,0.1499340534210205,1.0,5.0,293.0,MS,2021_09_03
154,1R,Med,11.0,11.0,0.0,4.0,1.0,Actor,0.28206467628479004,0.0,6.0,294.0,MS,2021_09_03
155,1R,Low,5.0,5.0,0.0,4.0,0.0,Observer,0.18152904510498047,1.0,0.0,297.0,MS,2021_09_03
156,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.16586804389953613,1.0,1.0,298.0,MS,2021_09_03
157,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.0,1.0,3.0,300.0,MS,2021_09_03
158,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.016427040100097656,1.0,4.0,301.0,MS,2021_09_03
159,1R,Low,5.0,5.0,0.0,4.0,0.0,Observer,0.21597790718078613,1.0,6.0,303.0,MS,2021_09_03
160,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer-incongruent,0.317018985748291,1.0,8.0,305.0,MS,2021_09_03
161,1R,Low,4.0,4.0,0.0,4.0,1.0,Actor,0.14948105812072754,0.0,9.0,306.0,MS,2021_09_03
162,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.0,1.0,0.0,310.0,MS,2021_09_03
163,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.01637578010559082,1.0,1.0,311.0,MS,2021_09_03
164,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.23135876655578613,1.0,4.0,314.0,MS,2021_09_03
165,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.04955911636352539,1.0,5.0,315.0,MS,2021_09_03
166,1R,Med,9.0,9.0,0.0,4.0,0.0,Observer,0.2821381092071533,1.0,6.0,316.0,MS,2021_09_03
167,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor-incongruent,0.04986906051635742,1.0,0.0,321.0,MS,2021_09_03
168,1R,Med,9.0,9.0,0.0,4.0,0.0,Actor,0.21546292304992676,1.0,1.0,322.0,MS,2021_09_03
169,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.3494069576263428,1.0,2.0,323.0,MS,2021_09_03
170,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.33168697357177734,1.0,3.0,324.0,MS,2021_09_03
171,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.0,1.0,5.0,326.0,MS,2021_09_03
172,1R,High,13.0,13.0,0.0,4.0,0.0,Observer,0.0,1.0,6.0,327.0,MS,2021_09_03
173,1R,Low,7.0,7.0,0.0,4.0,1.0,Observer,0.04908180236816406,0.0,9.0,330.0,MS,2021_09_03
174,1R,Low,8.0,8.0,0.0,4.0,0.0,Actor,0.09925508499145508,1.0,0.0,333.0,MS,2021_09_03
175,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.09917688369750977,1.0,3.0,336.0,MS,2021_09_03
176,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.2501981258392334,1.0,4.0,337.0,MS,2021_09_03
177,1R,Med,10.0,10.0,0.0,4.0,0.0,Observer,0.41594505310058594,1.0,5.0,338.0,MS,2021_09_03
178,1R,Med,11.0,11.0,0.0,4.0,0.0,Actor,0.08309507369995117,1.0,7.0,340.0,MS,2021_09_03
179,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.0,1.0,8.0,341.0,MS,2021_09_03
180,1R,High,13.0,13.0,0.0,4.0,0.0,Actor,0.14967012405395508,1.0,9.0,342.0,MS,2021_09_03
181,1R,Low,2.0,2.0,0.0,4.0,1.0,Observer,0.0,0.0,10.0,343.0,MS,2021_09_03
182,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.16648602485656738,1.0,0.0,347.0,MS,2021_09_03
183,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.0651693344116211,1.0,1.0,348.0,MS,2021_09_03
184,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,1.6991839408874512,1.0,2.0,349.0,MS,2021_09_03
185,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.0,1.0,3.0,350.0,MS,2021_09_03
186,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.016538143157958984,1.0,4.0,351.0,MS,2021_09_03
187,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.015687942504882812,1.0,5.0,352.0,MS,2021_09_03
188,1R,Med,9.0,9.0,0.0,4.0,1.0,Observer,0.0,0.0,7.0,354.0,MS,2021_09_03
189,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.0,1.0,0.0,359.0,MS,2021_09_03
190,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.28392720222473145,1.0,5.0,364.0,MS,2021_09_03
191,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.5173702239990234,1.0,7.0,366.0,MS,2021_09_03
192,1R,Low,5.0,5.0,0.0,4.0,1.0,Observer,0.2825911045074463,0.0,10.0,369.0,MS,2021_09_03
193,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor-incongruent,0.11629962921142578,1.0,0.0,371.0,MS,2021_09_03
194,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.08376598358154297,1.0,1.0,372.0,MS,2021_09_03
195,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,0.2504429817199707,1.0,2.0,373.0,MS,2021_09_03
196,1R,Med,10.0,10.0,0.0,4.0,0.0,Actor,0.0,1.0,3.0,374.0,MS,2021_09_03
197,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,1.3650932312011719,1.0,4.0,375.0,MS,2021_09_03
