,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
0,"[-1.0, 1.0]",-1.0,1.0,-1.0,"[5.28227686882019, 6.615924835205078]","[1.0, 1.0]","[5.548782825469971, 6.615924835205078]","[1.0, 0.0]",1.0,0.0,5.849294185638428,1630854676.695596,0,-1,1,1,0.8,0.0,15,12,0,1,"[0, 1]","[0, 0]","[0, 1]","[12, 1]","[12, 0]","[0, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",1NRO,1NR,0.0,1
1,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.19958782196044922, 0.44940185546875]","[1.0, 1.0]","[0.348538875579834, 0.5160748958587646]","[1.0, 1.0]",1.0,1.0,3.5164711475372314,1630854684.195287,0,-1,1,-1,0.8,1.0,5,4,0,2,"[0, 0]","[0, 0]","[0, 0]","[11, 8]","[11, 8]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[11, 8]","[11, 8]","[0, 0]",1R,1R,0.0,2
2,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.5817439556121826, 0.381030797958374]","[4.0, 4.0]","[0.9817249774932861, 0.41541481018066406]","[1.0, 1.0]",1.0,1.0,5.299592971801758,1630854689.745078,0,-1,1,-1,0.6428571428571429,1.0,14,9,0,3,"[0, 0]","[0, 0]","[0, 0]","[10, 7]","[10, 7]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[10, 7]","[10, 7]","[0, 0]",1R,1R,1.0,3
3,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.5323560237884521, 1.0155251026153564]","[4.0, 4.0]","[0.7990009784698486, 1.0155251026153564]","[1.0, 1.0]",1.0,1.0,5.5839550495147705,1630854696.860759,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,4,"[0, 0]","[0, 0]","[0, 0]","[9, 6]","[9, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[9, 6]","[9, 6]","[0, 0]",1NR,1NR,2.0,4
4,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.18193626403808594, 0.36450624465942383]","[4.0, 3.0]","[0.36450624465942383, 0.36450624465942383]","[1.0, 1.0]",1.0,1.0,2.900529861450196,1630854703.810948,1,-1,0,-1,0.5,1.0,2,1,0,5,"[0, 0]","[0, 0]","[0, 0]","[8, 5]","[8, 5]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[8, 5]","[8, 5]","[0, 0]",1R,1R,3.0,5
5,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.21485209465026855, 0.36599087715148926]","[4.0, 4.0]","[0.34830689430236816, 0.36599087715148926]","[1.0, 1.0]",1.0,1.0,5.582741022109985,1630854707.895175,1,-1,0,-1,0.8666666666666667,0.0,15,13,0,6,"[0, 0]","[0, 0]","[0, 0]","[7, 4]","[7, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[7, 4]","[7, 4]","[0, 0]",1NR,1NR,4.0,6
6,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.5319008827209473, 0.21603679656982422]","[4.0, 3.0]","[0.7317829132080078, 0.2827639579772949]","[1.0, 1.0]",1.0,1.0,4.483730792999268,1630854715.343976,1,-1,0,-1,0.7,1.0,10,7,0,7,"[0, 0]","[0, 0]","[0, 0]","[6, 3]","[6, 3]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[6, 3]","[6, 3]","[0, 0]",1R,1R,5.0,7
7,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.09829306602478027, 0.24721407890319824]","[4.0, 4.0]","[0.28123998641967773, 0.28123998641967773]","[1.0, 1.0]",1.0,1.0,5.849924087524414,1630854720.994536,0,-1,1,-1,0.6666666666666666,0.0,15,10,0,8,"[0, 0]","[0, 0]","[0, 0]","[5, 2]","[5, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[5, 2]","[5, 2]","[0, 0]",1NR,1NR,6.0,8
8,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.316622257232666, 0.3663308620452881]","[4.0, 2.0]","[0.8995342254638672, 0.3828558921813965]","[1.0, 1.0]",1.0,1.0,5.849048852920532,1630854728.6946812,0,-1,1,-1,0.6666666666666666,0.0,15,10,0,9,"[0, 1]","[0, 1]","[0, 0]","[4, 1]","[4, 1]","[0, 0]","[0, 1]","[0, 1]","[0, 0]","[4, 1]","[4, 1]","[0, 0]",2NR,2NR,7.0,9
9,"[-1.0, 1.0]",-1.0,1.0,-1.0,"[0.13257074356079102, 0.36608386039733887]","[4.0, 1.0]","[0.3984987735748291, 0.3984987735748291]","[1.0, 0.0]",1.0,0.0,5.100243091583252,1630854735.760562,1,1,0,-1,0.6923076923076923,1.0,13,9,0,10,"[0, 1]","[0, 0]","[0, 1]","[3, 1]","[3, 0]","[0, 1]","[0, 0]","[0, 0]","[0, 0]","[3, 5]","[3, 5]","[0, 0]",1R,1R,8.0,10
