,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.55,TB,0.5,0.5909090909090909,2021_09_16
1,-10,0.7073170731707317,TB,0.631578947368421,0.7727272727272727,2021_09_16
2,-9,0.8292682926829268,TB,0.7727272727272727,0.8947368421052632,2021_09_16
3,-8,0.926829268292683,TB,0.9444444444444444,0.9130434782608695,2021_09_16
4,-7,0.926829268292683,TB,0.92,0.9375,2021_09_16
5,-6,0.9512195121951219,TB,0.9166666666666666,1.0,2021_09_16
6,-5,1.0,TB,1.0,1.0,2021_09_16
7,-4,0.975609756097561,TB,0.9473684210526315,1.0,2021_09_16
8,-3,0.926829268292683,TB,1.0,0.8333333333333334,2021_09_16
9,-2,1.0,TB,1.0,1.0,2021_09_16
10,-1,0.926829268292683,TB,0.9,0.9523809523809523,2021_09_16
11,0,0.12195121951219512,TB,0.13043478260869565,0.1111111111111111,2021_09_16
12,1,0.4878048780487805,TB,0.5,0.47058823529411764,2021_09_16
13,2,0.6585365853658537,TB,0.5714285714285714,0.7037037037037037,2021_09_16
14,3,0.8536585365853658,TB,0.8846153846153846,0.8,2021_09_16
15,4,0.8780487804878049,TB,0.8125,0.92,2021_09_16
16,5,0.926829268292683,TB,0.9130434782608695,0.9444444444444444,2021_09_16
17,6,0.975609756097561,TB,0.95,1.0,2021_09_16
18,7,0.9512195121951219,TB,0.9090909090909091,1.0,2021_09_16
19,8,0.926829268292683,TB,0.9166666666666666,0.9411764705882353,2021_09_16
20,9,0.975609756097561,TB,1.0,0.9473684210526315,2021_09_16
21,10,0.9512195121951219,TB,0.9047619047619048,1.0,2021_09_16
