,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Confidence,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.4991738796234131,1.0,0.0,1.0,TB,2021_10_17
1,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.16599225997924805,1.0,8.0,9.0,TB,2021_10_17
2,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.14902281761169434,1.0,0.0,15.0,TB,2021_10_17
3,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer,0.18225383758544922,1.0,1.0,16.0,TB,2021_10_17
4,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.18329381942749023,1.0,2.0,17.0,TB,2021_10_17
5,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.1662142276763916,1.0,3.0,18.0,TB,2021_10_17
6,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor-incongruent,0.498183012008667,1.0,7.0,22.0,TB,2021_10_17
7,1R,Low,8.0,8.0,0.0,4.0,1.0,Actor,0.0,0.0,8.0,23.0,TB,2021_10_17
8,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor-incongruent,0.09860014915466309,1.0,0.0,28.0,TB,2021_10_17
9,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.464601993560791,1.0,2.0,30.0,TB,2021_10_17
10,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.33283305168151855,1.0,3.0,31.0,TB,2021_10_17
11,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.0826578140258789,1.0,4.0,32.0,TB,2021_10_17
12,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.2315959930419922,1.0,5.0,33.0,TB,2021_10_17
13,1R,Med,9.0,9.0,0.0,4.0,0.0,Actor,0.01621413230895996,1.0,0.0,37.0,TB,2021_10_17
14,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor-incongruent,0.0,1.0,2.0,39.0,TB,2021_10_17
15,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.0,1.0,3.0,40.0,TB,2021_10_17
16,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.29921388626098633,1.0,5.0,42.0,TB,2021_10_17
17,1R,Low,6.0,6.0,0.0,3.0,0.0,Observer,0.6158826351165771,1.0,8.0,45.0,TB,2021_10_17
18,1R,Med,9.0,9.0,0.0,4.0,1.0,Actor,0.2829723358154297,0.0,10.0,47.0,TB,2021_10_17
19,1R,Med,11.0,11.0,0.0,4.0,0.0,Actor,0.39896178245544434,1.0,0.0,50.0,TB,2021_10_17
20,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.36494016647338867,1.0,2.0,52.0,TB,2021_10_17
21,1R,Med,10.0,10.0,0.0,3.0,0.0,Actor,0.0,1.0,4.0,54.0,TB,2021_10_17
22,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.23270297050476074,1.0,5.0,55.0,TB,2021_10_17
23,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer,0.24953794479370117,1.0,6.0,56.0,TB,2021_10_17
24,1R,Low,5.0,5.0,0.0,4.0,0.0,Observer,0.41559314727783203,1.0,7.0,57.0,TB,2021_10_17
25,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.20011186599731445,1.0,8.0,58.0,TB,2021_10_17
26,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.34958982467651367,1.0,9.0,59.0,TB,2021_10_17
27,1R,Low,6.0,6.0,0.0,4.0,1.0,Actor,0.2167060375213623,0.0,13.0,63.0,TB,2021_10_17
28,1R,Low,8.0,8.0,0.0,4.0,0.0,Actor,0.11584901809692383,1.0,0.0,68.0,TB,2021_10_17
29,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.16609883308410645,1.0,1.0,69.0,TB,2021_10_17
30,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer,0.0,1.0,2.0,70.0,TB,2021_10_17
31,1R,Low,5.0,5.0,0.0,4.0,0.0,Observer,0.06704306602478027,1.0,3.0,71.0,TB,2021_10_17
32,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.09967184066772461,1.0,4.0,72.0,TB,2021_10_17
33,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.08334994316101074,1.0,5.0,73.0,TB,2021_10_17
34,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.2167220115661621,1.0,7.0,75.0,TB,2021_10_17
