,Outcome,Performance,Effort,Difficulty,1back-Performance,1back-Effort,1back-Difficulty,Switches,Condition,1back-Condition,Corrects,Confidence,Prev_confidence,Pos_in_block,Player,Session
0,1R,1.0,0.09817500000000001,0.6186705221999999,11.0,0.4815249999999998,1.1650489181000003,0.0,Actor,Observer,1.0,4.0,2.0,0.0,CK,session1
1,1R,2.0,0.3599749999999998,1.4673760177999997,1.0,0.09817500000000001,0.6186705221999999,0.0,Observer,Actor,1.0,4.0,4.0,1.0,CK,session1
2,1R,1.0,0.0,1.044330713,2.0,0.3599749999999998,1.4673760177999997,0.0,Actor,Observer,1.0,4.0,4.0,2.0,CK,session1
3,1R,3.0,0.26647500000000013,0.8547945858999999,7.0,0.5703500000000002,1.709020812,0.0,Actor,Actor,1.0,4.0,4.0,4.0,CK,session1
4,1R,1.0,0.11687500000000006,0.8296914442999999,7.0,0.6124249999999997,2.3406781461,0.0,Observer,Observer,1.0,4.0,3.0,7.0,CK,session1
5,1R,5.0,0.18232499999999996,1.0952935038000002,1.0,0.11687500000000006,0.8296914442999999,0.0,Actor,Observer,1.0,4.0,4.0,8.0,CK,session1
6,1R,7.0,0.2992,1.0776292172,11.0,0.6732000000000001,0.8702789416000001,0.0,Actor,Observer,1.0,4.0,3.0,10.0,CK,session1
7,1R,6.0,0.3739999999999999,1.1710545981999998,7.0,0.2992,1.0776292172,0.0,Actor,Actor,0.0,4.0,4.0,11.0,CK,session1
8,1R,3.0,0.21037499999999998,0.9401945712000002,13.0,0.7807250000000004,0.9352721535000003,0.0,Observer,Observer,1.0,4.0,3.0,0.0,CK,session1
9,1R,7.0,0.27115,0.7136503663000002,3.0,0.21037499999999998,0.9401945712000002,0.0,Observer,Observer,1.0,4.0,4.0,1.0,CK,session1
10,1R,7.0,0.18232500000000001,0.5478914976,7.0,0.27115,0.7136503663000002,0.0,Actor,Observer,1.0,4.0,4.0,2.0,CK,session1
11,1R,5.0,0.33192500000000014,0.6067436952000002,7.0,0.44879999999999975,1.4717924085999998,0.0,Observer-incongruent,Actor-incongruent,1.0,4.0,3.0,6.0,CK,session1
12,1R,1.0,0.01402500000000001,1.6333636669,5.0,0.33192500000000014,0.6067436952000002,0.0,Actor,Observer-incongruent,1.0,4.0,4.0,7.0,CK,session1
13,1R,7.0,0.28049999999999997,0.5781799605000002,9.0,0.6591750000000001,1.2755555582000002,0.0,Actor,Observer-incongruent,1.0,4.0,2.0,0.0,CK,session1
14,1R,9.0,0.2524500000000002,0.5837919233000002,7.0,0.28049999999999997,0.5781799605000002,0.0,Observer,Actor,1.0,4.0,4.0,1.0,CK,session1
15,1R,5.0,0.22907500000000003,0.5546647816000001,11.0,0.34595,0.8649895178000003,0.0,Actor,Actor,1.0,4.0,4.0,3.0,CK,session1
16,1R,3.0,0.11687499999999984,1.3976063321999996,5.0,0.22907500000000003,0.5546647816000001,0.0,Observer,Actor,1.0,4.0,4.0,4.0,CK,session1
17,1R,7.0,0.35530000000000006,1.2151402881000002,3.0,0.11687499999999984,1.3976063321999996,0.0,Observer,Observer,0.0,4.0,4.0,5.0,CK,session1
18,1R,3.0,0.23842499999999994,1.0848537470000001,9.0,0.640475,1.3755883939000006,0.0,Observer,Actor,1.0,4.0,2.0,0.0,CK,session1
19,1R,6.0,0.3132249999999999,1.3367477999000001,10.0,0.5142500000000001,1.4677862474999996,0.0,Actor,Actor,1.0,4.0,4.0,2.0,CK,session1
20,1R,4.0,0.219725,1.1283942138,6.0,0.3132249999999999,1.3367477999000001,0.0,Observer,Actor,1.0,4.0,4.0,3.0,CK,session1
21,1R,2.0,0.1916750000000001,0.7908816687,9.0,0.79475,1.6808729982000004,0.0,Observer,Actor,1.0,4.0,4.0,5.0,CK,session1
22,1R,1.0,0.03739999999999999,1.5605523918000002,14.0,0.7339749999999996,0.7883780149,0.0,Observer,Observer-incongruent,1.0,4.0,4.0,9.0,CK,session1
23,1R,2.0,0.19167500000000015,1.2468876274000005,11.0,0.565675,1.0307444021,0.0,Observer-incongruent,Actor-incongruent,1.0,4.0,4.0,0.0,CK,session1
24,1R,6.0,0.11687500000000006,0.5632686462000002,2.0,0.19167500000000015,1.2468876274000005,0.0,Actor,Observer-incongruent,1.0,4.0,4.0,1.0,CK,session1
25,1R,1.0,0.06077499999999991,2.425330400099999,6.0,0.11687500000000006,0.5632686462000002,0.0,Observer,Actor,1.0,4.0,4.0,2.0,CK,session1
26,1R,3.0,0.16830000000000023,1.0345115705999999,1.0,0.06077499999999991,2.425330400099999,0.0,Observer,Observer,1.0,4.0,4.0,3.0,CK,session1
27,1R,11.0,0.4534750000000004,1.0970483623,7.0,0.6311249999999998,1.0120391026000002,0.0,Observer,Actor,1.0,4.0,4.0,5.0,CK,session1
28,1R,1.0,0.09817500000000001,0.9814132629000001,11.0,0.4534750000000004,1.0970483623,0.0,Observer,Observer,1.0,4.0,4.0,6.0,CK,session1
29,1R,9.0,0.32725000000000026,1.0186600330999998,8.0,0.2991999999999999,1.2325727534,0.0,Observer,Observer,1.0,4.0,4.0,8.0,CK,session1
30,1R,1.0,0.12622499999999995,1.6017495869,10.0,0.4487999999999999,1.5997647896,0.0,Observer,Observer,1.0,4.0,2.0,0.0,CK,session1
31,1R,4.0,0.21505000000000002,0.8794685626999998,1.0,0.12622499999999995,1.6017495869,0.0,Actor,Observer,1.0,4.0,4.0,1.0,CK,session1
32,1R,3.0,0.23374999999999999,0.8094850584000001,10.0,0.9256499999999999,1.0241002072,0.0,Observer,Observer,1.0,4.0,4.0,4.0,CK,session1
33,1R,2.0,0.032725000000000004,1.199657172,3.0,0.23374999999999999,0.8094850584000001,0.0,Actor,Observer,1.0,4.0,4.0,5.0,CK,session1
34,1R,3.0,0.1402500000000001,1.0372333654999997,9.0,0.7152750000000001,1.3543866038,0.0,Observer,Observer,1.0,4.0,2.0,0.0,CK,session1
35,1R,3.0,0.1355749999999999,0.3652161128000001,3.0,0.1402500000000001,1.0372333654999997,0.0,Observer,Observer,1.0,4.0,4.0,1.0,CK,session1
36,1R,1.0,0.10752499999999998,1.2124007909,3.0,0.1355749999999999,0.3652161128000001,0.0,Observer,Observer,1.0,4.0,4.0,2.0,CK,session1
