,Outcome,Performance,Effort,Difficulty,1back-Performance,1back-Effort,1back-Difficulty,Switches,Condition,1back-Condition,Corrects,Confidence,Prev_confidence,Pos_in_block,Player,Session
0,1R,1.0,0.12154999999999994,0.7922423386999997,10.0,0.8134499999999997,1.5931639498000005,0.0,Observer-incongruent,Observer,1.0,4.0,1.0,0.0,JY,session1
1,1R,8.0,0.2945249999999998,0.9131105824999999,1.0,0.12154999999999994,0.7922423386999997,0.0,Actor,Observer-incongruent,1.0,4.0,4.0,1.0,JY,session1
2,1R,8.0,0.3740000000000001,0.7069268644000003,8.0,0.2945249999999998,0.9131105824999999,0.0,Actor,Actor,1.0,4.0,4.0,2.0,JY,session1
3,1R,9.0,0.6451500000000001,0.9492215830999998,8.0,0.3740000000000001,0.7069268644000003,0.0,Observer,Actor,1.0,4.0,4.0,3.0,JY,session1
4,1R,7.0,0.313225,1.5605631629999999,9.0,0.4674999999999999,1.1103680854,0.0,Actor,Actor-incongruent,1.0,3.0,2.0,7.0,JY,session1
5,1R,1.0,0.15427499999999994,0.9491402883000002,12.0,0.6685249999999999,0.6595248604999998,0.0,Actor,Actor,0.0,3.0,2.0,9.0,JY,session1
6,1R,1.0,0.154275,0.7134724090999999,6.0,0.705925,1.8608292615999997,0.0,Observer,Observer-incongruent,1.0,4.0,3.0,0.0,JY,session1
7,1R,7.0,0.23374999999999999,1.3096894741000003,1.0,0.154275,0.7134724090999999,0.0,Actor,Observer,1.0,4.0,4.0,1.0,JY,session1
8,1R,3.0,0.18232499999999996,1.4603410468,9.0,0.5095750000000001,1.9996903094000003,0.0,Observer,Actor,1.0,4.0,4.0,4.0,JY,session1
9,1R,1.0,0.004674999999999985,0.6287369088,11.0,0.8491128537000001,0.7364928307,0.0,Actor,Observer,1.0,4.0,4.0,6.0,JY,session1
10,1R,3.0,0.2664749999999999,1.1077575564,1.0,0.004674999999999985,0.6287369088,0.0,Observer,Actor,1.0,4.0,4.0,7.0,JY,session1
11,1R,7.0,0.36465,0.8363213529000001,6.0,0.9472880275,0.9900629503,0.0,Observer,Actor,1.0,3.0,3.0,9.0,JY,session1
12,1R,2.0,0.10285000000000011,1.0361709809000006,11.0,0.7479999999999999,0.8437592933,0.0,Actor,Observer-incongruent,1.0,4.0,3.0,0.0,JY,session1
13,1R,6.0,0.5078204805999998,1.3650523096999998,13.0,0.7620249999999998,0.7837256009,0.0,Observer,Observer,1.0,4.0,4.0,3.0,JY,session1
14,1R,2.0,0.08882499999999993,1.4862644221,6.0,0.5078204805999998,1.3650523096999998,0.0,Actor,Observer,1.0,4.0,4.0,4.0,JY,session1
15,1R,11.0,0.7059249999999996,0.7763849986000001,7.0,0.7947499999999997,1.4066922424,0.0,Observer,Actor,1.0,4.0,4.0,6.0,JY,session1
16,1R,3.0,0.20102500000000012,2.2430982364,11.0,0.7059249999999996,0.7763849986000001,0.0,Actor,Observer,1.0,4.0,4.0,7.0,JY,session1
17,1R,4.0,0.14959999999999996,0.7614416295999996,3.0,0.20102500000000012,2.2430982364,0.0,Observer,Actor,1.0,4.0,4.0,8.0,JY,session1
18,1R,8.0,0.39737500000000014,0.5749066853000002,4.0,0.14959999999999996,0.7614416295999996,0.0,Actor,Observer,1.0,3.0,4.0,9.0,JY,session1
19,1R,8.0,0.3132250000000001,0.9238048625999999,8.0,0.39737500000000014,0.5749066853000002,0.0,Observer,Actor,0.0,3.0,3.0,10.0,JY,session1
20,1R,7.0,0.331925,1.6641741576,12.0,0.883575,1.0233442352999997,0.0,Actor-incongruent,Actor,1.0,4.0,2.0,0.0,JY,session1
21,1R,2.0,0.042075,0.8909232071000001,7.0,0.331925,1.6641741576,0.0,Actor,Actor-incongruent,1.0,4.0,4.0,1.0,JY,session1
22,1R,2.0,0.02337499999999998,1.2797914772999999,2.0,0.042075,0.8909232071000001,0.0,Actor,Actor,1.0,4.0,4.0,2.0,JY,session1
23,1R,9.0,0.3038750000000001,0.7894490046,10.0,0.6311249999999999,1.1229718899,0.0,Observer,Actor,1.0,4.0,4.0,4.0,JY,session1
24,1R,8.0,0.7368954803000001,1.3461197511,11.0,0.780725,1.5684686867,0.0,Observer,Observer,1.0,4.0,4.0,6.0,JY,session1
25,1R,6.0,0.3132250000000001,0.8948427596,8.0,0.7368954803000001,1.3461197511,0.0,Actor,Observer,1.0,4.0,4.0,7.0,JY,session1
26,1R,2.0,0.16362500000000002,2.2167382451,10.0,0.7479999999999998,1.3154793748,0.0,Observer-incongruent,Observer,1.0,4.0,2.0,0.0,JY,session1
27,1R,6.0,0.47685,1.2003796631999997,2.0,0.16362500000000002,2.2167382451,0.0,Actor,Observer-incongruent,1.0,4.0,4.0,1.0,JY,session1
28,1R,7.0,0.39270000000000016,0.8007716880999999,6.0,0.47685,1.2003796631999997,0.0,Observer,Actor,1.0,4.0,4.0,2.0,JY,session1
29,1R,7.0,0.32257499999999983,0.7431917212999998,7.0,0.39270000000000016,0.8007716880999999,0.0,Observer,Observer,1.0,4.0,4.0,3.0,JY,session1
30,1R,2.0,0.02804999999999991,0.6222747947,10.0,0.5610000000000002,0.6826353661,0.0,Actor,Actor,1.0,4.0,4.0,5.0,JY,session1
31,1R,4.0,0.20102500000000023,1.6657671926000006,2.0,0.02804999999999991,0.6222747947,0.0,Actor,Actor,1.0,4.0,4.0,6.0,JY,session1
32,1R,6.0,0.29452500000000004,1.6019026861000003,4.0,0.20102500000000023,1.6657671926000006,0.0,Observer,Actor,1.0,4.0,4.0,7.0,JY,session1
33,1R,6.0,0.32257499999999995,1.2709585462000001,11.0,0.6357999999999994,0.9279123333,0.0,Observer,Actor,1.0,3.0,2.0,9.0,JY,session1
34,1R,2.0,0.07012500000000021,1.5456858703999998,6.0,0.32257499999999995,1.2709585462000001,0.0,Observer,Observer,1.0,3.0,3.0,10.0,JY,session1
35,1R,3.0,0.3179000000000004,1.8022967012,2.0,0.07012500000000021,1.5456858703999998,0.0,Observer,Observer,0.0,3.0,3.0,11.0,JY,session1
36,1R,4.0,0.15427500000000005,1.8529280197000002,9.0,0.7620249999999998,1.4979780509,0.0,Actor,Actor,1.0,4.0,2.0,0.0,JY,session1
37,1R,1.0,0.042075,1.2124822772,10.0,0.75735,0.982285698,0.0,Actor,Actor,1.0,4.0,4.0,4.0,JY,session1
38,1R,10.0,0.48619999999999997,0.8513100017999999,1.0,0.042075,1.2124822772,0.0,Actor,Actor,1.0,4.0,4.0,5.0,JY,session1
39,1R,8.0,0.2057,1.0329213052000001,10.0,0.48619999999999997,0.8513100017999999,0.0,Actor,Actor,1.0,4.0,4.0,6.0,JY,session1
