,Outcome,Performance,Effort,Difficulty,1back-Performance,1back-Effort,1back-Difficulty,Switches,Condition,1back-Condition,Corrects,Confidence,Prev_confidence,Pos_in_block,Player,Session
0,1R,1.0,0.07012499999999999,0.7520514731,10.0,0.528275,0.7061207778,0.0,Observer,Actor-incongruent,1.0,2.0,2.0,0.0,KL,session1
1,1R,6.0,0.21972500000000006,0.5528393310000002,1.0,0.07012499999999999,0.7520514731,0.0,Observer,Observer,1.0,2.0,2.0,1.0,KL,session1
2,1R,1.0,0.032725000000000004,1.0120815791999997,6.0,0.21972500000000006,0.5528393310000002,0.0,Observer,Observer,1.0,3.0,2.0,2.0,KL,session1
3,1R,11.0,0.32257500000000006,0.8225497124999999,1.0,0.032725000000000004,1.0120815791999997,0.0,Observer,Observer,1.0,3.0,3.0,3.0,KL,session1
4,1R,2.0,0.26647499999999996,1.3288454393999998,8.0,0.5563250000000004,1.8816833790999996,0.0,Actor-incongruent,Actor,1.0,3.0,2.0,0.0,KL,session1
5,1R,7.0,0.743325,1.6552531094,15.0,0.5049,0.5892683619,0.0,Actor,Observer,1.0,3.0,3.0,2.0,KL,session1
6,1R,2.0,0.042074999999999974,1.0097809877,7.0,0.743325,1.6552531094,0.0,Actor,Actor,1.0,4.0,3.0,3.0,KL,session1
7,1R,3.0,0.13090000000000007,1.0184100091,2.0,0.042074999999999974,1.0097809877,0.0,Observer,Actor,1.0,3.0,4.0,4.0,KL,session1
8,1R,1.0,0.01402500000000001,0.9584211171,10.0,0.5656749999999999,1.266446009,0.0,Observer,Actor,1.0,2.0,2.0,6.0,KL,session1
9,1R,8.0,0.565675,1.5674167565,1.0,0.01402500000000001,0.9584211171,0.0,Actor,Observer,1.0,2.0,2.0,7.0,KL,session1
10,1R,7.0,0.4067249999999999,1.0337906516,10.0,0.668525,1.3412367669999998,0.0,Observer-incongruent,Actor-incongruent,1.0,2.0,1.0,0.0,KL,session1
11,1R,2.0,0.2057,0.6413052186000001,7.0,0.4067249999999999,1.0337906516,0.0,Actor,Observer-incongruent,1.0,2.0,2.0,1.0,KL,session1
12,1R,7.0,0.5423000000000001,0.9928309729,2.0,0.2057,0.6413052186000001,0.0,Actor,Actor,1.0,3.0,2.0,2.0,KL,session1
13,1R,1.0,0.10285000000000011,0.6479325766999999,11.0,0.5843749999999999,0.8964950816,0.0,Observer-incongruent,Actor,1.0,2.0,1.0,4.0,KL,session1
14,1R,3.0,0.08882500000000004,1.2553714977000003,1.0,0.10285000000000011,0.6479325766999999,0.0,Actor,Observer-incongruent,1.0,3.0,2.0,5.0,KL,session1
15,1R,3.0,0.24777499999999986,0.8972552816999999,3.0,0.08882500000000004,1.2553714977000003,0.0,Actor,Actor,1.0,4.0,3.0,6.0,KL,session1
16,1R,3.0,0.28517499999999996,1.2021424624,12.0,0.5376249999999999,0.7378116787999998,0.0,Observer-incongruent,Actor,1.0,2.0,2.0,8.0,KL,session1
17,1R,2.0,0.17765000000000009,1.4562759738,8.0,0.96305,1.2259324460000003,0.0,Observer-incongruent,Actor,1.0,2.0,2.0,12.0,KL,session1
18,1R,3.0,0.11687499999999973,0.8002492644999998,9.0,0.4674999999999997,1.2423944174,0.0,Actor-incongruent,Observer,1.0,3.0,2.0,14.0,KL,session1
19,1R,1.0,0.0,1.2487485331000001,3.0,0.11687499999999973,0.8002492644999998,0.0,Observer,Actor-incongruent,1.0,3.0,3.0,15.0,KL,session1
20,1R,4.0,0.12622499999999992,0.8057672105000001,1.0,0.0,1.2487485331000001,0.0,Observer,Observer,0.0,4.0,3.0,16.0,KL,session1
21,1R,4.0,0.21505000000000002,1.0381970194,9.0,0.49554999999999993,1.2537337792999999,0.0,Observer,Actor,1.0,2.0,2.0,0.0,KL,session1
22,1R,14.0,0.32725,0.47417825840000016,4.0,0.21505000000000002,1.0381970194,0.0,Observer,Observer,1.0,3.0,2.0,1.0,KL,session1
23,1R,11.0,0.2945249999999999,0.8016833474,14.0,0.32725,0.47417825840000016,0.0,Observer,Observer,1.0,3.0,3.0,2.0,KL,session1
