,Outcome,Performance,Effort,Difficulty,1back-Performance,1back-Effort,1back-Difficulty,Switches,Condition,1back-Condition,Corrects,Confidence,Prev_confidence,Pos_in_block,Player,Session
0,1R,5.0,0.275825,0.5806789269000001,4.0,0.4441249999999999,0.8090506051000002,0.0,Observer,Actor-incongruent,1.0,4.0,4.0,1.0,SC,session1
1,1R,1.0,0.325512852,0.7042150636000002,5.0,0.275825,0.5806789269000001,0.0,Actor,Observer,1.0,4.0,4.0,2.0,SC,session1
2,1R,5.0,0.659175,1.3578150438,6.0,0.8695499999999999,1.0404769209000002,0.0,Actor,Actor,1.0,4.0,2.0,5.0,SC,session1
3,1R,9.0,0.687225,1.5141375118,5.0,0.659175,1.3578150438,0.0,Actor,Actor,1.0,4.0,4.0,6.0,SC,session1
4,1R,3.0,0.19167499999999998,1.0131734102,7.0,0.7526749999999999,1.6831205932000002,0.0,Observer,Actor,1.0,4.0,3.0,8.0,SC,session1
5,1R,4.0,0.30855,0.6142888125,3.0,0.19167499999999998,1.0131734102,0.0,Observer,Observer,1.0,4.0,4.0,9.0,SC,session1
6,1R,3.0,0.13090000000000002,1.0474917379000002,13.0,0.7667,1.0143535597,0.0,Actor,Actor,1.0,4.0,2.0,0.0,SC,session1
7,1R,8.0,0.38334999999999986,1.3271445633999996,3.0,0.13090000000000002,1.0474917379000002,0.0,Actor,Actor,1.0,4.0,4.0,1.0,SC,session1
8,1R,1.0,0.04675000000000007,0.8887835063999999,10.0,0.6545000000000001,1.6946994189,0.0,Observer,Actor,1.0,4.0,1.0,6.0,SC,session1
9,1R,10.0,0.40205000000000013,2.0061166134000006,1.0,0.04675000000000007,0.8887835063999999,0.0,Actor,Observer,1.0,4.0,4.0,7.0,SC,session1
10,1R,1.0,0.03739999999999977,0.6350570981000002,10.0,0.40205000000000013,2.0061166134000006,0.0,Actor,Actor,1.0,4.0,4.0,8.0,SC,session1
11,1R,6.0,0.41139999999999965,1.5572163446,1.0,0.03739999999999977,0.6350570981000002,0.0,Actor,Actor,0.0,4.0,4.0,9.0,SC,session1
12,1R,3.0,0.350625,1.0170275445,14.0,0.8835750000000003,0.7006038960999998,0.0,Observer-incongruent,Observer,1.0,4.0,1.0,0.0,SC,session1
