,Outcome,Performance,Effort,Difficulty,1back-Performance,1back-Effort,1back-Difficulty,Switches,Condition,1back-Condition,Corrects,Confidence,Prev_confidence,Pos_in_block,Player,Session
0,1R,1.0,0.0,2.0759297358,12.0,0.5236000000000001,0.5920109916,0.0,Observer-incongruent,Observer,1.0,4.0,1.0,0.0,TB,session1
1,1R,6.0,0.47685000000000005,0.877135974,1.0,0.0,2.0759297358,0.0,Observer,Observer-incongruent,1.0,4.0,4.0,1.0,TB,session1
2,1R,3.0,0.331925,0.8747503480000001,6.0,0.47685000000000005,0.877135974,0.0,Actor,Observer,1.0,4.0,4.0,2.0,TB,session1
3,1R,3.0,0.15894999999999992,1.0361005149,3.0,0.331925,0.8747503480000001,0.0,Observer,Actor,1.0,4.0,4.0,3.0,TB,session1
4,1R,5.0,0.4768499999999999,1.3906064314000004,3.0,0.15894999999999992,1.0361005149,0.0,Actor,Observer,1.0,4.0,4.0,4.0,TB,session1
5,1R,7.0,0.8227999999999998,1.5439775284000001,5.0,0.4768499999999999,1.3906064314000004,0.0,Observer,Actor,1.0,4.0,4.0,5.0,TB,session1
6,1R,2.0,0.15894999999999998,0.7853471567000001,7.0,0.8227999999999998,1.5439775284000001,0.0,Actor,Observer,1.0,4.0,4.0,6.0,TB,session1
7,1R,2.0,0.24310000000000004,1.4666258667,9.0,0.6965749999999999,0.9214808545000002,0.0,Actor,Actor,0.0,4.0,3.0,8.0,TB,session1
8,1R,8.0,0.28049999999999964,1.2143179918000002,9.0,0.7339749999999999,1.6017287299999998,0.0,Actor,Observer,1.0,4.0,2.0,0.0,TB,session1
9,1R,8.0,0.4394499999999999,1.2072648719,8.0,0.28049999999999964,1.2143179918000002,0.0,Observer,Actor,1.0,4.0,4.0,1.0,TB,session1
10,1R,6.0,0.33660000000000023,0.8679388532000002,8.0,0.4394499999999999,1.2072648719,0.0,Actor,Observer,1.0,4.0,4.0,2.0,TB,session1
11,1R,3.0,0.2711499999999998,0.9071668448000003,8.0,0.537625,1.2125917444999998,0.0,Actor-incongruent,Observer,1.0,4.0,4.0,7.0,TB,session1
12,1R,1.0,0.08882500000000004,0.9090469619000003,3.0,0.2711499999999998,0.9071668448000003,0.0,Actor,Actor-incongruent,1.0,4.0,4.0,8.0,TB,session1
13,1R,4.0,0.9379204806,0.8800000000000001,10.0,0.6217749999999999,1.3714131077999998,0.0,Actor,Actor-incongruent,1.0,4.0,2.0,0.0,TB,session1
14,1R,4.0,0.116875,0.8905460384000001,4.0,0.9379204806,0.8800000000000001,0.0,Actor,Actor,1.0,4.0,4.0,1.0,TB,session1
15,1R,5.0,0.30855,0.8792435494999997,4.0,0.116875,0.8905460384000001,0.0,Actor,Actor,1.0,4.0,4.0,2.0,TB,session1
16,1R,1.0,0.10752500000000001,1.3013651023000001,10.0,0.7059250000000001,1.5779941374000002,0.0,Observer,Observer,1.0,4.0,4.0,4.0,TB,session1
17,1R,11.0,0.53295,1.2517213946999999,1.0,0.10752500000000001,1.3013651023000001,0.0,Actor,Observer,1.0,4.0,4.0,5.0,TB,session1
18,1R,2.0,0.19167500000000004,1.6196041529,13.0,0.7386499999999999,1.1006851925,0.0,Actor-incongruent,Observer,1.0,3.0,4.0,8.0,TB,session1
19,1R,8.0,0.303875,0.8805284473000001,2.0,0.19167500000000004,1.6196041529,0.0,Actor,Actor-incongruent,0.0,3.0,3.0,9.0,TB,session1
