unit_index,date,unit_number,group,n_trials,"choice_reward_[-0.6, 0.0]_selectivity_self","choice_reward_[0.0, 0.6]_selectivity_self","choice_reward_[-0.6, 0.0]_selectivity_other","choice_reward_[0.0, 0.6]_selectivity_other","choice_reward_[-0.6, 0.0]_selectivity_both","choice_reward_[0.0, 0.6]_selectivity_both","choice_reward_[-0.6, 0.0]_n_self","choice_reward_[0.0, 0.6]_n_self","choice_reward_[-0.6, 0.0]_n_other","choice_reward_[0.0, 0.6]_n_other","choice_reward_[-0.6, 0.0]_n_both","choice_reward_[0.0, 0.6]_n_both","choice_reward_[-0.6, 0.0]_p_self","choice_reward_[0.0, 0.6]_p_self","choice_reward_[-0.6, 0.0]_p_other","choice_reward_[0.0, 0.6]_p_other","choice_reward_[-0.6, 0.0]_p_both","choice_reward_[0.0, 0.6]_p_both","fdbk_reward_[-0.6, 0.0]_selectivity_self","fdbk_reward_[0.0, 0.6]_selectivity_self","fdbk_reward_[-0.6, 0.0]_selectivity_other","fdbk_reward_[0.0, 0.6]_selectivity_other","fdbk_reward_[-0.6, 0.0]_selectivity_both","fdbk_reward_[0.0, 0.6]_selectivity_both","fdbk_reward_[-0.6, 0.0]_n_self","fdbk_reward_[0.0, 0.6]_n_self","fdbk_reward_[-0.6, 0.0]_n_other","fdbk_reward_[0.0, 0.6]_n_other","fdbk_reward_[-0.6, 0.0]_n_both","fdbk_reward_[0.0, 0.6]_n_both","fdbk_reward_[-0.6, 0.0]_p_self","fdbk_reward_[0.0, 0.6]_p_self","fdbk_reward_[-0.6, 0.0]_p_other","fdbk_reward_[0.0, 0.6]_p_other","fdbk_reward_[-0.6, 0.0]_p_both","fdbk_reward_[0.0, 0.6]_p_both","choice_nback_all_[-0.6, 0.0]_selectivity_self","choice_nback_all_[0.0, 0.6]_selectivity_self","choice_nback_all_[-0.6, 0.0]_selectivity_other","choice_nback_all_[0.0, 0.6]_selectivity_other","choice_nback_all_[-0.6, 0.0]_selectivity_both","choice_nback_all_[0.0, 0.6]_selectivity_both","choice_nback_all_[-0.6, 0.0]_n_self","choice_nback_all_[0.0, 0.6]_n_self","choice_nback_all_[-0.6, 0.0]_n_other","choice_nback_all_[0.0, 0.6]_n_other","choice_nback_all_[-0.6, 0.0]_n_both","choice_nback_all_[0.0, 0.6]_n_both","choice_nback_all_[-0.6, 0.0]_p_self","choice_nback_all_[0.0, 0.6]_p_self","choice_nback_all_[-0.6, 0.0]_p_other","choice_nback_all_[0.0, 0.6]_p_other","choice_nback_all_[-0.6, 0.0]_p_both","choice_nback_all_[0.0, 0.6]_p_both","fdbk_nback_all_[-0.6, 0.0]_selectivity_self","fdbk_nback_all_[0.0, 0.6]_selectivity_self","fdbk_nback_all_[-0.6, 0.0]_selectivity_other","fdbk_nback_all_[0.0, 0.6]_selectivity_other","fdbk_nback_all_[-0.6, 0.0]_selectivity_both","fdbk_nback_all_[0.0, 0.6]_selectivity_both","fdbk_nback_all_[-0.6, 0.0]_n_self","fdbk_nback_all_[0.0, 0.6]_n_self","fdbk_nback_all_[-0.6, 0.0]_n_other","fdbk_nback_all_[0.0, 0.6]_n_other","fdbk_nback_all_[-0.6, 0.0]_n_both","fdbk_nback_all_[0.0, 0.6]_n_both","fdbk_nback_all_[-0.6, 0.0]_p_self","fdbk_nback_all_[0.0, 0.6]_p_self","fdbk_nback_all_[-0.6, 0.0]_p_other","fdbk_nback_all_[0.0, 0.6]_p_other","fdbk_nback_all_[-0.6, 0.0]_p_both","fdbk_nback_all_[0.0, 0.6]_p_both","choice_nback_AOOA_[-0.6, 0.0]_selectivity_self","choice_nback_AOOA_[0.0, 0.6]_selectivity_self","choice_nback_AOOA_[-0.6, 0.0]_selectivity_other","choice_nback_AOOA_[0.0, 0.6]_selectivity_other","choice_nback_AOOA_[-0.6, 0.0]_selectivity_both","choice_nback_AOOA_[0.0, 0.6]_selectivity_both","choice_nback_AOOA_[-0.6, 0.0]_n_self","choice_nback_AOOA_[0.0, 0.6]_n_self","choice_nback_AOOA_[-0.6, 0.0]_n_other","choice_nback_AOOA_[0.0, 0.6]_n_other","choice_nback_AOOA_[-0.6, 0.0]_n_both","choice_nback_AOOA_[0.0, 0.6]_n_both","choice_nback_AOOA_[-0.6, 0.0]_p_self","choice_nback_AOOA_[0.0, 0.6]_p_self","choice_nback_AOOA_[-0.6, 0.0]_p_other","choice_nback_AOOA_[0.0, 0.6]_p_other","choice_nback_AOOA_[-0.6, 0.0]_p_both","choice_nback_AOOA_[0.0, 0.6]_p_both","fdbk_nback_AOOA_[-0.6, 0.0]_selectivity_self","fdbk_nback_AOOA_[0.0, 0.6]_selectivity_self","fdbk_nback_AOOA_[-0.6, 0.0]_selectivity_other","fdbk_nback_AOOA_[0.0, 0.6]_selectivity_other","fdbk_nback_AOOA_[-0.6, 0.0]_selectivity_both","fdbk_nback_AOOA_[0.0, 0.6]_selectivity_both","fdbk_nback_AOOA_[-0.6, 0.0]_n_self","fdbk_nback_AOOA_[0.0, 0.6]_n_self","fdbk_nback_AOOA_[-0.6, 0.0]_n_other","fdbk_nback_AOOA_[0.0, 0.6]_n_other","fdbk_nback_AOOA_[-0.6, 0.0]_n_both","fdbk_nback_AOOA_[0.0, 0.6]_n_both","fdbk_nback_AOOA_[-0.6, 0.0]_p_self","fdbk_nback_AOOA_[0.0, 0.6]_p_self","fdbk_nback_AOOA_[-0.6, 0.0]_p_other","fdbk_nback_AOOA_[0.0, 0.6]_p_other","fdbk_nback_AOOA_[-0.6, 0.0]_p_both","fdbk_nback_AOOA_[0.0, 0.6]_p_both"
0,20221220,4,mua,696,0.0001,-0.0232,-0.0177,-0.0134,-0.0087,-0.0182,346.0,346.0,349.0,349.0,695.0,695.0,0.418,0.286,0.717,0.662,0.786,0.303,0.0687,0.1186,0.0618,0.0875,0.0565,0.0989,346.0,346.0,349.0,349.0,695.0,695.0,0.027,0.0,0.193,0.001,0.024,0.0,-0.0208,0.0608,0.0926,0.033,0.0256,0.0476,66.0,66.0,62.0,62.0,128.0,128.0,0.9,0.515,0.311,0.596,0.68,0.444,0.0758,0.0218,0.1889,0.0352,0.0996,0.0158,59.0,59.0,51.0,51.0,110.0,110.0,0.313,0.435,0.125,0.515,0.132,0.327,-0.0187,0.038,0.0841,0.0577,0.0256,0.0476,67.0,67.0,61.0,61.0,128.0,128.0,0.595,0.657,0.239,0.485,0.694,0.432,-0.0535,-0.0505,0.3229,0.1007,0.0996,0.0158,56.0,56.0,54.0,54.0,110.0,110.0,0.909,0.73,0.043,0.317,0.144,0.357
1,20221220,5,mua,888,0.0425,0.0568,0.0032,0.0351,0.0191,0.0427,441.0,441.0,447.0,447.0,888.0,888.0,0.028,0.021,0.875,0.097,0.104,0.007,-0.0196,-0.0209,0.0129,0.0201,-0.0025,-0.001,441.0,441.0,447.0,447.0,888.0,888.0,0.295,0.166,0.652,0.32,0.865,0.817,0.0329,-0.0387,0.1292,0.035,0.0841,-0.0028,83.0,83.0,80.0,80.0,163.0,163.0,0.334,0.858,0.1,0.44,0.063,0.7,0.0359,-0.0301,-0.0895,0.088,-0.0302,0.0264,73.0,73.0,66.0,66.0,139.0,139.0,0.796,0.744,0.543,0.312,0.533,0.714,0.0289,-0.0241,0.1395,0.0148,0.0841,-0.0028,79.0,79.0,84.0,84.0,163.0,163.0,0.46,0.712,0.07,0.372,0.072,0.702,0.0126,-0.016,-0.0733,0.0585,-0.0302,0.0264,65.0,65.0,74.0,74.0,139.0,139.0,0.959,0.574,0.325,0.345,0.505,0.678
2,20221220,6,mua,450,0.1156,0.0494,-0.0247,0.0186,0.0399,0.0307,219.0,219.0,229.0,229.0,448.0,448.0,0.027,0.044,0.762,0.747,0.186,0.14,0.0714,0.0889,-0.0064,0.1235,0.028,0.1044,216.0,216.0,232.0,232.0,448.0,448.0,0.085,0.008,0.409,0.006,0.493,0.0,-0.0537,-0.0386,-0.0354,0.0572,-0.0409,0.0087,44.0,44.0,38.0,38.0,82.0,82.0,1.0,0.834,0.348,0.453,0.602,0.466,0.1129,0.182,0.1042,-0.1094,0.1099,0.0653,38.0,38.0,28.0,28.0,66.0,66.0,0.211,0.11,0.319,0.311,0.117,0.758,-0.1111,0.0067,0.0248,0.0179,-0.0409,0.0087,38.0,38.0,44.0,44.0,82.0,82.0,0.267,0.303,0.945,0.949,0.613,0.448,0.1071,0.131,0.1129,-0.0927,0.1099,0.0653,31.0,31.0,35.0,35.0,66.0,66.0,0.228,0.21,0.371,0.254,0.125,0.729
3,20221220,7,mua,968,-0.0144,0.0206,-0.007,0.0099,-0.0111,0.0145,488.0,488.0,479.0,479.0,967.0,967.0,0.162,0.913,0.122,0.515,0.032,0.657,-0.0198,0.0284,-0.0137,0.0286,-0.0149,0.0304,488.0,488.0,479.0,479.0,967.0,967.0,0.149,0.452,0.674,0.312,0.271,0.162,-0.0139,-0.1236,-0.036,0.0182,-0.0255,-0.0508,90.0,90.0,86.0,86.0,176.0,176.0,0.983,0.082,0.227,0.604,0.37,0.18,0.01,0.007,0.1203,0.1148,0.0618,0.0606,83.0,83.0,75.0,75.0,158.0,158.0,0.857,0.594,0.182,0.192,0.339,0.192,-0.0258,-0.1621,-0.0268,0.0618,-0.0255,-0.0508,86.0,86.0,90.0,90.0,176.0,176.0,0.887,0.008,0.294,0.304,0.402,0.158,0.1062,0.0847,0.0228,0.0433,0.0618,0.0606,74.0,74.0,84.0,84.0,158.0,158.0,0.413,0.217,0.554,0.527,0.354,0.211
4,20221220,10,noise,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20221220,11,noise,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20221220,13,mua,965,-0.0101,-0.0465,-0.028,-0.0218,-0.0181,-0.0341,482.0,482.0,481.0,481.0,963.0,963.0,0.515,0.013,0.237,0.443,0.215,0.024,-0.0318,0.0098,0.0718,-0.0206,0.0178,-0.0064,477.0,477.0,486.0,486.0,963.0,963.0,0.009,0.844,0.04,0.165,0.564,0.35,0.0974,0.0451,0.0026,0.0238,0.0499,0.0346,87.0,87.0,86.0,86.0,173.0,173.0,0.468,0.242,0.964,0.71,0.624,0.319,0.1237,0.0936,-0.0874,-0.0048,0.0184,0.0442,79.0,79.0,73.0,73.0,152.0,152.0,0.395,0.393,0.212,0.874,0.941,0.679,0.115,0.0495,-0.0152,0.0202,0.0499,0.0346,86.0,86.0,87.0,87.0,173.0,173.0,0.362,0.24,0.756,0.699,0.585,0.27,-0.0007,0.0335,0.0325,0.0515,0.0184,0.0442,72.0,72.0,80.0,80.0,152.0,152.0,0.646,0.679,0.798,0.864,0.945,0.662
7,20221220,19,mua,812,0.0816,0.0935,0.0086,0.0037,0.0445,0.0505,404.0,404.0,406.0,406.0,810.0,810.0,0.002,0.001,0.742,0.714,0.019,0.011,-0.0257,0.0528,0.0134,0.0884,-0.0061,0.0716,402.0,402.0,408.0,408.0,810.0,810.0,0.789,0.016,0.445,0.014,0.75,0.0,0.0299,0.0608,0.0327,-0.0245,0.0324,0.0163,77.0,77.0,72.0,72.0,149.0,149.0,0.814,0.593,0.427,0.62,0.473,0.48,-0.0228,-0.0368,0.11,0.1701,0.037,0.0643,67.0,67.0,58.0,58.0,125.0,125.0,0.861,0.985,0.27,0.104,0.36,0.259,0.002,0.0557,0.0603,-0.0228,0.0324,0.0163,71.0,71.0,78.0,78.0,149.0,149.0,0.866,0.46,0.234,0.799,0.461,0.485,-0.0622,-0.0357,0.1355,0.1813,0.037,0.0643,59.0,59.0,66.0,66.0,125.0,125.0,0.873,0.796,0.15,0.077,0.382,0.233
8,20221220,20,mua,754,0.0056,-0.0169,-0.0276,0.0094,-0.0107,-0.003,368.0,368.0,385.0,385.0,753.0,753.0,0.608,0.25,0.528,0.508,0.948,0.864,0.033,0.0341,0.0417,0.085,0.0349,0.0507,367.0,367.0,386.0,386.0,753.0,753.0,0.165,0.017,0.024,0.035,0.015,0.003,0.1907,0.1486,-0.0849,0.0,0.0382,0.0667,64.0,64.0,72.0,72.0,136.0,136.0,0.022,0.073,0.321,0.708,0.449,0.129,0.273,0.0459,0.0372,-0.07,0.1552,-0.0115,57.0,57.0,59.0,59.0,116.0,116.0,0.036,0.799,0.633,0.156,0.03,0.515,0.1779,0.1085,-0.065,0.04,0.0382,0.0667,68.0,68.0,68.0,68.0,136.0,136.0,0.033,0.176,0.501,0.399,0.486,0.151,0.1223,-0.1463,0.2109,0.0927,0.1552,-0.0115,55.0,55.0,61.0,61.0,116.0,116.0,0.319,0.198,0.034,0.828,0.028,0.524
9,20221220,21,mua,1000,-0.0446,-0.0092,0.0014,0.0002,-0.0217,-0.0043,499.0,499.0,499.0,499.0,998.0,998.0,0.003,0.792,0.866,0.89,0.085,0.794,-0.0297,0.0104,-0.0065,-0.0137,-0.0189,-0.0012,500.0,500.0,498.0,498.0,998.0,998.0,0.218,0.963,0.757,0.155,0.296,0.307,0.0303,-0.0184,0.0591,0.001,0.0456,-0.0092,91.0,91.0,90.0,90.0,181.0,181.0,0.749,0.926,0.152,0.691,0.28,0.737,0.0726,-0.0607,-0.1001,-0.0618,-0.0123,-0.0608,82.0,82.0,74.0,74.0,156.0,156.0,0.266,0.631,0.069,0.304,0.64,0.256,0.0181,0.0096,0.0708,-0.027,0.0456,-0.0092,88.0,88.0,93.0,93.0,181.0,181.0,0.909,0.663,0.114,0.986,0.234,0.757,0.0551,-0.0316,-0.0792,-0.0857,-0.0123,-0.0608,74.0,74.0,82.0,82.0,156.0,156.0,0.41,0.994,0.219,0.089,0.638,0.259
