,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,total_polls,touched_polls,trial_aborted,trial_duration
0,0,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036123.729074,612,0,1,1,1,0.15,0.5,0.7497420310974121,1.0,2,1,0,10.966313123703003
1,1,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036130.39488,116,0,1,1,1,0.15,0.75,0.7501199245452881,1.0,8,6,0,4.766395092010498
2,2,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036139.228408,141,1,0,1,1,0.15,0.8666666666666667,0.749765157699585,1.0,15,13,0,7.517385005950928
3,3,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671036151.3097239,189,1,0,-1,-1,0.0,0.6,0.7496178150177002,0.0,15,9,0,8.448794841766357
4,4,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036162.7926788,143,0,1,1,1,0.15,0.8333333333333334,0.7491240501403809,1.0,6,5,0,4.4836719036102295
5,5,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036170.675616,129,1,0,1,1,0.15,0.75,0.7500190734863281,1.0,8,6,0,4.917309045791626
6,6,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036179.475171,142,1,0,1,1,0.15,0.5,0.7497808933258057,1.0,4,2,0,3.800487995147705
7,7,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671036186.3422668,108,1,0,1,-1,0.15,0.7272727272727273,0.7501790523529053,1.0,11,8,0,5.6012091636657715
8,8,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1671036195.7080529,112,1,0,-1,1,0.0,0.5333333333333333,0.7497391700744629,0.0,15,8,0,7.166032075881958
9,9,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671036207.6069188,171,1,0,1,-1,0.15,0.3333333333333333,0.7496998310089111,1.0,3,1,0,4.001134872436523
10,10,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036214.48993,127,1,0,1,1,0.15,0.5333333333333333,0.7487359046936035,0.0,15,8,0,7.416043996810913
11,11,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671036289.623349,1205,1,0,1,1,0.0,0.4666666666666667,0.7498321533203125,0.0,15,7,0,25.398137092590332
12,12,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671036302.007076,147,0,1,-1,1,0.15,0.75,0.7501270771026611,1.0,8,6,0,5.216572999954224
13,13,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671036311.323041,171,0,1,-1,1,0.15,0.6,0.749863862991333,1.0,5,3,0,4.649034023284912
14,14,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671036319.022325,135,0,1,-1,-1,0.15,0.6666666666666666,0.7500660419464111,0.0,15,10,0,7.366827011108398
15,15,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671036331.1386712,194,1,0,1,-1,0.0,0.6,0.7492122650146484,0.0,15,9,0,8.55042028427124
16,16,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671036345.9706528,342,0,1,-1,1,0.15,0.8,0.7488882541656494,1.0,10,8,0,9.149254083633423
17,17,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671036543.189931,396,1,0,1,-1,0.0,0.2,0.7495579719543457,0.0,15,3,0,11.698921918869019
18,18,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671036555.3719501,187,0,1,1,1,0.0,0.8666666666666667,0.7500452995300293,0.0,15,13,0,8.232863187789917
19,19,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671036566.853947,155,0,1,1,1,0.0,0.8666666666666667,0.7511870861053467,0.0,15,13,0,7.882453918457031
20,20,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671036578.7527208,169,0,1,-1,-1,0.15,0.5,0.7495570182800293,1.0,2,1,0,3.61702299118042
21,21,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671036585.6368709,149,1,0,1,-1,0.0,0.5333333333333333,0.7487509250640869,0.0,15,8,0,7.7833569049835205
22,22,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671036597.0862231,142,1,0,1,-1,0.0,0.6666666666666666,0.7499909400939941,0.0,15,10,0,7.482662916183472
23,23,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036665.214274,805,1,0,1,1,0.15,0.4666666666666667,0.7498621940612793,0.0,15,7,0,18.549368143081665
24,24,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671036677.497199,172,0,1,-1,1,0.0,0.8666666666666667,0.7502081394195557,0.0,15,13,0,8.166353940963745
25,25,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671036688.613941,120,1,0,1,-1,0.15,0.3333333333333333,0.7667958736419678,1.0,3,1,0,3.135190725326538
26,26,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036695.3125272,121,1,0,1,1,0.15,0.5555555555555556,0.7495691776275635,1.0,9,5,0,5.116821050643921
27,27,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036704.127581,123,1,0,1,1,0.15,0.6923076923076923,0.7489738464355469,1.0,13,9,0,6.5171520709991455
28,28,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036714.344088,120,1,0,1,1,0.15,0.75,0.7484650611877441,1.0,4,3,0,3.4496729373931885
