Unnamed: 0,trial_idx,trial_start_time,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,difficulty,trial_aborted,trial_duration,date_time,trial_num,switched_self,n_pre_switch_self,switched_actor,n_pre_switch_actor,history,alt_history,pos_in_block,pos_in_block_obj,attention_narrow,attention_wide,attention_full,attention_control_narrow,attention_control_wide,attention_control_full,attention_narrow_L,attention_wide_L,attention_full_L,attention_control_narrow_L,attention_control_wide_L,attention_control_full_L
0,0,1672335419.920056,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1672335428.370943,507,8.882396936416626,0,1,1,1,0.15,1.0,"[5.399686813354492, 7.6493659019470215]",1.0,8.882396936416626,1,1,1.6301950782748629,0,9.88177490234375,2022_12_29_12_36_58,1,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",1R,1R,0.0,1,,,,,,,,,,,,
1,1,1672335432.651911,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1672335434.5034509,111,6.966498851776123,1,0,-1,-1,0.0,0.7333333333333333,"[1.0497169494628906, 0.9999070167541504]",0.0,6.966498851776123,15,11,1.487042829948383,0,7.965960741043091,2022_12_29_12_37_11,2,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",1NRO,1NR,1.0,2,,,,,,,,,,,,
2,2,1672335443.3684192,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1672335445.536442,130,7.399129867553711,1,0,1,1,0.15,0.4666666666666667,"[1.3661959171295166, 0.9827878475189209]",0.0,7.399129867553711,15,7,2.281637984603326,0,8.399025917053223,2022_12_29_12_37_22,3,"[0, 1]","[2, 1]","[0, 1]","[2, 1]",1NRG,2NR,2.0,3,,,,,,,,,,,,
3,3,1672335454.534205,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1672335456.569231,122,7.20011305809021,1,0,1,-1,0.15,0.6666666666666666,"[1.2330548763275146, 1.0500380992889404]",0.0,7.20011305809021,15,10,1.7193515934316204,0,8.199286937713623,2022_12_29_12_37_33,4,"[1, 0]","[1, 3]","[1, 1]","[1, 1]",2NRG,3NR,3.0,4,,,,,,,,,,,,
4,4,1672335465.48304,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1672335469.2182772,224,8.850224733352661,0,1,-1,-1,0.0,0.6666666666666666,"[2.9338560104370117, 1.0006828308105469]",0.0,8.850224733352661,15,10,2.01553128587949,0,9.849168062210085,2022_12_29_12_37_44,5,"[0, 0]","[2, 2]","[0, 0]","[2, 2]",1NRO,4NR,4.0,5,,,,,,,,,,,,
5,5,1672335478.1491709,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1672335480.217506,124,7.382368087768555,1,0,-1,-1,0.0,0.4,"[1.2663631439208984, 0.999993085861206]",0.0,7.382368087768555,15,6,1.6280899739278614,0,8.382045030593872,2022_12_29_12_37_57,6,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",2NRO,5NR,5.0,6,,,,,,,,,,,,
6,6,1672335489.2984629,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1672335491.1995509,114,4.416086196899414,0,1,1,1,0.15,0.8571428571428571,"[1.1001241207122803, 0.9997251033782959]",1.0,4.416086196899414,7,6,1.7054717979419258,0,5.417304277420044,2022_12_29_12_38_08,7,"[0, 0]","[7, 5]","[0, 0]","[13, 5]",1R,1R,6.0,7,,,,,,,,,,,,
7,7,1672335497.348769,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1672335499.448448,126,2.865999221801758,1,0,1,1,0.15,1.0,"[1.2997241020202637, 0.9987809658050537]",1.0,2.865999221801758,2,2,1.685447434786141,0,3.865718126296997,2022_12_29_12_38_16,8,"[0, 0]","[6, 4]","[0, 0]","[12, 4]",1R,1R,7.0,8,,,,,,,,,,,,
8,8,1672335503.780677,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1672335505.698431,115,3.083009719848633,1,0,1,1,0.15,0.6666666666666666,"[1.1174538135528564, 0.9995920658111572]",1.0,3.083009719848633,3,2,2.0517125446091344,0,4.082769870758057,2022_12_29_12_38_22,9,"[0, 0]","[5, 3]","[0, 0]","[11, 3]",1R,1R,8.0,9,,,,,,,,,,,,
9,9,1672335510.463608,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1672335512.3649652,114,3.7178099155426025,1,0,1,1,0.15,0.8,"[1.0999507904052734, 0.9996187686920166]",1.0,3.7178099155426025,5,4,1.6168848353150675,0,4.716403007507324,2022_12_29_12_38_29,10,"[0, 0]","[4, 2]","[0, 0]","[10, 2]",1R,1R,9.0,10,,,,,,,,,,,,
